year,aux_ADP humeurs_NOUN,aux_ADP tumeurs_NOUN
1800,2.389564883742423e-07,2.5153315874604232e-08
1801,5.357661052585172e-07,1.0000967165524344e-07
1802,3.849085032925359e-07,1.208433673127729e-07
1803,3.1985564419301227e-07,8.191424427650418e-08
1804,3.336998872782715e-07,9.39303390623536e-08
1805,4.804463173968543e-07,2.04687196969644e-07
1806,1.2967511509032192e-07,8.933174200365102e-08
1807,1.7366426163789583e-07,9.394951661079176e-08
1808,2.3793776904312836e-07,8.384473915157287e-08
1809,1.2876473931555665e-07,1.423189246452239e-07
1810,1.7316938283329364e-07,1.6848912309797015e-07
1811,9.025476543911282e-08,1.0028307073639553e-08
1812,1.973734100602087e-07,4.5075819343765033e-07
1813,3.307102929284156e-07,2.01301915581098e-07
1814,3.901879779277806e-07,1.7306724942045548e-07
1815,5.85297527777584e-07,1.9150287755564932e-07
1816,3.7081662185300956e-07,2.4103081841531093e-07
1817,2.1951915130102861e-07,1.479029805295795e-07
1818,4.851919470638677e-07,1.7166495069886878e-07
1819,2.1633694302636286e-07,1.428444846851562e-07
1820,1.9461029410194897e-07,9.8491796052258e-08
1821,2.8006627417198615e-07,2.3568956919461925e-07
1822,1.6943290859217086e-07,1.1729970594842598e-07
1823,1.9666546791086148e-07,9.289725966254991e-08
1824,2.1810681971601298e-07,9.179012749882531e-08
1825,9.15766094067294e-08,9.421824387345623e-08
1826,1.2595417331340286e-07,1.0657660709512129e-07
1827,8.572063592282575e-08,3.502563927781921e-08
1828,2.036250918990845e-07,1.440051278223109e-07
1829,2.0318427118581894e-07,1.0030615982259405e-07
1830,1.4402833414806082e-07,1.231546633562175e-07
1831,1.3564348932959547e-07,9.510635834431014e-08
1832,1.041807635715486e-07,1.7453660916544322e-07
1833,8.224376557564028e-08,1.586957125709887e-07
1834,9.241185949804276e-08,1.3815105148751172e-07
1835,1.0285799589837552e-07,1.4067343556689593e-07
1836,1.821323252215734e-07,9.341842854837523e-08
1837,1.6629358867703559e-07,2.0873672212928795e-07
1838,1.4076121601647174e-07,1.0162580821315714e-07
1839,1.2095252088784036e-07,3.160146775371686e-07
1840,1.3694830158783589e-07,2.4077422722257324e-07
1841,1.95184668427828e-07,2.869985280540277e-07
1842,1.5227762162339786e-07,1.9923547256439633e-07
1843,1.0278025541765601e-07,1.216823619643037e-07
1844,1.3556746125686914e-07,3.496213594189612e-07
1845,8.147132746216812e-08,2.499942013400869e-07
1846,1.0245377524142896e-07,2.49987209599567e-07
1847,4.907833428546837e-08,1.9415605834183225e-07
1848,1.1585119352730544e-07,1.761903547503607e-07
1849,1.1144621936409749e-07,1.8686095870634745e-07
1850,8.418355434969271e-08,1.4800011172155791e-07
1851,6.965393595237401e-08,3.766472218558192e-07
1852,7.487127362537649e-08,2.0573322956352058e-07
1853,1.9707374576682923e-07,4.1146608964481857e-07
1854,1.1638288555104737e-07,2.670571461749205e-07
1855,1.1303775693249918e-07,3.2000829719436297e-07
1856,1.382309591235753e-07,1.8844968963094288e-07
1857,6.394776619345066e-08,1.903788557910957e-07
1858,9.64054152063909e-08,1.923214654198091e-07
1859,1.4614538201840332e-07,2.1081598333694274e-07
1860,1.0756382096133166e-07,2.2977462776907487e-07
1861,1.070523794055589e-07,1.7071788249722886e-07
1862,9.26187198047046e-08,1.6038850958466355e-07
1863,8.540801843537338e-08,1.203703590135774e-07
1864,8.966141251676163e-08,1.8987122984981397e-07
1865,7.860430173423083e-08,2.767624494026677e-07
1866,9.63391357799992e-08,3.332944800149562e-07
1867,1.305406271967513e-07,3.576521976356162e-07
1868,7.014621417056333e-08,3.2454971687911893e-07
1869,7.960136372275883e-08,4.951888286086614e-07
1870,1.7144806463420537e-07,2.3968323148437776e-07
1871,9.983906323896008e-08,2.623430646053748e-07
1872,7.740594298866199e-08,2.2435628466155322e-07
1873,1.2031868834583292e-07,4.208161215046857e-07
1874,9.200898176686678e-08,3.2083650580716494e-07
1875,9.26887366858864e-08,2.4602567805231956e-07
1876,9.492243435715864e-08,3.821081406840676e-07
1877,9.400920220059561e-08,2.418263136405585e-07
1878,4.9520526346213956e-08,2.874606082059472e-07
1879,6.048232137345622e-08,2.3032156093449885e-07
1880,5.904418642899145e-08,2.169231976267838e-07
1881,5.0899306103247e-08,2.517075188279705e-07
1882,6.721938916598447e-08,2.029892414157075e-07
1883,6.066565561013704e-08,2.0664238320478034e-07
1884,4.8192386969958534e-08,2.5482549403932353e-07
1885,4.447488777259423e-08,2.771623428543535e-07
1886,4.646494033977433e-08,2.1941777106349036e-07
1887,1.828098916689669e-08,1.978264094759652e-07
1888,5.643147105161006e-08,1.984612367778027e-07
1889,4.8868066926388565e-08,1.9108667004275048e-07
1890,5.83340380444497e-08,1.8352281472289178e-07
1891,3.569563133964948e-08,2.1353636725507386e-07
1892,4.5133290882404253e-08,1.7551835185258824e-07
1893,6.035248389935077e-08,2.1985546538871859e-07
1894,8.002955098618258e-08,2.054301830867189e-07
1895,3.4306101071024386e-08,2.606060149901168e-07
1896,6.309821287686646e-08,2.1111364389980736e-07
1897,4.603103676004139e-08,2.4064325998551794e-07
1898,5.4320206999136644e-08,2.484017898041202e-07
1899,6.467266899790047e-08,2.1281176998400042e-07
1900,6.177353384373419e-08,2.548807174207468e-07
1901,3.1855812210324075e-08,2.464633723775478e-07
1902,4.0264328760031276e-08,1.0016979246074698e-07
1903,3.834156458992766e-08,2.295093679549609e-07
1904,8.00819179858081e-08,2.8324274126134696e-07
1905,3.818961857859904e-08,2.1520365578453493e-07
1906,4.2696733260072506e-08,2.0473854078773002e-07
1907,3.5485619775954547e-08,2.0622802310299448e-07
1908,3.437972395659017e-08,2.2150364031858771e-07
1909,4.0707277548790444e-08,2.662476106252143e-07
1910,3.2599320576309765e-08,2.3460820841592067e-07
1911,4.149891807969652e-08,1.8780920640892873e-07
1912,3.125652625612929e-08,2.2400510601983115e-07
1913,3.7651226136858895e-08,1.6969566729585495e-07
1914,6.227971738326232e-08,2.0692938562660856e-07
1915,2.591767689352764e-08,7.775302890422608e-08
1916,6.152978926365904e-08,1.2086208300843282e-07
1917,3.61891991929042e-08,5.3735480065597585e-08
1918,2.5270027848023346e-08,9.878283435682533e-08
1919,3.498982437122322e-08,1.1233574781499556e-07
1920,6.057785384427916e-08,1.726468781271251e-07
1921,6.588290091258386e-08,2.241533252345107e-07
1922,7.451714623130101e-08,2.0658220023506146e-07
1923,4.883336046646036e-08,1.592392209204263e-07
1924,6.316896161706609e-08,2.1271179662107897e-07
1925,5.719052609265418e-08,1.671723026674954e-07
1926,5.015762383209221e-08,2.541319474858028e-07
1927,5.1286434654684854e-08,2.385934010362689e-07
1928,4.4561559775502246e-08,2.2052259396332374e-07
1929,6.127223173280072e-08,2.0275540180136886e-07
1930,5.3568378177715203e-08,2.426332343929971e-07
1931,7.52753521737759e-08,1.8704784565670707e-07
1932,7.123698964051073e-08,2.1371096181610483e-07
1933,8.832410003378754e-08,1.605892663292252e-07
1934,5.152079296522061e-08,2.3483897848564084e-07
1935,5.744776387928141e-08,2.034608286294315e-07
1936,5.33487423126644e-08,2.570439505689137e-07
1937,6.421470288842102e-08,1.6872098740350339e-07
1938,4.6674770715071645e-08,2.3337385357535823e-07
1939,5.505858169385647e-08,2.538812395869172e-07
1940,2.2822046474857416e-08,1.4453962648985907e-07
1941,8.854507882460894e-08,9.149658097840074e-08
1942,6.675266206457309e-08,2.0632640485018783e-07
1943,4.3548528338988035e-08,1.82903818313207e-07
1944,7.711646787811333e-08,2.0243072640369064e-07
1945,5.2284097051824574e-08,1.1328221205531008e-07
1946,5.707652661612883e-08,2.0742444917232206e-07
1947,6.556479092978407e-08,1.2397705972944095e-07
1948,4.4574740343250596e-08,1.6416551318343409e-07
1949,3.7304630495782476e-08,2.0124866750848014e-07
1950,6.806631347444636e-08,1.414503145724666e-07
1951,3.3050344683260846e-08,1.4712733786836907e-07
1952,2.9525450528922192e-08,1.7293479004365508e-07
1953,2.5857186614075545e-08,1.3036331836246973e-07
1954,4.593092128857279e-08,1.4561078387487214e-07
1955,3.848099083825218e-08,1.8020367065219034e-07
1956,4.6222051963695776e-08,2.023304830345296e-07
1957,4.8592706747285774e-08,1.8111826705080603e-07
1958,6.038737865310395e-08,2.630573305850703e-07
1959,3.797866554577922e-08,2.2167138524764596e-07
1960,4.429333344546649e-08,1.7994166512380616e-07
1961,4.377340445671507e-08,1.5285949928056652e-07
1962,7.229830600863352e-08,1.934296705030647e-07
1963,5.560805860227447e-08,1.1638896069143811e-07
1964,6.631525195643917e-08,1.3263050391287834e-07
1965,5.909806688464414e-08,1.4500915312964935e-07
1966,4.874385695075034e-08,1.2850652808538143e-07
1967,5.324762497593838e-08,1.2276535699129454e-07
1968,5.434613115085085e-08,8.848089549928773e-08
1969,6.494713744586988e-08,6.585548817383824e-08
1970,6.668151542044143e-08,8.461653777658285e-08
1971,4.521789875866489e-08,9.043579751732977e-08
1972,4.6171322765076184e-08,9.029058389842248e-08
1973,3.6938466507763223e-08,7.112032562872628e-08
1974,5.456804430536977e-08,6.581918654546826e-08
