year,véritables_ADJ erreurs_NOUN,véritables_ADJ terreurs_NOUN
1800,6.60274537267469e-08,0.0
1801,2.8574191901498125e-08,4.7623651688866175e-09
1802,0.0,0.0
1803,0.0,3.900678446910888e-09
1804,2.2246657849223084e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.4926814390369145e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,9.341240669868967e-09,4.670620334934483e-09
1818,3.5763532135746345e-09,0.0
1819,1.2421260464634543e-08,0.0
1820,0.0,0.0
1821,1.3806083387635226e-08,0.0
1822,5.012807946513931e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,8.805443485471187e-09,0.0
1826,8.80798456392995e-09,0.0
1827,1.2904182611350734e-08,9.217273055917019e-10
1828,2.7516904310687096e-09,1.1006761724274838e-08
1829,1.1145129263923081e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,4.677361609140007e-09,4.677361609140007e-09
1832,6.764984572527055e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,0.0,0.0
1835,1.5126175867408165e-09,6.806779140333674e-09
1836,8.064899859050456e-09,4.704525213838906e-09
1837,9.045257876039159e-09,1.3915781860163179e-09
1838,2.019891809368346e-08,0.0
1839,4.894032734625853e-09,5.5931801412612e-09
1840,7.64362617644565e-09,0.0
1841,1.0914932957462042e-08,1.2841097074556274e-09
1842,6.708265054555795e-09,1.341653010911159e-09
1843,1.1223130869097986e-08,2.3627644285539873e-09
1844,7.683985892015244e-09,0.0
1845,7.812318791877715e-09,0.0
1846,7.025401593807601e-09,1.7563503984519002e-09
1847,2.426950729272903e-08,5.3932236454556914e-09
1848,6.43617736884039e-09,0.0
1849,1.1731181359664333e-08,0.0
1850,6.788996032014438e-10,2.7155984128057753e-09
1851,1.0319102017319892e-08,0.0
1852,1.2370036550635177e-08,6.510545436100301e-10
1853,4.180352064508952e-09,0.0
1854,3.117398783558656e-09,2.0782657816909023e-09
1855,6.8990182455763716e-09,0.0
1856,1.6049286344355096e-08,1.0354378465748937e-09
1857,1.8549734193129552e-08,0.0
1858,4.404308473482388e-09,1.468102750479261e-09
1859,9.165912473463322e-09,3.055304009791371e-09
1860,5.950338888283113e-09,4.577183909670879e-10
1861,6.13075279431996e-09,2.357981809808507e-09
1862,8.584174260306554e-09,0.0
1863,1.0988165932701577e-08,9.989241656072068e-10
1864,5.274200631788517e-09,0.0
1865,7.530950973944073e-09,0.0
1866,8.271541673821048e-09,0.0
1867,1.94112459439566e-09,4.367530337390235e-09
1868,6.421836395986702e-09,0.0
1869,1.12320943657096e-08,4.883519144627257e-10
1870,1.204150201772336e-08,0.0
1871,3.18635318130589e-09,0.0
1872,0.0,2.4189357183956872e-09
1873,2.334541804316359e-08,1.1972008939764578e-09
1874,1.1949218503559678e-08,0.0
1875,8.58229043387837e-09,0.0
1876,9.069021977836655e-09,4.232210137899983e-09
1877,9.27722432209066e-09,1.2369631985365004e-09
1878,1.268208649207736e-08,0.0
1879,1.710611030603104e-08,0.0
1880,6.417846254436199e-09,6.417846254436199e-10
1881,1.673401861523871e-08,0.0
1882,1.5972924316542958e-08,3.3276925659464496e-09
1883,1.1374810426900694e-08,5.0554711528150165e-09
1884,1.2543224237049344e-08,3.300848483434038e-09
1885,1.2891271161663553e-08,5.156508553483263e-09
1886,2.5813855497602844e-09,6.453463874400711e-10
1887,9.140494583448344e-09,0.0
1888,5.07249175996094e-09,6.340614699951175e-10
1889,2.5060546970934183e-09,0.0
1890,1.9663159989136147e-08,1.3108772956016423e-09
1891,2.1672347472190268e-08,5.736798147637501e-09
1892,6.268512375839919e-09,4.387958441043338e-09
1893,2.2170299374124625e-08,1.847525021858587e-09
1894,1.5123694296903523e-08,0.0
1895,1.2037228991346183e-09,1.2037228991346183e-09
1896,1.7101383420481397e-08,0.0
1897,1.3401440845939305e-08,1.1653427112179315e-09
1898,1.1316709347397591e-08,1.13167097914868e-09
1899,8.844125432005967e-09,3.3165470370022376e-09
1900,1.5054054003371675e-08,2.07642125715779e-09
1901,1.7325090695408107e-08,5.58873880507349e-09
1902,1.0802624572647801e-08,9.820567692386817e-10
1903,1.1340462791054051e-08,5.400220270956879e-10
1904,2.5260739278110123e-08,5.374625189347171e-09
1905,2.6835946798087207e-08,3.096455536422127e-09
1906,1.2346042410626978e-08,2.0576738091193647e-09
1907,1.7999951751335175e-08,3.0857059130084963e-09
1908,1.7680999775393502e-08,4.911389073214423e-10
1909,1.265226234892225e-08,1.6502950117569526e-09
1910,1.1222716089775986e-08,2.137660271017694e-09
1911,1.2236860413850081e-08,0.0
1912,1.1981668990301841e-08,5.2094213387476884e-09
1913,1.6969567084856862e-08,6.893886794756554e-09
1914,1.7411533548283842e-08,1.3393487430235496e-09
1915,1.6493066468115103e-08,0.0
1916,7.69122365795738e-09,2.197492410260793e-09
1917,2.0836205649743533e-08,0.0
1918,2.1824114071478107e-08,0.0
1919,2.301962176431971e-08,0.0
1920,2.8774479687854182e-08,0.0
1921,2.574734203619755e-08,7.572747429129834e-10
1922,1.549366501762961e-08,0.0
