year,les_DET erreurs_NOUN,les_DET terreurs_NOUN
1800,1.2944525224156678e-05,1.0375742611756777e-06
1801,1.047006009002871e-05,6.881617693466069e-07
1802,1.1589773691866867e-05,1.127871485095966e-06
1803,9.841412122568727e-06,9.127587645707536e-07
1804,1.3770681221103587e-05,1.0357055799659065e-06
1805,1.2005472115106386e-05,8.699205693574186e-07
1806,1.2852244026362314e-05,4.956470860406625e-07
1807,9.494595360592939e-06,5.551562267669397e-07
1808,1.3807188565806428e-05,7.931258707571942e-07
1809,1.0755244545634923e-05,8.132510131986237e-07
1810,1.6151555087162706e-05,1.2121856372004913e-06
1811,1.2094138241991459e-05,5.415286068455316e-07
1812,1.2346507162419584e-05,9.46858946804241e-07
1813,1.1988966832632286e-05,8.397165629503434e-07
1814,1.5255090886512335e-05,9.597365213664943e-07
1815,1.3367440374167927e-05,1.3567034429229352e-06
1816,1.3080556186650938e-05,9.270415830542333e-07
1817,1.5167060894327733e-05,9.294534333292859e-07
1818,1.315740348672989e-05,1.0109158914417549e-06
1819,1.446662764692519e-05,1.0433857937641733e-06
1820,1.329283173845397e-05,1.4204177531951245e-06
1821,1.3716344028580352e-05,1.2908688660218104e-06
1822,1.2011690500912664e-05,1.201068769773883e-06
1823,1.0975711859373405e-05,9.487379593053902e-07
1824,1.0859867074941576e-05,8.985327397681431e-07
1825,1.0896735773258115e-05,1.0751446239964935e-06
1826,1.0632117465547708e-05,9.495007304849423e-07
1827,1.2739193493871426e-05,8.452239370626558e-07
1828,1.1435107978741144e-05,1.0649041328747444e-06
1829,1.1356028949194297e-05,8.144517149588637e-07
1830,1.1489912310480577e-05,1.2419834476418146e-06
1831,1.1409644599780222e-05,1.1288033192613511e-06
1832,9.523745632122882e-06,1.0336896885121405e-06
1833,9.133690809903783e-06,1.315900220788535e-06
1834,9.89646994753457e-06,1.1976203175834144e-06
1835,9.246631691439688e-06,1.216900869849269e-06
1836,1.0987082475821808e-05,1.1626898057670587e-06
1837,8.5568145493653e-06,9.94282604693808e-07
1838,9.129910864658086e-06,1.0017401166351192e-06
1839,9.423110526540768e-06,9.857980245442377e-07
1840,1.0137996412140637e-05,1.1611942731803993e-06
1841,1.1471593893475074e-05,9.842701160778233e-07
1842,1.0712428093029303e-05,1.2282832990706538e-06
1843,1.1894155818481522e-05,1.1187689850089555e-06
1844,1.1078660520524863e-05,1.2557827631098917e-06
1845,1.0807227681652876e-05,1.1556651919875094e-06
1846,1.1724810178748157e-05,1.0169268911397467e-06
1847,1.351380007008629e-05,1.1201725627074666e-06
1848,1.0676008798782277e-05,8.31875908602342e-07
1849,1.041812623725491e-05,8.505105988376727e-07
1850,1.1294852640730824e-05,1.0543310935418049e-06
1851,1.2079153890454108e-05,9.777348957129561e-07
1852,1.2118078473122296e-05,9.310079818192207e-07
1853,1.0893401110934064e-05,9.172887587283185e-07
1854,1.1429422386299848e-05,9.48728338556748e-07
1855,1.1055410993776604e-05,1.0263616161410027e-06
1856,1.0593046511075954e-05,1.060288401077969e-06
1857,1.0508912964724004e-05,9.75325541219263e-07
1858,1.0525318430154584e-05,9.102237399361002e-07
1859,1.0545890859248175e-05,1.0673195234289778e-06
1860,9.536562401990523e-06,1.2312624733112898e-06
1861,1.0067167465876992e-05,1.2483155629183784e-06
1862,9.455693486870587e-06,1.0029929562449524e-06
1863,1.084082475699688e-05,1.0513677040080438e-06
1864,1.042134118733884e-05,1.0054544326010273e-06
1865,1.0169608344767767e-05,1.0388005620143304e-06
1866,9.434423702714412e-06,1.1166582112309698e-06
1867,9.820634659263305e-06,8.618593376752415e-07
1868,9.741926021433756e-06,8.768276380521911e-07
1869,1.1359553980128112e-05,9.659600621603204e-07
1870,1.1006506213107059e-05,8.882041555580145e-07
1871,7.94039235074706e-06,7.700353279460614e-07
1872,9.79789888333471e-06,8.127623978282372e-07
1873,8.531253513410775e-06,8.063148086989713e-07
1874,8.288574917969527e-06,7.038089684385795e-07
1875,8.602888613040705e-06,7.992973323212027e-07
1876,8.841691624184023e-06,8.700215019530333e-07
1877,9.169608176762267e-06,8.312392516529599e-07
1878,8.823712562389119e-06,7.234828309776731e-07
1879,9.160933075236244e-06,7.013505509689821e-07
1880,8.519690538832947e-06,7.598730036306733e-07
1881,7.779226564252895e-06,6.721497278761035e-07
1882,8.084295956223286e-06,6.622108337239752e-07
1883,7.854938360196684e-06,6.167674548862578e-07
1884,8.07321538331962e-06,7.017603707026865e-07
1885,8.034484721974877e-06,6.232929834482093e-07
1886,8.437903943558922e-06,5.698408358512097e-07
1887,8.0031556422e-06,5.595288570248158e-07
1888,8.312546128763643e-06,5.26271044520854e-07
1889,8.085785509592824e-06,5.388017534357914e-07
1890,8.190361143078917e-06,5.48602141492438e-07
1891,7.629941251252603e-06,5.169492673928744e-07
1892,8.362822313756624e-06,4.958393411413908e-07
1893,7.76822679426914e-06,4.778931117499496e-07
1894,7.382253272680828e-06,5.2428808139382e-07
1895,7.776049983476696e-06,4.5139609383682e-07
1896,7.779360714721406e-06,5.041959774132465e-07
1897,7.420319604989345e-06,4.638064048378965e-07
1898,7.4893983423862664e-06,4.6907760875569693e-07
1899,7.211279012153682e-06,4.914017175394747e-07
1900,7.532737356541475e-06,5.414268358094887e-07
1901,7.621922350153909e-06,4.65541944549841e-07
1902,6.727088873503817e-06,4.4143450850242516e-07
1903,8.32227937053176e-06,4.4821828204533176e-07
1904,8.00711649162622e-06,4.396443422649554e-07
1905,7.866545047363616e-06,3.947980680152341e-07
1906,8.086658226602594e-06,3.6729476349250945e-07
1907,8.560262699575105e-06,3.3737053684035345e-07
