year,vous_PRON irez_VERB,vous_PRON tirez_VERB
1800,7.38878682682298e-07,3.835880608704656e-07
1801,8.143644123492777e-07,3.7860802848399544e-07
1802,7.384872731108771e-07,2.2825969381301547e-07
1803,6.884697540954221e-07,3.081536084081904e-07
1804,8.404293083685843e-07,3.781931923185766e-07
1805,1.0632362688056674e-06,2.9565928372221606e-07
1806,9.423057889534903e-07,7.636423049461882e-07
1807,6.007075299407916e-07,1.4519471847052046e-07
1808,5.597202701324022e-07,1.903502138134172e-07
1809,6.754501313821493e-07,2.688246425464058e-07
1810,9.032889067839278e-07,3.0187634436629196e-07
1811,6.443187317017873e-07,2.1310152220621603e-07
1812,6.774708936063689e-07,2.4805035891972693e-07
1813,6.125329718997818e-07,1.9842617327014977e-07
1814,5.097616906368785e-07,2.045340128375983e-07
1815,7.282503702299437e-07,1.9150287577929248e-07
1816,8.204317936133521e-07,2.6884205617250245e-07
1817,8.640647592983441e-07,3.7209274950100735e-07
1818,8.511720608339601e-07,2.9683732094554216e-07
1819,7.432054047740166e-07,3.2295276497507075e-07
1820,9.74238133721883e-07,2.515693964255661e-07
1821,1.5019046486486332e-06,3.599443303414773e-07
1822,1.4216323620530602e-06,4.210758675071702e-07
1823,9.862921785952494e-07,3.043867451424376e-07
1824,1.0181125276176317e-06,3.5200250181333104e-07
1825,1.0408033546127626e-06,2.509551251250741e-07
1826,8.050497939393608e-07,3.250146356492678e-07
1827,7.668771218050097e-07,2.5624019173164925e-07
1828,8.768720221041804e-07,2.2288691781113812e-07
1829,1.0022042573609724e-06,3.129209282803913e-07
1830,1.0864746116112656e-06,2.6718299039885096e-07
1831,9.853642239932014e-07,2.993511536431015e-07
1832,1.067514588726226e-06,2.0430254110692658e-07
1833,9.869251300642645e-07,2.1198039945602432e-07
1834,9.325196117515588e-07,2.7723556783598724e-07
1835,1.185135886316857e-06,3.3655739883897695e-07
1836,1.0591902253054286e-06,2.621092534127456e-07
1837,9.093963200257349e-07,2.0664935718173183e-07
1838,8.67291021222627e-07,2.5374891166052294e-07
1839,8.669429263363782e-07,2.481973702117557e-07
1840,9.153242359616343e-07,2.261239462342246e-07
1841,7.85233062572388e-07,2.1252015613981712e-07
1842,1.0766765399239375e-06,2.2472688243624361e-07
1843,9.20887430311268e-07,2.699458274690869e-07
1844,9.517165437955555e-07,2.2338444516378786e-07
1845,1.0027669503642755e-06,2.4999420844551423e-07
1846,9.074476849946223e-07,2.552562605728781e-07
1847,7.129841463893172e-07,1.9038079202005065e-07
1848,8.672748776916706e-07,2.1561194074593004e-07
1849,7.491196925002441e-07,2.044577200877029e-07
1850,8.737437724448682e-07,1.8398178625034234e-07
1851,8.158539799296705e-07,1.696202378553835e-07
1852,8.03401306370688e-07,1.9987374599850227e-07
1853,8.462227185646043e-07,2.0901761388358864e-07
1854,9.471696529317342e-07,2.3588316366840445e-07
1855,1.1197637093118828e-06,2.1068540334567842e-07
1856,9.500142255092214e-07,2.1795966453908022e-07
1857,8.503589015163016e-07,2.396820981687142e-07
1858,1.0413742330683817e-06,2.7404584734824766e-07
1859,9.028423164636479e-07,2.0317771642908156e-07
1860,1.2706262850770145e-06,2.219934156499903e-07
1861,1.2087014908956917e-06,2.4381532170991704e-07
1862,1.124526761486777e-06,1.703280805287477e-07
1863,1.09631926648035e-06,1.9079451263337432e-07
1864,1.2130661843912094e-06,2.21995907878636e-07
1865,1.0919878832282848e-06,2.2451647652133033e-07
1866,8.694850208712523e-07,1.8537985724265127e-07
1867,1.2952153838341474e-06,1.8683324931600964e-07
1868,1.108013719886003e-06,3.215858157545881e-07
1869,1.2067175987340306e-06,1.9827087172075153e-07
1870,8.813233023374778e-07,1.7603530366727682e-07
1871,7.572899534125099e-07,1.9861601519011174e-07
1872,8.429990856484437e-07,1.6811603131827724e-07
1873,7.446589762594158e-07,1.580305166726248e-07
1874,8.866320229117264e-07,1.6669159741411477e-07
1875,1.0481837762199575e-06,1.939597744637922e-07
1876,9.927556448019459e-07,2.0435529890505677e-07
1877,8.714405623777566e-07,2.3131212500970832e-07
1878,6.926834998921549e-07,1.7452966716291485e-07
1879,9.603859183471286e-07,2.0649519782978132e-07
1880,9.447069970747179e-07,1.7135650232091848e-07
1881,9.280407482492592e-07,1.038903629790866e-07
1882,8.239366593443265e-07,1.7570217281104306e-07
1883,7.374668484771973e-07,1.472405930513787e-07
1884,7.671171999845683e-07,1.4787801028148806e-07
1885,7.057971203039415e-07,1.1666600396864624e-07
1886,6.789043851540555e-07,1.4197619968570052e-07
1887,8.618180658004349e-07,1.325371767890715e-07
1888,6.289889569188745e-07,1.2934854076718239e-07
1889,6.697431444990798e-07,1.2530273707511697e-07
1890,6.108688239692128e-07,1.376421181475962e-07
1891,6.163870693853823e-07,1.4341994969413463e-07
1892,6.563132473047517e-07,1.0781841019991134e-07
1893,5.930555033728524e-07,1.5211289117189608e-07
1894,6.648123900276914e-07,1.0208493339547431e-07
1895,6.734829867127701e-07,1.4384489332996964e-07
1896,5.643456830739524e-07,1.0732592592432866e-07
1897,6.904655833750439e-07,1.0721153120840654e-07
1898,6.116681561252335e-07,1.0977208297902052e-07
1899,6.870779856171794e-07,1.6582735007375504e-07
1900,6.821043569971152e-07,1.0070643341464347e-07
1901,5.756401009193723e-07,1.0786265836060238e-07
1902,4.831719309095206e-07,9.525950517286219e-08
1903,5.362418846743822e-07,9.990407257021161e-08
1904,5.245634113748565e-07,9.835564540594532e-08
1905,6.373537217996272e-07,1.2695467077605826e-07
1906,6.723449246237578e-07,1.1317206016769887e-07
1907,6.582839660040918e-07,1.1879967942718395e-07
1908,6.571438717628553e-07,1.3948345589653854e-07
1909,6.722202101627772e-07,1.4467586595401372e-07
1910,6.642779482035621e-07,1.485673877255067e-07
1911,5.905615267920439e-07,9.842691817141258e-08
1912,6.475310669884493e-07,1.1356538109907888e-07
1913,6.151468170401131e-07,1.2621115352828838e-07
1914,6.321726004898665e-07,1.1317496628748813e-07
1915,5.701888881048944e-07,1.2251992753675722e-07
1916,5.713480106805946e-07,9.888715446493279e-08
