year,pas_ADV eu_VERB,pas_ADV tu_VERB
1800,2.0210689399391413e-05,3.458580977167003e-08
1801,2.2166428607306443e-05,1.6668277424969347e-08
1802,2.083876825054176e-05,4.2518962573012686e-08
1803,1.9162082026014104e-05,3.120542824142092e-08
1804,2.4147511794581078e-05,7.168367943677367e-08
1805,2.196407331211958e-05,4.5486043376286034e-08
1806,2.296978527738247e-05,4.8988375134229045e-08
1807,2.6012628950411454e-05,4.839823830593559e-08
1808,2.215087260992732e-05,4.758755522971114e-08
1809,2.2766509573557414e-05,3.6144488291256494e-08
1810,2.537633372412529e-05,3.978215445954447e-08
1811,2.044521170319058e-05,2.0056614147279106e-08
1812,2.512510218366515e-05,4.5342538612658245e-08
1813,2.4501317966496572e-05,7.189353823378042e-08
1814,2.291724922542926e-05,3.1466771854837816e-08
1815,2.3665439584874548e-05,2.1577788444915313e-08
1816,2.2508569600176997e-05,5.5622493277951435e-08
1817,2.2201014871825464e-05,2.4909974194464723e-08
1818,2.2368896679836325e-05,4.768470773797162e-08
1819,2.2470059775514528e-05,3.51935711684348e-08
1820,2.3604803573107347e-05,6.289235354728362e-08
1821,2.441605829517357e-05,5.818278081548556e-08
1822,2.275012775498908e-05,4.3110148340019805e-08
1823,2.273709833389148e-05,8.103803461612102e-08
1824,2.192099782405421e-05,2.3579115548955087e-08
1825,2.2650241589872167e-05,3.6102318246022946e-08
1826,2.1821781047037803e-05,3.787433300317389e-08
1827,2.4740082153584808e-05,2.1199728195142598e-08
1828,2.553660306148231e-05,3.3020283840556885e-08
1829,2.551805846451316e-05,8.230249193275085e-08
1830,2.533228871470783e-05,5.740259689801519e-08
1831,2.6118388632312417e-05,4.5214497923495856e-08
1832,2.672980735951569e-05,4.600189584813563e-08
1833,2.3818256522645243e-05,3.938433579264711e-08
1834,2.4819584723445587e-05,3.267085690872307e-08
1835,2.3432714442606084e-05,5.294161553592858e-08
1836,2.2404292394639924e-05,4.973355061110851e-08
1837,2.3403561499435455e-05,4.453050195252217e-08
1838,2.2798265490564518e-05,5.9334323676552e-08
1839,2.3339642211794853e-05,4.264799713382672e-08
1840,2.4296539777424186e-05,4.713569690117936e-08
1841,2.450209649396129e-05,6.613165037805402e-08
1842,2.4369785023736767e-05,3.890793776051282e-08
1843,2.3371874704025686e-05,3.485077471054865e-08
1844,2.384340768912807e-05,3.1284798751585186e-08
1845,2.402567224635277e-05,3.850357188639464e-08
1846,2.443903031235095e-05,4.9177810268474786e-08
1847,2.4589324311818928e-05,2.7505439703645607e-08
1848,2.550013414293062e-05,2.252662056889676e-08
1849,2.829728509823326e-05,2.3462361165016432e-08
1850,2.563253292464651e-05,6.11009669526652e-08
1851,2.5477862436673604e-05,5.3530340160534706e-08
1852,2.4818849851726554e-05,5.143330938928159e-08
1853,2.3702597900410183e-05,4.478948767427937e-08
1854,2.4187896997318603e-05,4.780011392258032e-08
1855,2.4087656129267998e-05,4.7231740296638236e-08
1856,2.4798737285891548e-05,4.452382884601036e-08
1857,2.434701491438318e-05,6.687667497562444e-08
1858,2.5688374080345966e-05,3.1808895073481835e-08
1859,2.5129875211860053e-05,3.360834455179429e-08
1860,2.4018314434215426e-05,4.348324655900626e-08
1861,2.4906890757847577e-05,3.159695727283918e-08
1862,2.463386772433296e-05,6.912519270874107e-08
1863,2.477481757523492e-05,4.694943545047181e-08
1864,2.532575308578089e-05,4.4111496899645886e-08
1865,2.5237157387891784e-05,2.8711750810206382e-08
1866,2.4979570298455656e-05,5.498142563453712e-08
1867,2.5342351364088245e-05,4.513114504334226e-08
1868,2.45813080255175e-05,3.853101693263028e-08
1869,2.582746856205631e-05,2.88127620651224e-08
1870,2.4851367925293744e-05,4.8739414282295e-08
1871,2.818754182953853e-05,6.160282595146782e-08
1872,2.734183544816915e-05,5.986865925233786e-08
1873,2.6412048100610264e-05,3.471882709105145e-08
1874,2.6748923119157553e-05,4.301718659061038e-08
