year,mais_CONJ elle_PRON,mais_CONJ telle_DET
1800,5.905998477828689e-05,3.898764049381498e-07
1801,5.576967623710516e-05,4.690929671369304e-07
1802,6.0634277815552196e-05,3.4462738085494493e-07
1803,6.580249601029209e-05,3.335079981070521e-07
1804,6.598111804123619e-05,4.2515835474432606e-07
1805,6.279632725636475e-05,4.207459056715379e-07
1806,5.850652996741701e-05,2.478235359149039e-07
1807,6.102448151068529e-05,3.8718589223663e-07
1808,5.914679832130787e-05,3.0365391978648404e-07
1809,6.546670601892401e-05,2.891559134354793e-07
1810,6.074266866562539e-05,2.527336846469552e-07
1811,5.2854192745144246e-05,2.9583505067876104e-07
1812,6.155916753414203e-05,2.987273148846725e-07
1813,6.139420975159737e-05,5.147577581965379e-07
1814,5.0570246912684524e-05,3.618678761085903e-07
1815,5.723508320443216e-05,3.45244615118645e-07
1816,6.033881663825014e-05,2.3407798721564177e-07
1817,6.110416870797053e-05,3.3939841159735806e-07
1818,5.821349441248458e-05,3.027979005310044e-07
1819,5.315264252203633e-05,2.8051346134816413e-07
1820,5.607861612588749e-05,3.346347767774205e-07
1821,5.43003143320675e-05,3.8361190490832087e-07
1822,5.312072516971966e-05,2.747018754689634e-07
1823,5.3129324442124926e-05,3.201990494972051e-07
1824,5.177047341931029e-05,3.991607329112412e-07
1825,5.5567627896380145e-05,3.707091451587985e-07
1826,5.148795162313036e-05,3.4967697359888916e-07
1827,5.207206322666025e-05,3.548650227003236e-07
1828,5.438991365736001e-05,2.971825523445659e-07
1829,5.3566917131320224e-05,4.106551401150682e-07
1830,5.488523129315581e-05,3.77813449858877e-07
1831,5.3183162890491076e-05,3.5236126905147103e-07
1832,5.7172237575287e-05,3.0983630239234117e-07
1833,5.5090578371164156e-05,3.741511989119317e-07
1834,5.2330315611470724e-05,3.267085801894609e-07
1835,5.228362579146051e-05,3.751291615117225e-07
1836,5.082836105430033e-05,3.488069211243783e-07
1837,5.2843789489998017e-05,3.8685874415023136e-07
1838,5.253612198430346e-05,3.818857905457662e-07
1839,5.171804104975308e-05,4.173910639337919e-07
1840,5.1375360271777026e-05,4.286800390218559e-07
1841,4.968284702044912e-05,4.674159299611347e-07
1842,5.288058173391619e-05,4.876908548112624e-07
1843,5.190521051190444e-05,4.117116958468614e-07
1844,5.450196385936579e-05,4.330474894231884e-07
1845,5.43296573596308e-05,4.832477458194262e-07
1846,5.296391782394494e-05,4.0571694626123644e-07
1847,4.999086695534061e-05,4.934799591183037e-07
1848,5.030355259805219e-05,3.660575913499997e-07
1849,5.1663280828506686e-05,4.34053703202153e-07
1850,5.315919725035201e-05,4.555416381890609e-07
1851,5.124723884364357e-05,3.5471913406581734e-07
1852,5.08551738676033e-05,4.7331666053196386e-07
1853,5.210749486650457e-05,4.62227518482905e-07
1854,5.066915991847054e-05,4.063009697574671e-07
1855,5.5802443966967985e-05,4.510896474130277e-07
1856,5.4574304613197455e-05,4.260826784729943e-07
1857,5.366291816244484e-05,3.988192815995717e-07
1858,5.555545567403897e-05,3.914940833738001e-07
1859,5.8010548855236266e-05,4.4658358433480316e-07
1860,5.726331573896459e-05,3.8951834824274556e-07
1861,5.491173715199693e-05,4.183059729712113e-07
1862,5.569005452343845e-05,3.9306480914547137e-07
1863,5.452427922136849e-05,3.9657290074046614e-07
1864,5.410131370808813e-05,3.749477315295735e-07
1865,5.444359840112156e-05,3.6713386464271025e-07
1866,5.381222081268788e-05,4.18442709815281e-07
1867,5.522790752365836e-05,3.9550413077904523e-07
1868,5.3539838972938014e-05,3.951899145704374e-07
