year,quels_PRON ont_VERB,quels_DET tons_NOUN
1800,5.973912564627426e-07,0.0
1801,8.000773732419475e-07,2.6193008650921e-08
1802,5.102275508761522e-07,0.0
1803,4.5637936807452206e-07,3.900678446910888e-09
1804,5.413353534322596e-07,9.887403784603066e-09
1805,4.0368863096773566e-07,0.0
1806,6.426122070024576e-07,3.458002950651462e-08
1807,5.01064093327841e-07,0.0
1808,4.940041264944739e-07,0.0
1809,4.7439640837865227e-07,0.0
1810,6.996979351470145e-07,4.680253518074551e-09
1811,4.613021360455605e-07,7.521229861140455e-09
1812,5.147711874542438e-07,0.0
1813,4.6011867027573317e-07,0.0
1814,6.38775475181319e-07,0.0
1815,4.693168875746778e-07,2.6972236000233352e-08
1816,5.029200593753558e-07,0.0
1817,4.7017577031738256e-07,0.0
1818,5.722165212773689e-07,8.344824387052086e-09
1819,5.154822915187651e-07,8.280840013696888e-09
1820,5.363649577816432e-07,9.493184904840746e-09
1821,6.429690273535016e-07,0.0
1822,5.734652290811937e-07,1.0025615893027862e-09
1823,6.937646332971781e-07,9.882686669016039e-09
1824,5.498986723750932e-07,1.6842225392110777e-09
1825,5.071935262890293e-07,7.044354433105582e-09
1826,5.205518789352936e-07,0.0
1827,6.45209127014823e-07,9.217273055917019e-10
1828,5.118144059679253e-07,5.503380862137419e-09
1829,6.146967166387185e-07,1.5431716349212365e-08
1830,6.710885571692415e-07,4.174734336004349e-09
1831,5.753154965759677e-07,0.0
1832,5.006088770187489e-07,5.411987746839486e-09
1833,4.587117032883725e-07,2.3167257001688313e-09
1834,5.992768663531933e-07,0.0
1835,6.753837240580651e-07,3.781543966852041e-09
1836,5.746241313886458e-07,7.392825185359442e-09
1837,6.679575363932599e-07,2.087367279024477e-09
1838,5.863998566724149e-07,9.468243300503332e-09
1839,6.348259660171607e-07,3.4957375882882502e-09
1840,6.427015932786162e-07,7.006657698482854e-09
1841,6.29213772640469e-07,7.0626033910059505e-09
1842,5.661775688281523e-07,2.0124795163667386e-09
1843,7.448614951499621e-07,4.725528912619126e-09
1844,5.274507515196092e-07,9.87941040087037e-09
1845,7.070148839716239e-07,6.138250630005615e-09
1846,6.949293265279266e-07,1.6392603718884402e-08
1847,7.199953699910111e-07,1.6179670936367074e-09
1848,7.771684238377929e-07,1.4481399079890878e-08
1849,9.158700464695357e-07,8.379414939696517e-10
1850,7.05376706378047e-07,8.146795238417326e-09
1851,6.642922016908415e-07,4.514607132577453e-09
1852,6.158975978109993e-07,2.6042181744401205e-09
1853,5.965959957165978e-07,5.971931837933653e-10
