year,sois_VERB en_ADP,sois_VERB tant_ADV
1800,1.2262241000371432e-07,0.0
1801,3.309843918941624e-07,7.143547975374531e-09
1802,2.0364345232337655e-07,2.9091921760482364e-08
1803,1.6967950955404376e-07,5.851017448321727e-09
1804,2.1999473176492756e-07,2.4718509461507665e-09
1805,2.2743022043414385e-07,1.1371510844071508e-08
1806,3.4580028795971884e-07,0.0
1807,2.0213381901612593e-07,0.0
1808,1.0650547466184435e-07,2.2660739951163578e-09
1809,2.4849336455190496e-07,0.0
1810,1.778496283577624e-07,4.680253518074551e-09
1811,1.2535383575595915e-07,2.5070767684098882e-09
1812,1.9203899626063503e-07,8.00162425207418e-09
1813,2.5881675469463516e-07,0.0
1814,2.0768068509369186e-07,0.0
1815,1.3216394734172354e-07,2.697223555614414e-09
1816,9.502176112619054e-08,2.3176038865813098e-09
1817,2.7089598120255687e-07,3.113746815941454e-09
1818,2.5988165930357354e-07,4.768470951432846e-09
1819,3.8609417174484406e-07,1.0351049795076506e-08
1820,2.8479553293436766e-07,0.0
1821,3.2838755714692525e-07,2.9584463767662328e-09
1822,2.8773519034075434e-07,1.0025615893027862e-09
1823,2.777034922019084e-07,9.882686891060644e-10
1824,3.974765263592417e-07,5.052667617633233e-09
1825,2.535967666972283e-07,1.7610886082763955e-09
1826,1.8937166146315576e-07,1.3211976401805714e-08
1827,1.963279174788113e-07,9.217273055917019e-10
1828,1.7610818758839741e-07,9.172301251858528e-10
1829,1.8260864464991755e-07,8.57317605795771e-10
1830,2.3795985271135578e-07,0.0
1831,2.2919073217053665e-07,0.0
1832,2.8277636943130346e-07,2.705993873419743e-09
1833,1.7722950929055514e-07,1.1583628500844156e-09
1834,1.6708810335330782e-07,1.8669062740173104e-08
1835,2.465566808496078e-07,1.0588323107185715e-08
1836,2.2312890735065594e-07,2.6210924986003192e-08
1837,2.4004722831705294e-07,1.1132625488130543e-08
1838,2.2281930966983055e-07,8.2058102535143e-09
1839,2.7686240855473443e-07,6.9914751765765e-10
1840,1.7898824467010854e-07,3.821813088222825e-09
1841,1.1492782192590312e-07,8.346713542550788e-09
1842,1.5764422300890146e-07,6.708265054555795e-10
1843,2.0201635209105007e-07,1.7720733769266417e-09
1844,1.6685226000845432e-07,1.097712254427563e-09
1845,1.5959452071001579e-07,1.1160455892778032e-09
1846,2.119329423067029e-07,1.7563503984519002e-09
