year,deux_DET erreurs_NOUN,deux_DET terreurs_NOUN
1800,1.7921738049153646e-07,6.288328968651058e-09
1801,1.595392333797463e-07,0.0
1802,1.5888664961494214e-07,0.0
1803,2.515937573832616e-07,0.0
1804,2.447132487759518e-07,0.0
1805,1.3645812835250126e-07,0.0
1806,1.9883516344521013e-07,0.0
1807,1.7935817675507337e-07,5.693910232196231e-09
1808,1.6768948007950257e-07,0.0
1809,1.4457795316502597e-07,0.0
1810,2.7379484102141305e-07,2.3401267590372754e-09
1811,2.782855119676242e-07,0.0
1812,1.600324992523383e-07,0.0
1813,2.2718359105056152e-07,0.0
1814,2.485874901481111e-07,0.0
1815,2.535390173363794e-07,0.0
1816,2.2480758055110073e-07,0.0
1817,2.070641645923743e-07,0.0
1818,2.3603931209592588e-07,0.0
1819,1.904593182056047e-07,1.9666995143552413e-08
1820,2.3970292417629935e-07,0.0
1821,2.524540985149315e-07,1.97229765852569e-09
1822,2.5064041153655126e-07,0.0
1823,1.6108778955192804e-07,0.0
1824,1.978961421400527e-07,8.421112696055388e-10
1825,2.474329559021271e-07,0.0
1826,1.285965707253922e-07,0.0
1827,2.2029283197610994e-07,1.8434546111834038e-09
1828,2.33893681755859e-07,0.0
1829,1.8346596225571332e-07,8.57317605795771e-10
1830,3.0997401267995883e-07,1.0436835840010872e-09
1831,2.822008298153378e-07,1.5591206103948707e-09
1832,1.7047761091681934e-07,0.0
1833,1.668042433067285e-07,5.791814139399776e-09
1834,1.6242083322737244e-07,8.401078055442213e-09
1835,2.0344705831121246e-07,0.0
1836,2.238009724209178e-07,6.72075017860152e-09
1837,1.6281464176870486e-07,7.653680356156656e-09
1838,1.982018815738229e-07,6.312161904276081e-10
1839,2.1114255233101176e-07,4.194885327990505e-09
1840,2.2803484966971155e-07,3.1848443882154243e-09
1841,2.1765658786421227e-07,3.852329122366882e-09
1842,1.8581894778435526e-07,6.708265054555795e-09
1843,1.7307250033127275e-07,1.2995204023980023e-08
1844,2.7991661966098036e-07,0.0
1845,2.6059664293143214e-07,1.6740683339566687e-08
1846,3.0677588291894153e-07,5.854501328173001e-10
1847,3.5433478018376263e-07,7.550513103637968e-09
1848,1.9952150154267656e-07,7.240699539945439e-09
1849,2.807103953728074e-07,2.8490010572923552e-08
1850,2.3354146350129668e-07,1.1541293254424545e-08
1851,2.644269834206625e-07,2.96674187438839e-08
1852,3.951901135224034e-07,1.9531636308300904e-09
1853,3.117348388315122e-07,5.971931837933653e-10
1854,2.644593184442101e-07,1.558699391779328e-09
1855,2.6375477446549667e-07,5.306937111981824e-10
1856,3.251274733884202e-07,2.5885946719483854e-09
1857,2.3870579113349777e-07,8.78671624349181e-09
1858,2.9851424088178646e-07,7.34051397444091e-09
1859,2.9636448317660324e-07,8.656694916453489e-09
1860,2.2657060405606444e-07,2.288591982591015e-09
1861,2.8248622108151267e-07,6.13075279431996e-09
1862,2.507482381730597e-07,5.421583626485926e-09
1863,2.6571383848761343e-07,8.490855130105501e-09
1864,2.699431931318941e-07,2.3973640850272204e-09
1865,3.134758248535263e-07,5.177528628053096e-09
1866,3.0215456270354935e-07,4.379051787850585e-09
1867,2.814630697400844e-07,5.338092634588065e-09
1868,3.077541608220713e-07,2.469937032678615e-09
1869,3.345210588534542e-07,4.395167230164532e-09
1870,2.6778006656513753e-07,6.880858549607183e-09
1871,2.3685225603031768e-07,0.0
1872,3.1385689780449866e-07,1.2094678591978436e-09
1873,2.681730038034402e-07,9.577607151811662e-09
1874,2.83196484929249e-07,4.182226565063729e-09
1875,2.8321558609434305e-07,7.437985338754061e-09
1876,2.877903177989083e-07,1.209202959984168e-09
1877,3.3645398289650075e-07,4.9478527941460015e-09
1878,2.5545345572197675e-07,0.0
1879,2.4742767834595725e-07,8.553055375060126e-09
1880,2.271917640683796e-07,6.417846254436199e-09
1881,2.496157680553779e-07,6.972507571312292e-10
1882,2.3493509715422078e-07,6.655385131892899e-10
1883,2.793147793056505e-07,5.687405102428045e-09
1884,2.2907889096757117e-07,0.0
1885,2.8038515509365425e-07,7.090199316550638e-09
1886,1.8973183557591256e-07,0.0
1887,2.2785946907077914e-07,1.9586774424595887e-09
1888,1.9655905170168353e-07,1.9021844099853524e-09
1889,2.1050859544402556e-07,4.385595664402331e-09
1890,2.8380492622659403e-07,1.3108772956016423e-09
1891,2.6962949917219703e-07,0.0
1892,1.9808499729379037e-07,1.2537024751679837e-09
1893,2.087703174780131e-07,3.6950498771837204e-09
1894,1.9786832616830452e-07,1.8904617871129403e-09
1895,2.232905984556055e-07,1.8055843487019274e-09
1896,2.3529146098155707e-07,5.89702897624278e-10
1897,1.7771476201744463e-07,8.740070001067579e-09
1898,2.2237335350894227e-07,1.584339415217073e-08
1899,1.8849041616419981e-07,1.6582735185011188e-09
1900,2.3463559983838422e-07,1.038210628578895e-09
1901,2.056655983295741e-07,1.1177477832191585e-09
1902,1.964113609531637e-07,0.0
1903,2.0628841568282041e-07,5.400220270956879e-10
1904,2.0154844193598365e-07,2.6873125946735854e-09
1905,2.3481453759188753e-07,9.28936660926638e-09
1906,1.8776274224308054e-07,1.5432553568395235e-09
1907,2.4531362363688913e-07,1.5428530120153994e-09
1908,2.1708339836834512e-07,9.822778146428846e-10
1909,2.629470081672025e-07,1.1001967115120692e-09
1910,2.0895629049277886e-07,1.336037680488289e-08
1911,1.915334717494943e-07,0.0
1912,2.21921347076659e-07,1.0418842455450772e-09
