year,avions_VERB en_PRON,avions_VERB tant_ADV
1800,6.288328968651058e-09,5.65949598296811e-08
1801,9.524730337773235e-09,1.2144030847593967e-07
1802,2.0140561218795483e-08,9.398928568771225e-08
1803,1.950339223455444e-09,9.55666195068261e-08
1804,4.943701892301533e-09,6.426812149129546e-08
1805,0.0,7.960057502032214e-08
1806,0.0,5.76333825108577e-08
1807,8.540865792383556e-09,1.9074599322266295e-07
1808,2.2660739951163578e-09,7.251436784372345e-08
1809,4.518061036407062e-09,6.09938268780752e-08
1810,2.3401267590372754e-09,1.708292529656319e-07
1811,2.5070767684098882e-09,5.766276700569506e-08
1812,2.6672082320544632e-09,6.934741492159446e-08
1813,0.0,3.738464116054274e-08
1814,0.0,9.44003133440674e-08
1815,2.697223555614414e-09,4.045835311217161e-08
1816,9.270415546325239e-09,1.0197457100957763e-07
1817,3.113746815941454e-09,3.7364962679475866e-08
1818,9.536941902865692e-09,5.722165141719415e-08
1819,3.1053151161586356e-09,5.693077653745604e-08
1820,5.933240565525466e-09,1.0798498095709874e-07
1821,0.0,7.59334568556369e-08
1822,4.010246357211145e-09,4.3110148340019805e-08
1823,5.929612356680991e-09,1.5219337967664615e-07
1824,0.0,6.484256687144807e-08
1825,1.4969252504215547e-08,2.993850500843109e-08
1826,6.1655889282974385e-09,1.3300056878051691e-07
1827,1.8434546333878643e-08,7.097300169789378e-08
1828,1.2841221419535032e-08,1.2199160437376122e-07
1829,1.1145129263923081e-08,7.372931065674493e-08
1830,4.174734336004349e-09,1.1793624565825667e-07
1831,1.870944643656003e-08,8.575163690238696e-08
1832,2.705993873419743e-09,1.3259369779916597e-07
1833,9.266902800675325e-09,1.2278646011054661e-07
1834,2.42697808516823e-08,7.560969805808782e-08
1835,1.1344631900556124e-08,1.1420262779893164e-07
1836,8.736974699274924e-09,8.266522399935639e-08
1837,4.87052354003481e-09,8.627785064163618e-08
1838,1.64116205070286e-08,7.069621688060579e-08
1839,3.4957374772659477e-09,6.921560213868361e-08
1840,8.280594876453051e-09,5.7327198987877637e-08
1841,1.2841097074556274e-09,8.539329598988843e-08
1842,6.037438549100216e-09,6.507016792056675e-08
1843,4.134837805480629e-09,7.619915010081968e-08
1844,7.683985892015244e-09,6.860701518007772e-08
1845,2.7901139176833567e-09,6.473064217971114e-08
1846,4.6836010625384006e-09,6.791221807134207e-08
1847,1.240441438454809e-08,4.7999691332734074e-08
1848,8.84974404868899e-09,4.505324113779352e-08
1849,8.379414939696517e-10,6.787325901314034e-08
1850,1.1541293254424545e-08,1.2423862472132896e-07
1851,9.674158363282004e-09,7.803821233665076e-08
1852,5.859490670445666e-09,8.593919886834556e-08
1853,3.5831591027601917e-09,6.987160361404676e-08
1854,9.871762074453727e-09,6.754363823802123e-08
1855,6.368324534378189e-09,9.021793090369101e-08
1856,1.0354378465748937e-09,7.76578374939163e-08
1857,3.4170564155999728e-09,9.079607110606958e-08
1858,4.893676130990343e-09,5.0894229275399994e-08
1859,8.147477359443656e-09,6.874434177461808e-08
1860,6.865775947773045e-09,9.474770479300787e-08
1861,1.4147890858851042e-08,8.205776680370036e-08
1862,5.421583626485926e-09,7.635397025751445e-08
1863,4.495158911765884e-09,8.490855663012553e-08
1864,7.671564716815737e-09,5.897515364949868e-08
1865,1.2708479601997169e-08,4.89511826629041e-08
1866,2.919367858567057e-09,6.130672147719451e-08
1867,4.367530337390235e-09,6.017486242626546e-08
1868,5.9278488784286765e-09,6.026646559575966e-08
1869,1.953407657850903e-09,6.006728625607138e-08
