year,ces_DET tissus_NOUN
1800,3.1756061424914606e-07
1801,5.262413793616361e-07
1802,1.3874608839614666e-07
1803,1.8138154622704405e-07
1804,2.6201620073607046e-07
1805,1.648869085713045e-07
1806,3.63090304489333e-07
1807,3.501754832768711e-07
1808,2.583324416605137e-07
1809,3.2981844810819894e-07
1810,2.737948250342015e-07
1811,2.2312983993799662e-07
1812,6.081234644739197e-07
1813,3.0482860680081103e-07
1814,2.926409683468023e-07
1815,5.42141943782326e-07
1816,5.794009823034685e-07
1817,4.810738829519323e-07
1818,4.3869932842000026e-07
1819,7.090469225090601e-07
1820,6.27736838509918e-07
1821,6.21273787970722e-07
1822,4.50150153596951e-07
1823,5.089583652306828e-07
1824,3.8568695615026627e-07
1825,4.076920205875467e-07
1826,5.240750660107096e-07
1827,5.060283001512289e-07
1828,6.136269590228949e-07
1829,5.641149911639332e-07
1830,4.7070130193560544e-07
1831,4.786500227282886e-07
1832,4.532539765733645e-07
1833,5.166298464587271e-07
1834,6.347481331658855e-07
1835,4.205076820085196e-07
1836,5.712637758392702e-07
1837,7.918080164870389e-07
1838,5.377962146724258e-07
1839,7.858418129558231e-07
1840,6.242294610103727e-07
1841,6.362763400602489e-07
1842,5.681900603349277e-07
1843,5.877376700880177e-07
1844,5.510515421747186e-07
1845,7.053408417334595e-07
1846,6.97271097749308e-07
1847,4.92940642971007e-07
1848,5.470750963354476e-07
1849,4.767887062939735e-07
1850,5.227526855833275e-07
1851,7.107281376761421e-07
1852,7.363426917095239e-07
1853,7.022991823646407e-07
1854,4.930685655324396e-07
1855,6.601829625196842e-07
1856,6.331702167017284e-07
1857,4.2469129191147204e-07
1858,5.172615349380294e-07
1859,6.349939880578859e-07
1860,5.776406304391912e-07
1861,6.470302338357214e-07
1862,4.459252345156983e-07
1863,4.3203469246577697e-07
1864,4.435123379664674e-07
1865,5.153994706574849e-07
1866,6.057687826910296e-07
1867,6.721143819277131e-07
1868,7.982836507380853e-07
1869,6.69530454189271e-07
1870,6.680166961814393e-07
1871,7.615384092218846e-07
1872,6.500889497829121e-07
1873,7.961385861676717e-07
1874,7.569829918452342e-07
1875,6.179249112392426e-07
1876,6.54783395503955e-07
1877,6.698155665674221e-07
1878,5.86395508150872e-07
1879,4.905788237863362e-07
1880,6.321578780443815e-07
1881,6.205532017133919e-07
1882,6.821769602538552e-07
1883,4.802697475270179e-07
1884,5.010688006734654e-07
1885,5.382105960904937e-07
1886,5.420909587883216e-07
1887,4.922809253571359e-07
1888,5.066151054222701e-07
1889,4.078604032287103e-07
1890,4.4766461115841594e-07
1891,6.010889279650655e-07
1892,5.303161358938269e-07
1893,4.822040047258724e-07
1894,4.669440620830301e-07
1895,4.429700268815395e-07
1896,3.9863916967419755e-07
1897,5.465457384445926e-07
1898,4.107965576594097e-07
1899,5.621547245482361e-07
1900,7.054641422143959e-07
1901,5.281358195219354e-07
1902,5.553530861845957e-07
1903,4.6765906347445707e-07
1904,5.455244505014889e-07
1905,5.269134888408189e-07
1906,5.133896259224002e-07
1907,5.014272339565196e-07
1908,3.8308833794076236e-07
1909,4.912378201993306e-07
1910,5.002124936481778e-07
1911,3.9423973063890116e-07
1912,4.4071703619863456e-07
1913,5.011325185932947e-07
1914,5.43105912242936e-07
1915,3.0747788670737464e-07
1916,3.417100664648842e-07
1917,4.1891740210076023e-07
1918,4.801305308888004e-07
1919,3.425319636818358e-07
1920,4.5357667843859417e-07
1921,4.748112552022121e-07
1922,4.6038317336183354e-07
1923,3.779277619742061e-07
1924,4.5120685676636185e-07
1925,4.388272998312459e-07
1926,4.5253323577298943e-07
1927,5.273583383313962e-07
1928,3.862001918264468e-07
1929,3.7097554539400335e-07
1930,3.8653262102172903e-07
1931,4.2884142104071543e-07
1932,2.959074745234602e-07
1933,4.244144999887567e-07
1934,4.924429326536028e-07
1935,5.289981466205518e-07
1936,4.740763515087565e-07
1937,4.293571223001891e-07
1938,4.978642422770463e-07
1939,4.6340971948666265e-07
1940,3.423307006755749e-07
1941,5.106099365548289e-07
1942,4.460291442853759e-07
1943,3.1064616123899214e-07
1944,3.823691550053354e-07
1945,3.5509614804141165e-07
1946,2.5614831322684495e-07
1947,3.170951732300864e-07
1948,3.9356233827447795e-07
1949,2.4346180715895116e-07
1950,3.1587024551527065e-07
1951,3.3690029255240006e-07
1952,3.5114198126962037e-07
1953,4.050959141466137e-07
1954,3.068576432951886e-07
1955,3.6885439413936183e-07
1956,3.375081689682702e-07
1957,3.2601288602052136e-07
1958,3.0524578242818734e-07
1959,4.061391969401029e-07
1960,3.031325022107012e-07
1961,2.9668639456303936e-07
1962,2.3845756302876e-07
1963,3.5498633010888625e-07
1964,3.2123354110069613e-07
1965,2.746965854782957e-07
1966,2.6255214713444275e-07
1967,2.6426599220030766e-07
1968,3.045180072547282e-07
