year,leurs_DET eaux_NOUN,leurs_DET taux_NOUN
1800,2.37384421630793e-06,5.973912209356058e-08
1801,2.4002320841987057e-06,4.0480102825313224e-08
1802,2.9673759058823634e-06,4.699464284385613e-08
1803,2.1278201174368405e-06,1.950339223455444e-09
1804,3.220821721328093e-06,0.0
1805,2.1748014358280443e-06,0.0
1806,1.948008243601862e-06,2.881669125542885e-09
1807,2.334503134804322e-06,0.0
1808,2.0893201906346803e-06,0.0
1809,2.069272007076961e-06,4.518061036407062e-09
1810,2.2114197371081445e-06,4.680253518074551e-09
1811,1.9028712952007254e-06,2.5070767684098882e-09
1812,2.02974537266698e-06,2.6672082320544632e-09
1813,1.9785103546610117e-06,1.1502966579257645e-08
1814,1.9540865867639923e-06,0.0
1815,1.801745327156823e-06,0.0
1816,1.5921939109375671e-06,0.0
1817,1.3046598770216633e-06,6.227493631882908e-09
1818,1.6534673044077408e-06,3.5763532135746345e-09
1819,1.3715141626846616e-06,1.035105001712111e-09
1820,1.664867284034699e-06,1.1866481131050932e-09
1821,1.3411623509540505e-06,7.88919063410276e-09
1822,1.7695212051194176e-06,1.7043547018147365e-08
1823,1.4280482449890997e-06,2.174191138237802e-08
1824,1.7524335866880847e-06,9.263223965660927e-09
1825,1.8350543555811782e-06,1.4088708866211164e-08
1826,1.8408687090243347e-06,0.0
1827,1.3263655525008744e-06,1.1060727445055818e-08
1828,1.5528705574752166e-06,4.586150570418113e-09
1829,1.8449474730175552e-06,1.7146351893870815e-08
1830,1.7147720896559804e-06,5.218417697960831e-09
1831,1.8849768714801485e-06,3.1182412207897414e-09
1832,1.4341768022063661e-06,1.3529969367098715e-09
1833,2.2703911355392847e-06,2.3167257001688313e-09
1834,1.9247802338639985e-06,0.0
1835,1.8537128951834347e-06,6.050470346963266e-09
1836,1.6707784595837438e-06,1.344150035720304e-08
1837,1.6810264291677868e-06,1.2524203896191466e-08
1838,1.8191650958954142e-06,3.787297142565649e-09
1839,1.5234424424193094e-06,6.9914751765765e-10
1840,1.603250655790589e-06,1.7835128041099324e-08
1841,1.357303966997847e-06,3.852329122366882e-09
1842,1.4758182649288187e-06,2.683306021822318e-09
1843,1.3916682206627229e-06,3.721353891705803e-08
1844,1.4314167691154012e-06,3.841992946007622e-09
1845,1.4346766352701934e-06,5.580227835366713e-09
1846,1.3178481932385466e-06,7.025401593807601e-09
1847,1.2911377176294536e-06,1.4561703842730367e-08
1848,1.242986698457571e-06,1.850401076808339e-08
1849,1.4136072472581418e-06,5.02764896381791e-09
1850,1.3306432302684357e-06,1.0183494048021657e-08
1851,1.3118157955460674e-06,1.483370937194195e-08
1852,1.3424744675916145e-06,5.208436348880241e-09
1853,1.461928928137013e-06,7.166318205520383e-09
1854,1.3550292843333978e-06,3.117398783558656e-09
1855,1.4100531942062844e-06,8.491099379170919e-09
1856,1.3900753312867664e-06,7.765783571755946e-09
1857,1.4498081668534724e-06,1.4644527812635033e-09
1858,1.3071008506670978e-06,8.31924928945682e-09
1859,1.2455456204207849e-06,1.3748868266105774e-08
1860,1.2436208720600916e-06,5.950339054816567e-09
1861,1.342634897483208e-06,4.715963619617014e-09
1862,1.3874736257690756e-06,9.035972858839614e-09
1863,1.2971030667330297e-06,1.6981710260211003e-08
1864,1.458556289080093e-06,3.835782358407869e-09
1865,1.2684945289720417e-06,7.0602665935837194e-09
1866,1.2431641103205493e-06,4.865612801552288e-09
1867,1.1714686873887104e-06,1.4073153309368536e-08
1868,1.3061026660210473e-06,1.531360993567432e-08
1869,1.3317356568620653e-06,1.4650557433881772e-09
1870,1.406562120109811e-06,1.7202146374017957e-09
1871,1.1173478124959502e-06,5.3105884134652115e-09
1872,1.1465755296313773e-06,5.442605477412599e-09
1873,1.2187505653571407e-06,2.3944017879529156e-09
1874,1.3251683341763965e-06,8.364453130127458e-09
1875,1.2764727213010474e-06,8.010138330405425e-09
1876,1.4395560707924915e-06,8.464420275799966e-09
1877,1.478171014923646e-06,2.6594708657512456e-08
1878,1.2029865033014175e-06,7.2469061862534545e-09
1879,1.3183924245652179e-06,1.588424503040642e-08
1880,1.2457039346713827e-06,1.3477476912271413e-08
1881,1.3680059565146507e-06,7.669758161910067e-09
1882,1.1893173095245402e-06,3.9932310791357395e-09
1883,1.2802980187132107e-06,1.1374810426900694e-08
1884,1.1658596577035496e-06,5.281357573494461e-09
1885,1.3155542504250661e-06,1.353583467533781e-08
1886,1.0938621457512454e-06,1.4197620856748472e-08
1887,1.1477849781726945e-06,1.6322312390570914e-08
1888,1.0512739123669235e-06,1.6485598663962264e-08
1889,1.122712486534283e-06,1.8795409673089125e-08
1890,1.1135903026371352e-06,7.209825181320184e-09
1891,9.873666328985564e-07,1.1473596295275001e-08
1892,1.2223599092919812e-06,1.6924984080901595e-08
1893,1.1091308387278787e-06,1.1700991287000306e-08
1894,1.182798868626378e-06,2.2055386850183822e-08
1895,1.0255718585483464e-06,1.444467478961542e-08
1896,1.116897330177835e-06,1.0614652268259306e-08
1897,9.142113661653184e-07,2.039349777938071e-08
1898,1.0864041177782724e-06,1.584339415217073e-08
1899,9.535072944544254e-07,2.5426860617017155e-08
1900,1.0812963360251615e-06,1.4015843263770478e-08
1901,1.02273922308882e-06,3.129693859627025e-08
1902,8.376944222732163e-07,3.58450705784108e-08
1903,9.909404106167585e-07,1.9440793863623185e-08
1904,9.486213539133814e-07,2.042357571951925e-08
1905,1.0636324176971357e-06,1.5998352531632065e-08
1906,1.0067168751959343e-06,2.2634412566446827e-08
1907,1.030111567601466e-06,2.5199932807140613e-08
1908,1.0613511740587e-06,4.420250321324204e-08
1909,8.565031279772484e-07,4.950885185150966e-08
1910,1.091810023723383e-06,3.046165797382372e-08
1911,9.816089772129999e-07,2.553779587799454e-08
1912,8.710152243907032e-07,3.334029541335326e-08
1913,8.452965651883915e-07,3.234823853226487e-08
1914,9.187932459298054e-07,3.3483719352744856e-08
1915,8.505709878647849e-07,1.0602685840410686e-08
1916,8.097759307545971e-07,2.307367097387214e-08
1917,8.246751193041746e-07,2.9609345197911807e-08
1918,7.546549269932257e-07,2.6418664589300533e-08
1919,6.832223444774854e-07,5.800944569145372e-08
1920,6.565124976987136e-07,2.7260033785836413e-08
1921,7.345565116168018e-07,3.634918854800162e-08
1922,8.366578896357169e-07,6.56636274243283e-08
1923,7.484243660371703e-07,2.5478275489376756e-08
1924,8.792087937692372e-07,2.9650736976805092e-08
1925,9.579412996174597e-07,5.499089028582205e-08
1926,7.612812815693815e-07,5.015762383209221e-08
1927,7.726413127073783e-07,5.4631203671995365e-08
1928,8.032506730870637e-07,7.084145348112969e-08
1929,8.656096017745085e-07,7.575476335119902e-08
1930,7.100435919227266e-07,1.5755405868844718e-07
1931,7.00288884658562e-07,9.238339071515611e-08
1932,8.121016694673244e-07,1.0849940945689696e-07
1933,6.744749416753848e-07,1.0438302422421941e-07
1934,6.110605959008808e-07,1.1023053758663082e-07
1935,6.259412757003702e-07,5.505410705097802e-08
1936,7.068708445245875e-07,8.002311613353186e-08
1937,7.013253018328669e-07,8.561960551656256e-08
1938,6.210337772927232e-07,8.42738951956079e-08
1939,7.310556071615792e-07,9.788192301130039e-08
1940,7.50591727438632e-07,8.114505645195891e-08
1941,7.644391892824842e-07,4.132103725851266e-08
1942,7.555187195862345e-07,9.102635623037258e-08
1943,6.067761706418651e-07,6.096794180621146e-08
1944,5.815866721547991e-07,8.032965581605822e-08
1945,5.315549813644793e-07,7.624763886937558e-08
1946,5.554520754458281e-07,1.058003942233654e-07
1947,4.816031857757253e-07,1.1801662269661506e-07
1948,4.7510149592255857e-07,1.3807297527534956e-07
1949,6.253434357006427e-07,2.0910227949144655e-07
1950,6.26422774985258e-07,1.233701913960772e-07
1951,6.51411619756459e-07,1.1620928264122199e-07
