year,moindres_ADJ erreurs_NOUN,moindres_ADJ terreurs_NOUN
1800,9.432493897065797e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,9.751696339321825e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,4.034336598124355e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,2.945896149242344e-08,0.0
1809,6.09938268780752e-08,0.0
1810,3.042164919975221e-08,0.0
1811,5.766276700569506e-08,0.0
1812,6.668020802180763e-08,0.0
1813,1.1790540810352468e-07,0.0
1814,9.440030979135372e-09,0.0
1815,1.8880564667256294e-08,1.6183340889597275e-08
1816,5.0987285504788815e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,2.2772310259711048e-08,0.0
1820,5.814575843032799e-08,0.0
1821,2.7612166775270452e-08,0.0
1822,1.5038423839541792e-08,7.017931125119503e-09
1823,1.9765373338032077e-08,0.0
1824,5.3053010873327366e-08,0.0
1825,8.805443485471187e-09,0.0
1826,1.2331177856594877e-08,0.0
1827,7.005127855563842e-08,0.0
1828,2.8434133270138773e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,4.696576283436116e-08,0.0
1831,1.870944643656003e-08,1.2472964883158966e-08
1832,5.682587200794842e-08,0.0
1833,4.054269808762001e-08,1.1583628500844156e-09
1834,1.5868701908061666e-08,0.0
1835,1.8907719834260206e-08,7.563087933704082e-10
1836,7.392825018825988e-09,0.0
1837,3.409366655660051e-08,0.0
1838,1.3886756633496589e-08,6.312161904276081e-10
1839,3.146163862766116e-08,0.0
1840,2.93005673057678e-08,0.0
1841,1.219904177673925e-08,0.0
1842,3.085801836277824e-08,0.0
1843,1.5357969118667825e-08,0.0
1844,1.920996517412732e-08,0.0
1845,2.7343116215661212e-08,0.0
1846,2.985795788390533e-08,0.0
1847,3.7752563741833e-08,0.0
1848,2.091757700384278e-08,0.0
1849,1.1731181359664333e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,2.3217978650791338e-08,0.0
1852,2.539112742283578e-08,0.0
1853,1.1346670270029335e-08,0.0
1854,1.9743524148907454e-08,0.0
1855,2.1227748447927297e-08,0.0
1856,2.1226476576430287e-08,0.0
1857,1.2203773103180993e-08,0.0
1858,2.7893953813418193e-08,0.0
1859,2.0877910955618972e-08,0.0
1860,1.7393299245327398e-08,0.0
1861,1.0846716413936974e-08,0.0
1862,1.0391368654438793e-08,0.0
1863,1.897955925755923e-08,0.0
