year,mes_DET airs_NOUN,mes_DET terres_NOUN
1800,9.432493452976587e-09,2.8926313611066234e-07
1801,3.333655596016172e-08,3.40509112461973e-07
1802,2.2378401354217203e-08,5.415573411937658e-07
1803,3.1205427575287104e-08,3.6081274856769596e-07
1804,5.19088700912107e-08,5.265042481994442e-07
1805,1.7057266488151868e-08,5.600469346056514e-07
1806,8.068673551520078e-08,4.380137204051948e-07
1807,0.0,3.9857372513552036e-07
1808,6.798222074166915e-08,5.030684397944185e-07
1809,1.1295152813062259e-08,5.57980513349321e-07
1810,6.552354792077608e-08,4.5398459747048037e-07
1811,5.515568801683912e-08,4.838658274053387e-07
1812,1.0668832928217853e-08,3.867451994210569e-07
1813,4.313612333994854e-08,3.537162218680834e-07
1814,2.5173417128598885e-08,3.870412808026913e-07
1815,1.0788894222457657e-08,1.1058616755654782e-07
1816,1.8540831092650478e-08,3.684990144137146e-07
1817,1.5568733857662664e-08,4.25026434713871e-07
1818,0.0,3.397535595084378e-07
1819,4.140420006848444e-09,3.364091298863059e-07
1820,3.678609061807947e-08,5.73151044847009e-07
1821,2.465372084259343e-08,8.313234372003819e-07
1822,1.0025615893027862e-08,7.00790579344357e-07
1823,2.9648061450338048e-08,4.476857278223889e-07
1824,2.6105450245950124e-08,3.082127282283409e-07
1825,1.496925317034936e-08,5.767565358638649e-07
1826,1.76159691278599e-08,7.627714353475312e-07
1827,1.3825909916942436e-08,5.613319440378461e-07
1828,2.2013523448549677e-08,4.366015389223321e-07
1829,2.0575622983187714e-08,4.1922832183516334e-07
1830,2.2961039292113128e-08,5.385407311209178e-07
1831,9.354723218280014e-09,5.145097938807908e-07
1832,2.5706942574643676e-08,8.226221379636911e-07
1833,2.548398292390175e-08,4.841956737777764e-07
1834,5.600718555598405e-09,3.948506597239998e-07
1835,1.663879345414898e-08,3.9025535158998537e-07
1836,2.419469957715137e-08,3.2326808785398953e-07
1837,7.653680356156656e-09,4.5782923141501897e-07
1838,1.7042836475411605e-08,4.5005713733559105e-07
1839,6.9914749545318955e-09,4.5444589691356896e-07
1840,3.184844388215424e-08,4.337757930628072e-07
1841,1.733548060656176e-08,2.349920715793985e-07
1842,7.379091560011375e-09,4.286581276602419e-07
1843,2.4218335781256428e-08,3.934002688055216e-07
1844,4.390849017710252e-09,3.276670970109308e-07
1845,1.0602432709561072e-08,3.041224259092701e-07
1846,9.367202125076801e-09,2.769179250350362e-07
1847,6.47186837454683e-09,2.4593099823277953e-07
1848,1.528592186161859e-08,2.0354410823486546e-07
1849,6.703531951757213e-09,1.5585712120902429e-07
1850,2.1045888587423178e-08,2.430460490643327e-07
1851,5.804494884742439e-09,2.612022709236328e-07
1852,1.3021090872200602e-08,2.3372858670711594e-07
1853,2.20961471342207e-08,3.0516572468997083e-07
1854,3.013485283531736e-08,2.5147015025872577e-07
1855,2.812676669350367e-08,2.584478480116559e-07
1856,2.8992259260007813e-08,1.936268810842634e-07
1857,1.6597130780837688e-08,2.865445722921578e-07
1858,7.829881809584549e-08,3.489190978367418e-07
1859,3.360834455179429e-08,3.8038535343787316e-07
1860,1.876645361331697e-08,3.6571699446596995e-07
1861,1.7920661843362495e-08,3.357766171774301e-07
1862,2.5300723294208183e-08,2.765007716121204e-07
1863,1.9479021062807078e-08,3.9707235599539814e-07
1864,8.151037178549814e-09,2.7473789998566644e-07
1865,1.3179164537469035e-08,2.720556153690268e-07
1866,3.503241252644784e-08,2.8123242223898615e-07
1867,1.5043715606566366e-08,3.7560760013377603e-07
1868,1.2349684830326169e-08,2.4254780406351983e-07
1869,1.6115613732381462e-08,3.101034673491654e-07
1870,1.490852596930381e-08,2.649130665943744e-07
1871,1.5931766128574054e-08,2.2092048190813784e-07
1872,1.8746751706544273e-08,2.793870863548875e-07
1873,3.112722185560912e-08,2.544051787012336e-07
1874,2.3898437007119355e-08,3.315908059242645e-07
1875,2.7463329999033448e-08,2.87792820685695e-07
1876,4.353130833578689e-08,2.938363135029931e-07
1877,8.040260901509555e-09,2.974896438079355e-07
1878,2.355244521634603e-08,2.1197201127698406e-07
1879,2.077170613290491e-08,2.602572679588633e-07
1880,2.6954953824542827e-08,4.1972713304971876e-07
1881,2.9284532132578533e-08,3.876714140815807e-07
1882,2.6621540527571597e-08,3.1812741152492663e-07
1883,1.895801765572358e-08,2.388710065304167e-07
1884,2.3105939384038265e-08,1.8616786068292868e-07
1885,2.6427105892512515e-08,1.553398178977261e-07
1886,1.677900662855336e-08,1.6779005462819185e-07
1887,2.154545164501087e-08,2.5854541418901533e-07
1888,1.9021844543942734e-08,2.2699400936687653e-07
1889,1.3156787381785051e-08,2.13641157820188e-07
1890,1.2453334363726754e-08,1.8090106790324967e-07
1891,2.6771723837804018e-08,1.969633940390736e-07
1892,1.6298132621272998e-08,1.7301094512589543e-07
1893,1.23168328869383e-08,1.4041189944080656e-07
1894,1.827446460822557e-08,2.0290955893287332e-07
1895,2.7083764564395096e-08,2.010217259318381e-07
1896,9.435246361988447e-09,1.633477051399268e-07
1897,9.322741689743452e-09,1.4450249885555877e-07
1898,1.5277558773618694e-08,1.9577907606205258e-07
1899,1.9346524382513053e-08,1.9899282932556162e-07
1900,1.9206896184620348e-08,1.6455638274237572e-07
1901,6.147612641171918e-09,1.0842153530532528e-07
1902,7.365425880312415e-09,9.771465059316142e-08
1903,1.0800440541913758e-08,1.2096493207103265e-07
1904,1.2361637935498493e-08,1.1340459060704688e-07
1905,9.28936660926638e-09,1.9043200394364135e-07
1906,9.259531807970234e-09,1.5123901864200207e-07
1907,1.7485666858885196e-08,1.2857108266928208e-07
1908,1.7680999775393502e-08,9.773664522150227e-08
1909,1.9803540807217246e-08,1.4357567357237144e-07
1910,1.6566866878342523e-08,1.6299658911478332e-07
1911,2.2877608141236294e-08,1.7078401148840072e-07
1912,1.2502610502451716e-08,1.3961248218619104e-07
1913,3.712092677687906e-08,1.5113521023568666e-07
1914,1.1384464038144415e-08,1.305865060530209e-07
1915,2.1205371680821372e-08,2.3325908671267825e-07
1916,1.2086208478478966e-08,1.0657838434013911e-07
1917,1.864292187292449e-08,1.458534510945242e-07
1918,1.8378202071289707e-08,1.5851199730576582e-07
1919,1.2890987832747669e-08,1.233851694149024e-07
1920,1.2872794385998532e-08,1.0298235109118536e-07
1921,3.634918854800162e-08,1.514549544667787e-07
1922,2.87739485571592e-08,1.7633265958494349e-07
1923,2.7601466001669905e-08,1.1146745304557726e-07
1924,1.675911143195208e-08,1.907960401892339e-07
1925,2.859526304632709e-08,1.8037011950688964e-07
1926,3.343841470382358e-08,1.4712902829394636e-07
1927,3.4562596340492746e-08,1.9176667054310315e-07
1928,2.5137291359556002e-08,1.5882197601513326e-07
