year,étais_VERB en_PRON,étais_VERB tant_ADV
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,8.805443041381977e-10,5.283265824829186e-09
1826,2.642395191543301e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,0.0,0.0
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,1.0436835840010872e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,7.563087933704082e-10,0.0
1836,6.720750067579218e-10,0.0
1837,6.957890930081589e-10,6.957890930081589e-10
1838,1.2624323808552163e-09,0.0
1839,0.0,6.9914751765765e-10
1840,3.821813088222825e-09,0.0
1841,0.0,1.2841097074556274e-09
1842,6.708265054555795e-10,1.341653010911159e-09
1843,1.1813822142769936e-09,7.088293507706567e-09
1844,1.097712254427563e-09,0.0
1845,0.0,0.0
1846,1.7563503984519002e-09,0.0
1847,3.775256551818984e-09,1.0786447290911383e-09
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,2.0366988096043315e-09
1851,1.2898877521649865e-09,0.0
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,0.0
1854,5.195664454227256e-10,5.195664454227256e-10
1855,0.0,0.0
1856,2.0708756931497874e-09,1.0354378465748937e-09
