year,nos_DET toutes_ADJ
1800,1.8864987794131594e-08
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,2.9584464877885353e-09
1822,1.0025615893027862e-09
1823,1.9765373782121287e-09
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,8.807984341885344e-10
1827,7.373818444733615e-09
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,7.30578508800761e-09
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,2.8003592777992026e-09
1835,3.781543966852041e-09
1836,2.688300027031687e-09
1837,6.957890930081589e-10
1838,1.8936485712828244e-09
1839,6.9914749545318955e-09
1840,1.9109066329292546e-08
1841,1.926164561183441e-09
1842,2.0124795163667386e-09
1843,0.0
1844,1.097712254427563e-09
1845,0.0
1846,5.854501328173001e-10
1847,0.0
1848,3.218088684420195e-09
1849,8.379414939696517e-10
1850,6.788996032014438e-10
1851,1.2898877521649865e-09
1852,1.3021090872200602e-09
1853,4.180352064508952e-09
1854,8.313063126763609e-09
1855,2.1227748447927297e-09
1856,5.177189232874468e-10
1857,2.440754542920587e-09
1858,1.4681028059904122e-09
1859,1.018434669930457e-09
1860,9.154367819341758e-10
1861,1.8863854922557266e-09
1862,2.710791813242963e-09
1863,9.989241656072068e-10
1864,2.876836879828204e-09
1865,4.706844358715045e-10
1866,3.4059290943133647e-09
1867,2.426405742994575e-09
1868,6.421836395986702e-09
1869,1.4650557433881772e-09
1870,5.734048791339319e-10
1871,4.248470908407853e-09
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,5.974609140757536e-10
1875,5.149374426860476e-09
1876,2.418405919968336e-09
1877,3.710889595609501e-09
1878,1.0870359723469392e-08
1879,3.6655952717623563e-09
1880,1.9253538763308597e-09
1881,5.578006168072136e-09
1882,2.6621540527571597e-09
1883,2.5277356319186595e-09
1884,8.582206056928499e-09
1885,7.090199094506033e-09
1886,1.2906927748801422e-09
1887,5.876032105334161e-09
1888,3.804368819970705e-09
1889,3.132568371366773e-09
1890,6.554386589030514e-09
1891,6.374220040683554e-09
1892,1.0656471260972467e-08
1893,4.926733243593162e-09
1894,7.561847148451761e-09
1895,4.213030146971164e-09
1896,8.255840844295648e-09
1897,5.826713334045053e-09
1898,9.619203433786083e-09
1899,6.080336234504102e-09
1900,3.114631885736685e-09
1901,3.353243460679778e-09
1902,5.892340670943241e-09
1903,1.0800440541913758e-08
1904,1.3974025492302644e-08
1905,6.192911072844254e-09
1906,8.7451136887573e-09
1907,5.142843484406967e-09
1908,1.3751889405000384e-08
1909,6.60118004702781e-09
1910,1.6032452032632705e-09
1911,5.320374252271165e-09
1912,7.293189607793238e-09
1913,4.242391826725367e-09
1914,5.357394972094198e-09
1915,9.424609426211816e-09
1916,6.592477230782379e-09
1917,2.1932848426331475e-08
1918,1.033773866510046e-08
1919,5.524709190130039e-09
1920,1.2872793941909322e-08
1921,1.2116395886607734e-08
1922,1.1804696498085576e-08
1923,1.5923921736771263e-08
1924,7.734974438733389e-09
1925,6.598906754362588e-09
1926,1.4489979882625903e-08
1927,6.689535148041159e-09
1928,1.82816659588525e-08
1929,2.6736975300423182e-08
1930,9.453243521306831e-09
1931,1.4826963656844327e-08
1932,6.575722188983946e-09
1933,9.176529758292418e-09
1934,1.3179738189705859e-08
1935,1.0771455727365264e-08
1936,1.9399542861009422e-08
1937,1.2591118148108649e-09
1938,1.0372171566075394e-08
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,8.854508237732261e-09
1942,3.3376331032286544e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,9.744772988540262e-09
1947,2.0265479960812627e-08
1948,1.5220642746172075e-08
1949,1.276211036849162e-08
1950,1.4889505850490536e-08
1951,1.0661401761424827e-08
1952,2.319856839960721e-08
1953,8.619061908632375e-09
1954,1.856781906006688e-08
1955,7.508486277174597e-09
1956,1.3953826760726429e-08
1957,1.5903067696054762e-08
1958,1.9026159758794847e-08
1959,1.6276570313777938e-08
1960,4.844583401109048e-09
1961,9.03260666262895e-09
1962,1.966006452081004e-08
1963,8.405869333927285e-09
1964,1.3384730435106462e-08
1965,1.0396882466068291e-08
1966,1.7725039880289728e-08
1967,1.2818872574538176e-08
1968,8.533690143419648e-09
1969,7.720988182136068e-09
1970,5.978342543233595e-09
1971,1.0276794526475896e-08
1972,4.104117490300041e-09
1973,9.923766475239404e-09
1974,9.563471847773286e-09
1975,8.567220266542108e-09
1976,7.998937401332284e-09
1977,8.815172591880582e-09
1978,5.940591130126904e-09
1979,7.022368020415115e-09
1980,1.193881615790815e-08
1981,8.855769562110538e-09
1982,1.1173504343986451e-08
1983,6.315316269933646e-09
1984,6.378909400694965e-09
1985,4.812446441349039e-09
1986,1.0190625288064581e-08
1987,1.7110287964250404e-08
1988,8.994830602571113e-09
1989,9.878619700032232e-09
1990,5.448650863826288e-09
1991,1.0550637696837839e-08
1992,1.1570883029499157e-08
1993,4.985286850001103e-09
1994,1.6352272369513088e-08
1995,1.7894087434022765e-08
1996,7.473329288743003e-09
1997,6.233362714880286e-09
1998,1.3350761940422728e-08
1999,1.508166350139284e-08
2000,7.466473161965581e-08
2001,7.36043551385901e-08
2002,9.638686904178684e-09
2003,1.12506919336397e-08
2004,4.8452703238499595e-09
2005,6.305249322657858e-09
2006,1.48244038711276e-08
2007,6.391167151065247e-09
2008,8.94062351930458e-09
2009,1.3350939020995156e-08
2010,1.9839931031384594e-08
2011,1.3001504706178224e-08
2012,1.2255309461695063e-08
2013,1.199323723666268e-08
2014,1.602429455793697e-08
2015,1.3964425171764105e-08
2016,1.2842308688698623e-08
2017,1.4842106765833307e-08
2018,1.7812120889360017e-08
2019,1.938750737728867e-08
