year,mieux_ADV eu_VERB,mieux_ADV tu_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,0.0
1803,1.5602713787643552e-08,5.851017448321727e-09
1804,1.9774807569206132e-08,0.0
1805,1.9900143755080535e-08,1.421438877713399e-08
1806,1.152667650217154e-08,0.0
1807,4.27043254092041e-08,0.0
1808,1.3596443970698147e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,2.259030518203531e-09
1810,1.1700633351097167e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.7254450312975678e-08,1.4378708002027452e-08
1814,2.2026739543434815e-08,0.0
1815,1.0788894222457657e-08,8.091670444798638e-09
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,1.401186100480345e-08
1818,1.9073883805731384e-08,7.152706427149269e-09
1819,2.2772310259711048e-08,5.175525119582858e-09
1820,8.306536791735653e-09,9.493184904840746e-09
1821,8.875339574387908e-09,4.930744257336528e-09
1822,8.02049271442229e-09,5.012807946513931e-09
1823,8.894418535021487e-09,5.929612356680991e-09
1824,5.894778887238772e-09,4.210556348027694e-09
1825,1.0566531649658373e-08,7.044354433105582e-09
1826,1.0569580766173203e-08,2.642395191543301e-09
1827,7.373818444733615e-09,0.0
1828,1.0089530988466322e-08,8.255071293206129e-09
1829,6.001223074036943e-09,3.429270423183084e-09
1830,1.7742621594152297e-08,9.39315203396518e-09
1831,3.897801548191637e-08,0.0
1832,2.976593194148336e-08,4.058990921151917e-09
1833,1.3900354645102198e-08,3.4750886612755494e-09
1834,9.334531370086552e-09,5.600718555598405e-09
1835,1.4369867074037757e-08,8.31939672707449e-09
1836,1.9490174807401672e-08,2.688300027031687e-09
1837,1.3219993100221927e-08,7.653680356156656e-09
1838,1.0730675015224733e-08,1.009945904684173e-08
1839,1.11863602825224e-08,5.5931801412612e-09
1840,9.554533164646273e-09,3.821813254756279e-09
1841,7.704658244733764e-09,9.630823250006415e-09
1842,1.1404051036834062e-08,3.3541325272778977e-09
1843,1.2404512972352677e-08,2.953455480181333e-09
1844,1.866110821424627e-08,9.879410178825765e-09
1845,8.928364714222425e-09,6.138250796539069e-09
1846,1.1709002656346001e-08,0.0
1847,1.833696039454935e-08,8.089835468183537e-09
1848,7.24069959545659e-09,1.6090443422100975e-09
1849,5.865590679832167e-09,1.6758829879393033e-09
1850,1.5614691761811628e-08,6.788996032014438e-09
1851,1.096404567135778e-08,9.674158363282004e-09
1852,9.765818376195057e-09,5.208436348880241e-09
1853,1.2541057081705276e-08,2.388772735173461e-09
1854,7.79349651480743e-09,4.1565315633818045e-09
1855,1.4328730202350926e-08,1.8043586180738203e-08
1856,1.0354378687793542e-08,2.0708756931497874e-09
1857,1.5620829074691756e-08,9.763018005148894e-09
1858,1.0276719919488642e-08,6.8511463169329545e-09
1859,1.8331824946926645e-08,5.092173349652285e-09
1860,1.373155189554609e-08,7.323494255473406e-09
1861,1.650587222457034e-08,2.357981809808507e-09
1862,1.400575744270327e-08,1.4005757470458846e-08
1863,1.3485475847119233e-08,1.4983863039219614e-09
1864,1.0068928801842958e-08,5.274200631788517e-09
1865,1.1296426905005319e-08,1.4120533631256649e-09
1866,1.1677471434268227e-08,2.919367858567057e-09
1867,1.067618526917613e-08,1.455843445796745e-09
1868,8.89177353968762e-09,1.975949626142892e-09
1869,8.30198221279943e-09,5.371870948067681e-09
1870,9.17447806614291e-09,5.734048791339319e-09
1871,1.1683295220166201e-08,2.1242354542039266e-09
1872,1.3304146229131675e-08,4.23313739617015e-09
1873,1.2570609442263958e-08,4.190203295451056e-09
1874,8.364453130127458e-09,5.974609251779839e-09
1875,1.0298748520654044e-08,3.432916173551348e-09
1876,1.5115036333668286e-08,3.02300739996042e-09
1877,7.421779191219002e-09,2.4739263970730008e-09
1878,9.662541877730746e-09,3.6234530931267273e-09
1879,5.498392852132383e-09,3.6655952717623563e-09
