year,mais_CONJ elle_PRON,mais_CONJ tels_ADJ
1800,5.905998477828689e-05,9.432493719430113e-08
1801,5.576967623710516e-05,1.6192041840668026e-07
1802,6.0634277815552196e-05,8.503792514602537e-08
1803,6.580249601029209e-05,8.191424427650418e-08
1804,6.598111804123619e-05,1.0876143718974163e-07
1805,6.279632725636475e-05,2.2743021466098412e-08
1806,5.850652996741701e-05,8.068673551520078e-08
1807,6.102448151068529e-05,1.4519470781237942e-07
1808,5.914679832130787e-05,8.38447360429484e-08
1809,6.546670601892401e-05,8.358413250419972e-08
1810,6.074266866562539e-05,1.0998595811884115e-07
1811,5.2854192745144246e-05,6.016983888912364e-08
1812,6.155916753414203e-05,1.1202274663446588e-07
1813,6.139420975159737e-05,7.476928232108548e-08
1814,5.0570246912684524e-05,7.237357380063258e-08
1815,5.723508320443216e-05,8.0916705780254e-08
1816,6.033881663825014e-05,1.0660977878274025e-07
1817,6.110416870797053e-05,1.3233424311920317e-07
1818,5.821349441248458e-05,7.510341859529035e-08
1819,5.315264252203633e-05,1.1386155307491208e-07
1820,5.607861612588749e-05,1.3409123766905395e-07
1821,5.43003143320675e-05,7.396116252778029e-08
1822,5.312072516971966e-05,1.1429202118051762e-07
1823,5.3129324442124926e-05,1.3539281162877614e-07
1824,5.177047341931029e-05,1.6000114300140922e-07
1825,5.5567627896380145e-05,1.1623184725806368e-07
1826,5.148795162313036e-05,1.3123896813738156e-07
1827,5.207206322666025e-05,8.387718608560135e-08
1828,5.438991365736001e-05,1.3391559861020141e-07
1829,5.3566917131320224e-05,1.3545618315902175e-07
1830,5.488523129315581e-05,1.210672948559477e-07
1831,5.3183162890491076e-05,1.0134284167406804e-07
1832,5.7172237575287e-05,8.79448034396546e-08
1833,5.5090578371164156e-05,1.3321172431801642e-07
1834,5.2330315611470724e-05,8.027696374313109e-08
1835,5.228362579146051e-05,8.621920244422654e-08
1836,5.082836105430033e-05,1.3038255275432675e-07
1837,5.2843789489998017e-05,1.370704509895404e-07
1838,5.253612198430346e-05,1.1677499145434922e-07
1839,5.171804104975308e-05,1.391303534603594e-07
1840,5.1375360271777026e-05,1.0892167523479657e-07
1841,4.968284702044912e-05,1.219904177673925e-07
1842,5.288058173391619e-05,1.0464893307471357e-07
1843,5.190521051190444e-05,1.0100817959823871e-07
1844,5.450196385936579e-05,7.299786730641245e-08
1845,5.43296573596308e-05,1.0379223880363497e-07
1846,5.296391782394494e-05,8.72320740086252e-08
1847,4.999086695534061e-05,1.0301057074002529e-07
1848,5.030355259805219e-05,8.527934980406826e-08
1849,5.1663280828506686e-05,9.720121596501485e-08
1850,5.315919725035201e-05,4.6844073509078044e-08
1851,5.124723884364357e-05,7.674831792314762e-08
1852,5.08551738676033e-05,8.528814632313697e-08
1853,5.210749486650457e-05,6.449686296150503e-08
1854,5.066915991847054e-05,7.793496692443114e-08
1855,5.5802443966967985e-05,8.862585332281014e-08
1856,5.4574304613197455e-05,8.128186834710505e-08
1857,5.366291816244484e-05,1.0299983799200163e-07
1858,5.555545567403897e-05,1.1989506276677275e-07
1859,5.8010548855236266e-05,8.147477359443656e-08
1860,5.726331573896459e-05,8.193159217739776e-08
1861,5.491173715199693e-05,8.677373486420947e-08
