year,certaines_DET humeurs_NOUN,certaines_DET tumeurs_NOUN
1800,2.2009151834367913e-08,4.4018302336468196e-08
1801,4.286128785224719e-08,1.381085894536227e-07
1802,8.951360541686881e-08,2.9091921760482364e-08
1803,4.6808139586573816e-08,7.60632292706731e-08
1804,2.7190360185613827e-08,4.6965166644596934e-08
1805,1.1371511021707192e-07,1.137151048880014e-07
1806,3.1698359492793315e-08,3.1698359492793315e-08
1807,2.2775640928784924e-08,6.547996633798903e-08
1808,2.7192887053217873e-08,2.945896149242344e-08
1809,2.0331274441787173e-08,6.7770917766551975e-09
1810,0.0,5.616304266098382e-08
1811,1.0028307073639553e-08,5.264861258069686e-08
1812,2.9339291440777515e-08,5.921202017589167e-07
1813,6.039057476314724e-08,2.9620139696540093e-07
1814,1.2272040406102747e-07,1.950939849670874e-07
1815,8.631115377966125e-08,1.8341119512044202e-07
1816,3.2446456188495176e-08,1.5064425262778514e-07
1817,2.3353100786493997e-08,1.4945985393755024e-07
1818,7.987188865854478e-08,1.8358612585700484e-07
1819,1.1386155129855524e-08,1.759678553980848e-07
1820,2.254631326081835e-08,1.2341140731564337e-07
1821,2.9584464655840748e-08,1.3411623767112246e-07
1822,2.0051231786055723e-08,1.2030739071633434e-07
1823,5.336650943377208e-08,7.906149601666357e-08
1824,1.0189546628680546e-07,8.168479315173727e-08
1825,2.6416328680056722e-08,6.163810439829831e-08
1826,3.699353356978463e-08,8.367585335733452e-08
1827,2.2121454890111636e-08,5.7147094167930845e-08
1828,1.2841221419535032e-08,1.5592912383510793e-07
1829,3.8579290873030914e-08,1.1402324417986165e-07
1830,1.982998831806526e-08,1.461156970972155e-07
1831,1.091384405071949e-08,7.951515157422762e-08
1832,8.117981842303834e-09,2.2730348181454474e-07
1833,2.0850531967653296e-08,1.5753734317058843e-07
1834,3.453776287187793e-08,2.2122838494453845e-07
1835,3.100866052818674e-08,1.5806854491984268e-07
1836,4.5029024398068884e-08,1.572655525805544e-07
1837,3.061472142462662e-08,2.3378514146799034e-07
1838,3.1560809077291196e-08,1.0351945434194931e-07
1839,3.9152260211672285e-08,2.5868459196942695e-07
1840,2.7389662093924017e-08,1.8981671789930488e-07
1841,3.33868519497571e-08,2.516855097667303e-07
1842,2.2808102073668124e-08,1.4422770400202012e-07
1843,4.312045037702106e-08,1.2817996397629372e-07
1844,3.2382512671347286e-08,2.2009131184219655e-07
1845,1.5066615177694587e-08,1.8805368606766848e-07
1846,1.5807152919933287e-08,1.7739139668293546e-07
1847,2.2112217834546755e-08,1.2620143508002002e-07
1848,2.654923164646661e-08,1.4400947545567533e-07
1849,2.4300303991253713e-08,1.726159506443281e-07
1850,1.4935791270431764e-08,1.9009188889640427e-07
1851,3.418202609850596e-08,2.9086967856528645e-07
1852,1.3672145193766028e-08,3.613352790310387e-07
1853,5.792773905000104e-08,3.266646846356025e-07
1854,2.8056588163849483e-08,2.696549934455561e-07
1855,3.874064091746732e-08,3.4601229614850126e-07
1856,6.264399132760445e-08,2.593771846193249e-07
1857,1.4156376515472857e-08,2.4993326697142493e-07
1858,2.6425849952715907e-08,2.1581111830926147e-07
1859,1.9859475841599306e-08,1.8077215724332518e-07
1860,1.5104706818647173e-08,1.5608197578842464e-07
1861,1.7449066469499286e-08,2.7918504486024176e-07
1862,4.111367604697769e-08,1.5361153815618422e-07
1863,1.6482248454963155e-08,1.0688488227827975e-07
1864,2.0137857603685916e-08,2.335032500688783e-07
1865,1.553258677233771e-08,2.358128963209083e-07
1866,2.0435575009969398e-08,3.6200160025146033e-07
1867,2.4749338578544666e-08,3.2222667201153854e-07
1868,3.457912001181285e-08,2.548974968874518e-07
1869,2.490594752657671e-08,5.039791872718524e-07
1870,4.6445795653937694e-08,2.3280237471112741e-07
1871,5.523012092112367e-08,1.7418731168561408e-07
1872,1.0280476914203973e-08,1.9653852234569058e-07
1873,2.5141218884527916e-08,4.423657351537713e-07
1874,2.8080663128093875e-08,3.8177751271462057e-07
1875,2.6891177895560503e-08,2.546079542753432e-07
1876,2.8416269337583344e-08,2.7993047879704136e-07
1877,2.4120781816350245e-08,2.430632619621065e-07
1878,2.0532900657510567e-08,2.95311433973211e-07
1879,1.6495177557196428e-08,1.6495178201125782e-07
1880,1.7969970400599777e-08,2.0729643468442305e-07
1881,2.2312024228199334e-08,2.273037509326059e-07
1882,1.5307385581309063e-08,1.7836432775197864e-07
1883,2.0853818227806187e-08,1.3712965074574868e-07
1884,1.3203393933736152e-08,2.152153273371482e-07
1885,5.414333870135124e-08,3.106796491181285e-07
1886,1.2906927970846027e-08,1.910225329027071e-07
1887,7.834709769838355e-09,2.0631402186666037e-07
1888,9.510921827882157e-09,1.6485597864601687e-07
1889,1.0024218788373673e-08,1.7166474730601067e-07
1890,7.209825181320184e-09,1.500954507349661e-07
1891,1.0198752065093686e-08,1.803904288166791e-07
1892,1.817868522380195e-08,1.880553686106623e-07
1893,1.970693297437265e-08,2.414099231629052e-07
1894,1.575384822594117e-08,1.865255612187866e-07
1895,4.814891596538473e-09,2.2629989970823772e-07
1896,3.5382172747233653e-09,1.869358250417008e-07
1897,9.90541271228551e-09,2.1325771548674766e-07
1898,1.3580051749784161e-08,1.8333069462528329e-07
1899,9.39688327150634e-09,1.8019905034805106e-07
