year,tes_DET erreurs_NOUN,tes_DET terreurs_NOUN
1800,2.829747991484055e-08,3.144164484325529e-09
1801,6.905429472681135e-08,7.143547975374531e-09
1802,6.265952379180817e-08,6.713520406265161e-09
1803,8.386458461018265e-08,9.75169611727722e-09
1804,8.15710812229753e-08,0.0
1805,1.904728037516179e-07,1.421438833304478e-08
1806,5.187004603612877e-08,2.881669125542885e-09
1807,5.4092147649953404e-08,0.0
1808,2.945896149242344e-08,6.798221985349073e-09
1809,4.292158095609011e-08,0.0
1810,8.424456154898508e-08,3.042164742339537e-08
1811,4.011322829455821e-08,2.5070767684098882e-09
1812,6.934741492159446e-08,0.0
1813,4.026038280535715e-08,0.0
1814,4.72001566720337e-08,0.0
1815,4.315557666778602e-08,0.0
1816,6.721051448721482e-08,0.0
1817,8.407116069975018e-08,1.5568733857662664e-08
1818,7.27191817873063e-08,2.384235475716423e-09
1819,6.728182455617571e-08,3.1053151161586356e-09
1820,9.611849804969097e-08,4.746592452420373e-09
1821,7.494730880353018e-08,2.9584463767662328e-09
1822,7.920236555492011e-08,8.02049271442229e-09
1823,7.115534439439131e-08,4.941343445530322e-09
1824,5.9789897477458e-08,1.1789557774477544e-08
1825,6.163810284398608e-08,1.4088708644166559e-08
1826,7.04638765114396e-08,1.0569581432307018e-08
1827,7.650336897313537e-08,3.6869092223668076e-09
1828,4.4027046897099353e-08,2.7516904310687096e-09
1829,5.65829603726975e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,5.218417697960831e-09
1831,6.548306430431694e-08,2.0268567268999504e-08
1832,3.2471927369215337e-08,2.4353944638733083e-08
1833,2.4325620628928846e-08,6.950177322551099e-09
1834,3.733812548034621e-08,2.8003592777992026e-09
1835,3.327758690829796e-08,1.285724948729694e-08
1836,5.914260120531978e-08,6.72075017860152e-09
1837,6.122944284925325e-08,1.3219992989199625e-08
1838,4.1029051267571504e-08,6.943378094703689e-09
1839,4.894032556990169e-08,5.5931801412612e-09
1840,3.7581162348754305e-08,2.5478754661634184e-09
1841,4.494384020503617e-08,7.704658244733764e-09
1842,3.6895457355967665e-08,4.695785538189057e-09
1843,4.3120451209688326e-08,7.088293507706567e-09
1844,4.0066497009050295e-08,2.7442805805577564e-09
1845,3.8503573496218024e-08,7.254296274794569e-09
1846,4.9177810268474786e-08,1.2294452567118697e-08
1847,3.7752563741833e-08,8.089835468183537e-09
1848,3.057184372323718e-08,2.413566457803995e-09
1849,4.1059134758825167e-08,0.0
1850,4.8880771430503955e-08,6.788996032014438e-10
1851,3.031236261996639e-08,3.2247193804124663e-09
1852,4.557381672043448e-08,5.208436348880241e-09
1853,3.3442819624696085e-08,1.7915795513800958e-09
1854,3.325225234052098e-08,6.234797567117312e-09
1855,4.4578271740647324e-08,2.653468555990912e-09
1856,2.5368226630462232e-08,9.318940286107136e-09
1857,2.0990489346672803e-08,2.4407544874094356e-09
1858,2.300027723833864e-08,1.2234189661342043e-08
1859,4.073738635312907e-08,1.018434669930457e-08
1860,4.851814949802247e-08,4.57718396518203e-09
1861,4.33868658777925e-08,6.13075279431996e-09
1862,3.343309987191567e-08,5.421583626485926e-09
1863,6.1433837572622e-08,3.995696662428827e-09
1864,3.1165731662063934e-08,2.8768367688059016e-09
1865,3.247722446531043e-08,7.530950973944073e-09
1866,4.184427027098536e-08,6.3252967308358166e-09
1867,2.9602150064533816e-08,6.308654931785895e-09
1868,4.6928803953960596e-08,4.939874287401835e-09
1869,3.613804011592947e-08,9.767038289254515e-10
1870,3.612450782952692e-08,1.1468097582678638e-09
1871,2.1242353653860846e-08,2.1242354542039266e-09
1872,1.6327815544059376e-08,4.8378714367913744e-09
1873,2.873282073379002e-08,2.9930022904522957e-09
1874,3.1067966865805374e-08,4.182226287507973e-09
1875,2.9179788085809122e-08,1.716458086775674e-09
1876,2.6602466007830117e-08,3.02300739996042e-09
1877,2.288381928394756e-08,3.710889595609501e-09
1878,2.3552445993502147e-08,3.6234530931267273e-09
1879,2.871382953628654e-08,3.665595160740054e-09
1880,1.6686400927667933e-08,3.8507077526617195e-09
1881,1.045876096839038e-08,6.972507571312292e-10
1882,1.1979693681496428e-08,3.3276925659464496e-09
1883,1.5798347796636136e-08,2.5277355764075082e-09
1884,1.8484751507230612e-08,1.3203393933736152e-09
1885,1.353583467533781e-08,1.2891271383708158e-09
1886,7.744156427236248e-09,2.5813855497602844e-09
1887,1.109917185937448e-08,1.3057849246322917e-09
1888,1.8387782851903012e-08,3.1703073499755874e-09
1889,1.4409814397264853e-08,8.14467782106476e-09
1890,3.277193383333099e-08,3.277193239004106e-09
1891,1.466070642663908e-08,1.2748440081367107e-09
1892,2.1312942521944933e-08,2.5074049503359674e-09
1893,9.853466542697475e-09,1.2316833108982905e-09
1894,2.646646479753656e-08,0.0
1895,9.027921521465032e-09,0.0
1896,1.0614652268259306e-08,1.7691086373616827e-09
1897,2.155884004650943e-08,3.4960281336537946e-09
1898,1.7540900398849146e-08,3.960848538042683e-09
1899,1.2713430308508578e-08,5.527578395003729e-10
1900,1.6092265298084385e-08,5.191053142894475e-10
1901,2.6267072072982955e-08,5.588738916095792e-10
1902,1.178468167495339e-08,5.892340837476695e-09
1903,9.720396709766987e-09,3.7801539676252105e-09
1904,1.0749250378694342e-08,1.6123875568041512e-09
1905,1.4450125540577119e-08,3.6125313851442797e-09
1906,7.201858387428928e-09,2.0576738091193647e-09
1907,1.491424583832668e-08,1.028568674676933e-09
1908,1.0313917053750288e-08,3.437972351250096e-09
1909,2.2003934396774838e-08,0.0
1910,1.763569701385137e-08,5.344150677544235e-10
1911,1.7025198029152477e-08,5.320374141248863e-10
1912,1.1981668990301841e-08,2.083768435579003e-09
1913,2.4393752795504042e-08,2.6514948014977335e-09
1914,1.875088173619588e-08,2.6786975415582504e-09
1915,1.295883844676382e-08,7.068456930880984e-09
1916,3.29623865980011e-08,0.0
1917,2.302949086985251e-08,2.1932848870420685e-09
1918,2.412139110674616e-08,1.1486376294556067e-09
1919,2.8544330232804782e-08,0.0
1920,1.8930579770426448e-08,9.843901693784574e-09
1921,3.180553775905537e-08,2.27182422873895e-09
1922,2.1396012073182646e-08,0.0
1923,1.8047112249064412e-08,1.0615948120573648e-09
1924,2.1915761649893284e-08,3.867487219366694e-09
1925,2.639562701745035e-08,1.2097995494286806e-08
1926,2.0063049888108253e-08,1.1146138456652466e-09
1927,1.5608915049369898e-08,3.3447675740205796e-09
1928,1.9424270192303084e-08,0.0
1929,2.1166771446701205e-08,0.0
1930,1.785612657734248e-08,2.100720708497761e-09
1931,1.710803587684495e-08,3.4216069977333063e-09
1932,1.8631212239661465e-08,0.0
1933,1.9500125292282178e-08,2.2941324395731044e-09
1934,1.1981580172459871e-08,0.0
1935,9.574627313213568e-09,5.98414207075848e-09
1936,2.9099314513558738e-08,2.424942913137329e-09
1937,1.2591118370153254e-08,3.777335333410292e-09
1938,1.1668692678767911e-08,3.889564337278273e-09
1939,1.5294050470515685e-08,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
1941,1.7709016475464523e-08,5.9030051957620344e-09
1942,3.034211815133858e-08,0.0
1943,2.3225881884414434e-08,0.0
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,3.485606470121638e-08,0.0
1946,1.1136883415474585e-08,0.0
1947,1.7881306435540978e-08,4.7683483828109274e-09
1948,1.4133454406817236e-08,2.174377566888097e-09
1949,1.7670615193310368e-08,5.890205101444224e-09
1950,2.3397795700930146e-08,5.317680518146517e-09
1951,1.3859822622919182e-08,0.0
1952,2.1089608281954497e-08,1.0544803918932644e-09
1953,2.0470272588113403e-08,0.0
1954,2.1499578783945594e-08,5.86352189024808e-09
1955,1.1262729415761896e-08,1.8771215692936494e-09
1956,3.9245136917998025e-08,1.744228317335228e-09
1957,2.4738105619537265e-08,0.0
1958,1.3235589513271862e-08,3.3088973783179654e-09
1959,2.6352543258667538e-08,3.100299128533379e-09
1960,3.668041514970355e-08,2.076250060767393e-09
1961,2.779263708063695e-08,3.47407969059077e-09
1962,1.712328306924249e-08,1.2683912808952869e-09
1963,3.685650185047962e-08,7.1126584622049904e-09
1964,2.1293889318485526e-08,2.4335873316516654e-09
1965,1.860494691641179e-08,2.188817349590977e-09
1966,1.7171132404847356e-08,5.539074754423723e-10
1967,2.9582013671980434e-08,2.4651677921205817e-09
1968,3.0541628309732616e-08,4.042274071025531e-09
1969,1.8167030546578644e-08,2.7250546263957176e-09
1970,3.035158546715877e-08,3.678979926258208e-09
1971,1.490135304038631e-08,3.596878239697787e-09
1972,2.6163748834129308e-08,3.0780880067027283e-09
1973,1.5988291357516005e-08,0.0
1974,1.5751600912494723e-08,1.1251143350321513e-09
1975,1.5420996479775795e-08,1.1422960355389478e-09
1976,1.8854638739185248e-08,2.856763492431469e-09
1977,1.5279633225340206e-08,1.1753563677885381e-09
1978,1.4257419245211622e-08,1.1881182704343018e-09
1979,1.521513048885481e-08,5.851973350345929e-10
1980,1.364436130746327e-08,1.1370301367108482e-09
