year,ses_DET airs_NOUN,ses_DET terres_NOUN
1800,3.018397904952508e-07,4.810571844870992e-06
1801,4.143257559263702e-07,6.214886397515329e-06
1802,2.4616241489638924e-07,4.57638296325058e-06
1803,4.21273259831878e-07,4.499432478155541e-06
1804,7.464990119387949e-07,4.590227035805583e-06
1805,3.098736751638853e-07,4.383717403300125e-06
1806,5.503988118604752e-07,4.6164339977394775e-06
1807,2.4768510797912313e-07,5.170070711102426e-06
1808,3.512414803452657e-07,4.883389294718654e-06
1809,2.868968715930009e-07,4.789144725236838e-06
1810,4.422839516848853e-07,4.2332893670504745e-06
1811,5.114436874009698e-07,4.740882360465548e-06
1812,6.134579066952028e-07,3.968805817322618e-06
1813,7.620715223310981e-07,4.072050366232816e-06
1814,2.832009533548785e-07,4.122147053031711e-06
1815,1.7531953111493692e-07,3.670921290499507e-06
1816,3.569109896517375e-07,3.93760919159547e-06
1817,3.3939841515007174e-07,4.321880457069938e-06
1818,3.6598014663269396e-07,7.08237168822734e-06
1819,3.0949639295840825e-07,6.017065370400587e-06
1820,3.548077778248171e-07,5.1927720363664776e-06
1821,2.504818059634317e-07,4.3291931532962735e-06
1822,4.661911532366503e-07,5.058925580669893e-06
1823,5.297120146963152e-07,6.336778675120058e-06
1824,2.5937027459121964e-07,4.805086994963403e-06
1825,3.2492083512636327e-07,5.785176117711899e-06
1826,2.1051082210732375e-07,7.007632472522118e-06
1827,2.2213627737244224e-07,4.796669003326315e-06
1828,2.5315550056248526e-07,4.026640176846286e-06
1829,2.9491725683783443e-07,4.3766062383099325e-06
1830,4.039055490068222e-07,4.930361335198086e-06
1831,2.8064169654840043e-07,3.557913178298122e-06
1832,2.273034804822771e-07,3.942632943676472e-06
1833,2.8495726667188137e-07,3.7113944841848934e-06
1834,2.174945723520949e-07,3.5601901871018526e-06
1835,2.8134687113379186e-07,4.009949151395631e-06
1836,3.461186359743351e-07,4.538522663466438e-06
1837,2.1847777098571441e-07,4.041838739254899e-06
1838,2.3165634388533363e-07,4.732859110845311e-06
1839,2.929428202236295e-07,4.196982647641789e-06
1840,2.3695241679888568e-07,4.486808485637539e-06
1841,3.017657759230019e-07,3.9704670413698295e-06
1842,3.474881253850981e-07,4.194678336233437e-06
1843,3.904468250937043e-07,4.762151771586787e-06
1844,3.534633599144854e-07,4.784927714496234e-06
1845,2.812434836130251e-07,4.431817082206635e-06
1846,2.8452876144058337e-07,4.1525979561640725e-06
1847,1.9361672976003774e-07,4.809676642736349e-06
1848,2.856053598065955e-07,3.893887267736318e-06
1849,3.0584863974780774e-07,3.3090309941030682e-06
