year,seriez_VERB en_ADP,seriez_VERB tant_ADV
1800,6.288328791015374e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,2.3404069793286908e-08,0.0
1804,5.19088700912107e-08,0.0
1805,6.822906328807221e-08,0.0
1806,7.492339904047185e-08,0.0
1807,5.124519120158766e-08,0.0
1808,6.798222074166915e-08,0.0
1809,3.162642769893864e-08,0.0
1810,7.020380365929668e-08,0.0
1811,2.0056614147279106e-08,2.0056614147279106e-08
1812,3.467370746079723e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.025770460382773e-08,0.0
1817,9.341240314597599e-08,0.0
1818,4.410835785506606e-08,0.0
1819,7.866798057420965e-08,0.0
1820,9.255855104584043e-08,0.0
1821,1.23268605989324e-07,0.0
1822,7.920236555492011e-08,0.0
1823,7.510841726343642e-08,0.0
1824,7.831634718513669e-08,0.0
1825,1.2327620879659662e-07,0.0
1826,9.336463335785083e-08,0.0
1827,1.0231173064312316e-07,0.0
1828,5.961995697134626e-08,0.0
1829,6.601345603485242e-08,0.0
1830,4.800944353178238e-08,0.0
1831,7.016042502527853e-08,0.0
1832,5.411987658021644e-08,0.0
1833,6.834341093053808e-08,0.0
1834,3.453776287187793e-08,0.0
1835,7.789980571715205e-08,0.0
1836,6.787957573806125e-08,0.0
1837,9.323574090558395e-08,0.0
1838,1.249808008196851e-07,6.312161904276081e-10
1839,9.019002789045771e-08,0.0
1840,9.490835850556323e-08,6.3696887764308485e-09
1841,7.833069304297169e-08,0.0
1842,7.647422251011449e-08,0.0
1843,8.446883015267304e-08,0.0
1844,6.641159444598088e-08,0.0
1845,5.970844085823046e-08,0.0
1846,6.030136034951283e-08,0.0
1847,9.977463832910871e-08,0.0
1848,8.769291781618449e-08,4.02261068899179e-09
1849,5.362825561405771e-08,0.0
1850,5.838536765168101e-08,0.0
1851,5.546517201082679e-08,0.0
1852,8.398603768000612e-08,0.0
1853,5.1358615138497044e-08,0.0
1854,1.080698197597485e-07,0.0
1855,7.8542669257331e-08,0.0
1856,6.264399132760445e-08,5.177189232874468e-10
1857,9.128422107096412e-08,0.0
1858,8.808616769329092e-08,0.0
1859,7.027199444564758e-08,0.0
1860,7.048863182035348e-08,0.0
1861,6.083593007133459e-08,4.715963730639317e-10
1862,1.1746764272402288e-07,0.0
1863,8.740586565636477e-08,0.0
1864,9.54150891629979e-08,4.794727948009836e-10
1865,7.90749865586804e-08,0.0
1866,8.368854054197072e-08,4.865612912574591e-10
1867,9.074757656435395e-08,4.85281148598915e-10
1868,6.125443974269729e-08,0.0
1869,7.325278517100742e-08,0.0
1870,7.798306000950106e-08,2.2936195165357276e-09
1871,4.991953161948004e-08,0.0
1872,6.168286148522384e-08,0.0
1873,5.5071240012694034e-08,1.7958012854535355e-09
1874,6.572069821686455e-08,5.377148060148329e-09
1875,9.097227859911072e-08,1.716458086775674e-09
