year,nos_DET oies_NOUN,nos_DET toits_NOUN
1800,1.8864987794131594e-08,2.0751485863002017e-07
1801,2.1430643926123594e-08,8.572257570449437e-08
1802,8.951360541686881e-09,1.4098392853156838e-07
1803,5.070882025393075e-08,1.560271414291492e-07
1804,1.4831105232815389e-08,2.867347177470947e-07
1805,3.41145314219915e-08,1.2792949632967066e-07
1806,5.76333825108577e-09,8.933174200365102e-08
1807,8.540865792383556e-09,5.12451929779445e-08
1808,4.5321479902327155e-09,4.554808867851534e-07
1809,4.0662548883574345e-08,1.6942729530455836e-07
1810,0.0,2.5039356721379136e-07
1811,5.0141535368197765e-09,1.2284675676710322e-07
1812,8.00162425207418e-09,7.20146218213813e-08
1813,0.0,6.614205716459765e-08
1814,3.1466771410748606e-09,6.608021863030444e-08
1815,0.0,6.47333635583891e-08
1816,9.270415546325239e-09,3.9399267848239106e-08
1817,2.8023721676539992e-08,3.89218364205135e-08
1818,4.172412104708201e-08,1.0609848044573766e-07
1819,7.24573512300708e-09,1.0558071039667993e-07
1820,1.6613073583471305e-08,4.746592274784689e-08
1821,8.875339574387908e-09,6.903042126804593e-08
1822,1.2030739071633434e-08,9.524335098376469e-08
1823,5.929612023614084e-09,6.324919610278812e-08
1824,1.1789557774477544e-08,2.4084381688993517e-07
1825,3.25801385869795e-08,1.3824545064267113e-07
1826,1.7615968683770689e-09,8.367585024871005e-08
1827,7.373818444733615e-09,5.069500019772022e-08
1828,3.485474309172787e-08,6.970948618345574e-08
1829,2.5719527840806222e-08,8.40171271443424e-08
1830,6.262101504006523e-09,9.81062573401914e-08
1831,1.5591206548037917e-08,8.731075751278183e-08
1832,1.352996914505411e-08,1.1771073449295955e-07
1833,2.3167257445777523e-08,1.5058717650617837e-07
1834,1.8669062296083894e-08,1.5682012577400428e-07
1835,1.5882484660778573e-08,1.2554725969948777e-07
1836,2.8899224790990274e-08,1.2500594603892523e-07
1837,2.574419688539109e-08,1.1410941214151649e-07
1838,1.325553999897977e-08,7.70083754542128e-08
1839,8.389769878824893e-09,7.341048879894174e-08
1840,1.2102408852854296e-08,7.962110526449351e-08
1841,3.017657901338566e-08,5.457466123459653e-08
1842,1.408735617047796e-08,8.921992300514603e-08
1843,6.497602123012314e-09,7.324569667455094e-08
1844,6.037417454862748e-09,1.0757579937958894e-07
1845,5.5802281129224696e-09,7.031086957098864e-08
1846,3.5127007969038004e-09,9.952652391120864e-08
1847,2.3730184928183462e-08,8.143767704638094e-08
1848,2.011305477722658e-08,5.551202825193613e-08
1849,2.011059585527164e-08,3.184177743698058e-08
1850,5.431196825611551e-09,8.689914920978481e-08
1851,1.2898877521649865e-08,8.255281969127282e-08
1852,1.6276363812295358e-08,7.096494192282421e-08
1853,1.5527023222716707e-08,7.345475938613788e-08
1854,8.832629738719788e-09,6.286753856388216e-08
1855,9.021793090369101e-09,8.172683507723377e-08
1856,8.28350277259915e-09,6.989205525442799e-08
