year,aux_ADP ailes_NOUN,aux_ADP telle_ADJ
1800,1.0155650898013846e-06,6.288328968651058e-09
1801,5.738650088460417e-07,0.0
1802,6.646384917985415e-07,0.0
1803,1.7045964568751515e-06,3.900678446910888e-09
1804,8.280700711793543e-07,7.4155528384522995e-09
1805,7.192480744322438e-07,2.842877711017877e-09
1806,7.146539608982039e-07,2.881669125542885e-09
1807,3.843389322355506e-07,5.693910232196231e-09
1808,5.121327149026911e-07,0.0
1809,1.549694939484425e-06,0.0
1810,4.844062466702326e-07,0.0
1811,8.950263961082783e-07,0.0
1812,8.001624749454095e-07,5.3344164641089264e-09
1813,5.521424046861512e-07,0.0
1814,4.940283133691992e-07,3.1466771410748606e-09
1815,3.803085348863533e-07,0.0
1816,1.3627510337954618e-06,1.1588019432906549e-08
1817,1.782620030699178e-06,0.0
1818,9.715759921036238e-07,0.0
1819,6.29343835711893e-07,0.0
1820,7.440283944504245e-07,0.0
1821,5.828139575392299e-07,0.0
1822,6.456496350892849e-07,0.0
1823,8.726412743520484e-07,0.0
1824,5.81056774251465e-07,1.6842225392110777e-09
1825,9.210493430167332e-07,0.0
1826,7.980033958077115e-07,1.7615968683770689e-09
1827,5.428974076404636e-07,9.217273055917019e-10
1828,7.007637954359325e-07,0.0
1829,7.398650723189348e-07,1.714635211591542e-09
1830,6.71088552950394e-07,0.0
1831,8.107427404979717e-07,1.5591206103948707e-09
1832,1.148694348973578e-06,5.411987857861789e-09
1833,8.988895814354692e-07,2.3167257001688313e-09
1834,1.3255034332360083e-06,9.334530925997342e-10
1835,9.332850510190838e-07,1.5126175867408165e-09
1836,1.0786803619211582e-06,0.0
1837,8.913058202608681e-07,2.087367279024477e-09
1838,9.878533031582037e-07,0.0
1839,9.669210536689121e-07,1.3982950353153e-09
1840,9.242418399502128e-07,1.2739377330817092e-09
1841,1.0221512800612231e-06,4.494383976094696e-09
1842,8.821368764344584e-07,2.683306021822318e-09
1843,8.358279046660755e-07,2.953455480181333e-09
1844,8.123070762700024e-07,1.097712254427563e-09
1845,8.102491011463542e-07,2.790113973194508e-09
1846,8.969095937061411e-07,0.0
1847,6.768495559583698e-07,1.6179670936367074e-09
1848,7.667096042496269e-07,1.6090443422100975e-09
1849,7.524714522588738e-07,0.0
1850,1.1079642057154615e-06,0.0
1851,8.132742395083881e-07,0.0
1852,1.2532799686937324e-06,6.510545436100301e-10
1853,1.0701701667059638e-06,1.1943863675867306e-09
1854,1.049524215090969e-06,1.0391328908454511e-09
1855,1.1240093016340325e-06,1.5920811335945473e-09
1856,9.173979309551328e-07,1.0354378465748937e-09
1857,1.3243533629747617e-06,4.881509085841174e-10
1858,9.694372007373886e-07,9.787352039936081e-10
1859,1.0606997644657667e-06,5.092173349652285e-10
1860,1.265133627192938e-06,4.577183909670879e-10
1861,1.0422279688171443e-06,1.886385547766878e-09
1862,1.0788951039231165e-06,9.035972525772706e-10
1863,9.864376591117718e-07,1.4983862484108101e-09
1864,1.0543606840940356e-06,9.589455896019672e-10
1865,1.0053820034272576e-06,9.41368871743009e-10
1866,1.016426519839797e-06,2.4328064562872953e-09
1867,1.2685249561883438e-06,9.7056229719783e-10
1868,9.701912162540793e-07,3.951899363308087e-09
1869,1.2760635605957305e-06,1.4650557433881772e-09
1870,1.0040319584625479e-06,0.0
1871,1.4572255366829268e-06,2.1242354542039266e-09
1872,8.94401498641173e-07,3.0236697590169115e-09
1873,1.0738892459727367e-06,6.58460502789282e-09
1874,1.160269141209369e-06,4.779687312606029e-09
1875,1.1088319098462307e-06,5.721527140956084e-10
1876,1.2382237954966513e-06,1.209202959984168e-09
1877,1.3829248892704982e-06,3.092407996341251e-09
1878,1.1794340579740492e-06,0.0
1879,1.169935790912291e-06,1.832797580370027e-09
1880,1.0127361917966482e-06,0.0
1881,1.2187943490005182e-06,2.7890030285249168e-09
1882,9.630341977207024e-07,1.3310770263785798e-09
1883,1.2689232455898036e-06,2.5277355764075082e-09
1884,1.24508009236024e-06,6.601696966868076e-10
1885,1.1569915621123528e-06,5.8010721781798225e-09
1886,1.3558727545159854e-06,0.0
1887,1.1458263173835803e-06,1.3057849246322917e-09
1888,1.2243727454119835e-06,0.0
1889,1.1114352993502052e-06,0.0
1890,1.2505769717563453e-06,2.621754646714436e-09
1891,1.4431234234280055e-06,6.374220040683554e-10
1892,1.1095266465588338e-06,6.268512375839919e-09
1893,9.896575656753726e-07,6.158416554491453e-10
1894,1.2577871864039025e-06,2.520615716150587e-09
1895,1.135712562216895e-06,6.018614495673091e-10
