year,petites_ADJ humeurs_NOUN,petites_ADJ tumeurs_NOUN
1800,9.432493897065797e-09,1.5720821977538435e-07
1801,2.8574191901498125e-08,1.8811342261670916e-07
1802,2.2378401354217203e-09,8.951360541686881e-08
1803,0.0,2.5549443805061856e-07
1804,4.943701892301533e-09,2.743754521361552e-07
1805,0.0,2.8997353829218753e-07
1806,0.0,9.797675115663651e-08
1807,0.0,7.686778502602465e-08
1808,1.5862518409903714e-08,9.517511045942229e-08
1809,6.7770917766551975e-09,1.5587311197329257e-07
1810,1.1700633351097167e-08,1.661489932303084e-07
1811,2.5070767684098882e-09,1.0529722294094768e-07
1812,5.3344164641089264e-09,4.2675333133956883e-07
1813,0.0,2.1568062891219597e-07
1814,7.866692897096073e-08,2.3285410177820154e-07
1815,2.697223555614414e-09,2.4814457333377504e-07
1816,6.952811659743929e-09,2.7811245217890246e-07
1817,1.71256075987003e-08,3.9700272758125266e-07
1818,3.5763532135746345e-09,2.527289666431898e-07
1819,2.173720581311045e-08,2.153018403561191e-07
1820,0.0,2.3258302572770617e-07
1821,1.0847637454958203e-08,1.7947908836912774e-07
1822,0.0,1.1028177482330648e-07
1823,9.882686891060644e-10,9.586206317635515e-08
1824,1.431589158329416e-08,1.6084325693555002e-07
1825,3.522177216552791e-09,1.963613840416656e-07
1826,5.284790383086602e-09,3.2501461122436126e-07
1827,1.1060727445055818e-08,2.829702943074608e-07
1828,1.559291185060374e-08,3.164443853620469e-07
1829,4.286587973467704e-09,2.349050305383571e-07
1830,4.174734336004349e-09,2.327414378999748e-07
1831,4.677361609140007e-09,1.8709447147102765e-07
1832,1.7588959622116818e-08,2.7195238772037555e-07
1833,3.4750886612755494e-09,5.629643551330332e-07
1834,1.120143711119681e-08,3.211078665188438e-07
1835,4.5378527602224494e-09,5.929461082132548e-07
1836,1.0753200108126748e-08,2.2447304726114226e-07
1837,1.0436836284100082e-08,4.341724038070538e-07
1838,2.5248647617104325e-09,4.0460957517751694e-07
1839,1.8177836125232716e-08,3.887260239254786e-07
1840,2.5478754661634184e-09,3.1657353760650153e-07
