year,deux_DET oies_NOUN,deux_DET toits_NOUN
1800,3.458580932758082e-08,3.458580977167003e-08
1801,5.23860170797974e-08,3.5717739876872656e-08
1802,1.1860552717735118e-07,3.3567602031325805e-08
1803,9.751696339321825e-09,3.900678446910888e-09
1804,7.4155528384522995e-09,4.943701892301533e-09
1805,5.970043304159844e-08,3.695740957709859e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,8.540865792383556e-09
1808,2.039466551195801e-08,4.5321479902327155e-09
1809,4.518061036407062e-09,4.518061036407062e-09
1810,2.3401266702194334e-08,0.0
1811,0.0,5.0141535368197765e-09
1812,7.468182872116813e-08,5.3344164641089264e-09
1813,2.8757416448144113e-09,1.4378708002027452e-08
1814,9.440031423224582e-09,5.349351184236184e-08
1815,2.697223555614414e-09,1.0788894000413052e-08
1816,1.622322720606917e-08,2.5493642752394408e-08
1817,7.784366928831332e-09,1.401186100480345e-08
1818,9.536941902865692e-09,9.536941902865692e-09
1819,1.6561680027393777e-08,8.280840013696888e-09
1820,3.322614805512103e-08,8.306536791735653e-09
1821,1.577838126820552e-08,1.1833785507064931e-08
1822,1.604098542884458e-08,3.0076847679083585e-08
1823,3.95307486744656e-09,1.2847492847356534e-08
1824,1.2631669044083083e-08,1.8526447931321854e-08
1825,1.1447076175841175e-08,2.7296874094417944e-08
1826,1.8496766784892316e-08,1.9377565996236967e-08
1827,9.217273166939322e-09,1.935627425009301e-08
1828,0.0,2.109629271274116e-08
1829,2.914879759785549e-08,1.4574399298528107e-08
1830,1.982998831806526e-08,7.30578508800761e-09
1831,6.236482441579483e-09,4.2096256702706114e-08
1832,2.1647950210201827e-08,1.7588959622116818e-08
1833,2.548398292390175e-08,5.21263281427764e-08
1834,1.7735608537350345e-08,3.733812437012318e-08
1835,2.2689263801112247e-09,1.663879345414898e-08
1836,4.099657546774438e-08,1.2769424795333606e-08
1837,1.5307360268224102e-08,4.174734336004349e-09
1838,2.651107999795954e-08,6.943378094703689e-09
1839,1.2584655206815398e-08,1.3982949909063791e-08
1840,1.2102408297742784e-08,1.0828470564661075e-08
1841,3.980740226339208e-08,1.733548060656176e-08
1842,2.4149754196400863e-08,7.379091560011375e-09
1843,6.497602011990011e-09,1.7720733769266417e-09
1844,3.293136902060567e-08,1.3721403124833387e-08
1845,2.678509469777879e-08,2.2878934136105755e-08
1846,8.781752214304106e-09,3.5127007969038004e-09
1847,2.8044763844548015e-08,2.0494250740910047e-08
1848,8.84974404868899e-09,8.84974360459978e-09
1849,1.5920887941334172e-08,4.1897072478036534e-09
1850,5.431196825611551e-09,7.467895635215882e-09
1851,1.3543821175687754e-08,1.0319102017319892e-08
1852,1.5625309490729933e-08,4.557382027314816e-09
1853,9.555090940693844e-09,1.1943863675867306e-08
1854,2.4419623212423858e-08,1.8184826089395756e-08
1855,2.1227748447927297e-08,2.1227748447927297e-09
1856,8.28350277259915e-09,1.4496129630003907e-08
1857,1.757343248698362e-08,4.393358121745905e-09
1858,1.4681027893370668e-08,1.2723557318849998e-08
1859,2.7497735644033128e-08,1.171199848215565e-08
1860,3.4328881071132855e-08,1.327383358784573e-08
1861,1.6034276573151374e-08,5.187560159214399e-09
1862,3.388489855371546e-08,2.8011514996428843e-08
1863,2.7969877358646755e-08,1.897955925755923e-08
1864,2.1096803748399395e-08,2.2535221688713136e-08
1865,3.9066808454890634e-08,4.706844247692743e-09
1866,2.6274310116480848e-08,2.2868380966656332e-08
1867,2.2808213984149006e-08,1.649955905236311e-08
1868,2.321740799615668e-08,1.2843672236861892e-08
1869,1.0743742229202269e-08,1.1720445947105418e-08
1870,4.013834153937523e-09,2.69500293192948e-08
1871,2.6552942955504477e-08,6.37270636261178e-09
1872,1.2699412743621963e-08,1.69325495846806e-08
1873,2.514121905106137e-08,2.095101647725528e-08
1874,1.732636678575261e-08,4.779687312606029e-09
1875,1.2015207495608138e-08,1.602027666081085e-08
1876,3.023007311142578e-08,9.069021977836655e-09
1877,1.0514187187560253e-08,1.0514186854493346e-08
1878,2.1136809524868738e-08,1.4493813149663026e-08
1879,3.299035578052667e-08,1.2829583173612491e-08
1880,1.7969970178555172e-08,1.7328185109022343e-08
1881,2.6495528548942104e-08,1.4642266066289267e-08
1882,2.5956002014382307e-08,9.983077475794744e-09
1883,5.2450515042323786e-08,1.1374810426900694e-08
1884,1.3203393933736152e-08,7.2618666635548834e-09
1885,2.2559724921489277e-08,2.5782542323327107e-08
1886,1.097088819790315e-08,2.0651085175238393e-08
1887,1.566941915109865e-08,1.4363633837888301e-08
1888,2.4094334971636044e-08,1.0779045211961602e-08
