year,deux_DET airs_NOUN,deux_DET terres_NOUN
1800,1.131899196593622e-07,5.313637743142863e-07
1801,4.286128785224719e-08,3.500338270345793e-07
1802,3.1329761895904085e-08,3.289624999069929e-07
1803,9.166594594489652e-08,5.73399745462666e-07
1804,6.921182338359699e-08,4.3998946352985513e-07
1805,1.2224374312808095e-07,3.1840231695667853e-07
1806,4.8988376022407465e-08,1.5157579262847776e-06
1807,6.547996633798903e-08,4.612067332487868e-07
1808,1.1556977064230978e-07,7.908598149697355e-07
1809,6.09938268780752e-08,1.1249971976212692e-06
1810,3.97821557918121e-08,2.667744638529257e-07
1811,8.77476873384353e-08,1.504246114336638e-07
1812,5.3344166417446104e-08,1.6536691305191198e-07
1813,1.5241430628698538e-07,1.9555042740648787e-07
1814,8.81069599500961e-08,2.2970742463712668e-07
1815,5.664169400176888e-08,1.294667271167782e-07
1816,4.6352077731626196e-09,3.1519414278591285e-07
1817,3.42512151974006e-08,2.241897760768552e-07
1818,6.079800130009971e-08,2.002757781838227e-07
1819,4.5544620519422097e-08,4.3163878782337406e-07
1820,5.3399165977907614e-08,1.7918386685522592e-07
1821,1.4792232327920374e-08,2.0709124726181471e-07
1822,5.514088741165324e-08,3.328504618593797e-07
1823,1.680056804787e-08,2.1445430187227998e-07
1824,6.06320114115988e-08,1.8273814816893719e-07
1825,3.78634048558979e-08,2.2277771449807915e-07
1826,2.9947145208097936e-08,1.814444772207935e-07
1827,5.7147091836462494e-08,2.442577281547287e-07
1828,7.888178754633657e-08,1.8252879385727283e-07
1829,6.086954873474326e-08,2.083281742670806e-07
1830,4.5922077696047836e-08,2.6092089910889626e-07
1831,5.145097770054008e-08,2.775234690943762e-07
1832,2.8412935559885e-08,2.421864550017361e-07
1833,4.865123881536704e-08,1.8302132787084702e-07
1834,4.853956059314157e-08,1.670881022430848e-07
1835,4.0840674842002045e-08,1.928587423094541e-07
1836,5.578222345148376e-08,1.3374292961998435e-07
1837,6.88831186534955e-08,1.6559780824376702e-07
1838,4.229148320433751e-08,1.7232202598194135e-07
1839,3.2859933885021064e-08,1.50316714186971e-07
1840,4.33138822586443e-08,1.4077012044921844e-07
1841,7.512042010660025e-08,1.2969507512394784e-07
1842,3.8237111255057243e-08,9.592819338877234e-08
1843,6.143187425422525e-08,1.3054273173551678e-07
1844,3.45779343491337e-08,1.531308555513533e-07
1845,4.7431936656128215e-08,1.5122417229562757e-07
1846,2.2832555401919308e-08,1.703659926466372e-07
1847,1.941560512364049e-08,1.1002176059093927e-07
1848,3.298541073615269e-08,1.4964112793336426e-07
1849,3.686942506853086e-08,1.4915359258793615e-07
1850,5.838536765168101e-08,1.1066063532183534e-07
1851,3.353708155628965e-08,1.386629264743533e-07
1852,6.445439737490233e-08,1.8359738707118822e-07
1853,4.598387448595531e-08,1.2720214881412062e-07
1854,7.118060402211412e-08,1.2625464540505504e-07
1855,6.156047405170284e-08,1.4063383702023202e-07
1856,5.694908311593139e-08,2.412570179188833e-07
1857,7.175818117488575e-08,1.5572014611109353e-07
1858,8.172439253106845e-08,1.4093786893099036e-07
1859,3.97189512391094e-08,1.2781354974400472e-07
1860,5.8130236957332215e-08,1.2266852711384502e-07
1861,5.847795042646098e-08,1.320469860122131e-07
1862,8.177555432808958e-08,1.5315973914131753e-07
1863,2.2975256364077268e-08,1.4684185090096946e-07
1864,7.096197229827794e-08,9.925087152140577e-08
1865,4.2832282387550435e-08,1.397932771762811e-07
1866,5.1088934416299026e-08,1.2164032270334246e-07
1867,6.939520247328801e-08,1.150116339942997e-07
1868,4.6434817546625595e-08,1.2596678744536405e-07
1869,8.399653195212409e-08,1.8899218456880362e-07
1870,4.587238944253613e-08,1.0894693058816074e-07
1871,2.1242353653860846e-08,1.125844786287189e-07
1872,5.019291648977742e-08,1.342509302615369e-07
1873,6.105724315030869e-08,1.622207221885219e-07
1874,4.779687134970345e-08,1.350261658039642e-07
1875,5.893172794202428e-08,1.5219262206045414e-07
1876,6.287855258690911e-08,1.4087214794678005e-07
1877,7.050690165044671e-08,1.2493328882534627e-07
1878,1.316521327510145e-07,1.6607493291687092e-07
1879,3.6655949942066e-08,1.5151126930845749e-07
1880,5.005920211686998e-08,2.2077391648167577e-07
1881,9.41288524902717e-08,1.5409241349573222e-07
1882,7.587138917131142e-08,1.3111108998486998e-07
1883,7.140853064413477e-08,1.4344898824347752e-07
1884,4.291103117282091e-08,1.8550767766356557e-07
1885,4.318576085626802e-08,1.8112236555012373e-07
1886,4.9046325889534614e-08,1.5101105965698025e-07
1887,5.35371814103236e-08,1.573470772009422e-07
1888,4.755461202599065e-08,1.3505509821598594e-07
1889,5.889228527067303e-08,1.741708066660408e-07
1890,2.9494738484903138e-08,1.7041404198891996e-07
1891,4.653180718516836e-08,1.8676465174394252e-07
1892,2.820830502514582e-08,1.548322519084877e-07
1893,5.4194064402768305e-08,2.013802191669356e-07
1894,4.2850465620247746e-08,1.3233232332154898e-07
1895,6.43991759918805e-08,1.2699276186189934e-07
1896,4.0099797649073565e-08,1.3032434331705645e-07
1897,4.3700353113962365e-08,1.3110105179237053e-07
1898,4.413516951906615e-08,1.2674715033078598e-07
1899,4.5878900678530954e-08,1.6638011324232593e-07
1900,4.412395127051383e-08,1.3600559745086116e-07
1901,3.5767929285057676e-08,1.1512802133850641e-07
1902,2.995273185035785e-08,1.4043412122077825e-07
1903,4.6981915247101824e-08,1.1556471490870024e-07
1904,4.568431410945095e-08,1.2146652750288922e-07
1905,4.4898605056076235e-08,1.3624404093803832e-07
1906,3.9610220603503166e-08,9.568183345631809e-08
1907,7.611407992769159e-08,1.265139539796678e-07
1908,6.041008471235898e-08,1.6551381065710302e-07
1909,3.960708294670212e-08,1.8373285115558247e-07
1910,5.0235016701982715e-08,1.790290440339959e-07
1911,3.724261854465283e-08,8.672209839133416e-08
1912,6.668059038261731e-08,1.0470936295803313e-07
1913,7.848425115364321e-08,1.1878696692946278e-07
1914,8.906668824693043e-08,9.442408632764909e-08
1915,2.8273827723523937e-08,1.1309531400272022e-07
1916,1.0987461607214755e-08,7.251724953860617e-08
1917,3.947912752266802e-08,8.005489893214701e-08
1918,1.8378202071289707e-08,7.466144502643601e-08
1919,5.5247090680055067e-08,7.366278520493097e-08
1920,7.04217537617069e-08,6.815008513072485e-08
1921,6.739745078698789e-08,1.2192123710619285e-07
1922,5.459672369756419e-08,9.812654455654268e-08
1923,7.006525715169687e-08,7.537323210016211e-08
1924,3.867487285980076e-08,8.508471782686655e-08
1925,5.27912540349007e-08,8.468596912614146e-08
1926,3.901148493135054e-08,1.527020980773841e-07
1927,6.801026863900717e-08,7.135504054289754e-08
1928,1.0626218438503088e-07,7.198405760355797e-08
1929,6.01581959802644e-08,1.1808831090753813e-07
1930,9.348206830850359e-08,9.873387618597462e-08
1931,7.185374428786417e-08,1.2317785813564797e-07
1932,7.342889585260082e-08,9.096415221065968e-08
1933,7.341223895451776e-08,1.387950114839498e-07
1934,7.7880272897346e-08,6.589869272488613e-08
1935,6.582556189016486e-08,1.400289226793916e-07
1936,1.0790995830234351e-07,9.578524462483529e-08
1937,3.147779614742774e-08,8.939693918463831e-08
1938,7.779128574636474e-08,1.2835562546165136e-07
1939,4.129393449403551e-08,9.482311558173251e-08
1940,2.02862628917444e-08,1.5975432798853717e-07
1941,1.0330259003765718e-07,1.6233264332754516e-07
1942,6.675265851185941e-08,1.1530005039617208e-07
1943,4.0645293575281016e-08,1.654844092868757e-07
