year,plusieurs_DET humeurs_NOUN,plusieurs_DET tumeurs_NOUN
1800,4.087413785214267e-08,5.973912209356058e-08
1801,2.3811825400343878e-08,8.334139067756041e-08
1802,1.5664880947952042e-08,8.951360541686881e-09
1803,7.801356893821776e-09,4.4857801917430606e-08
1804,0.0,2.9662210465630778e-08
1805,2.842877711017877e-09,3.127165526528586e-08
1806,2.305335300434308e-08,4.8988376022407465e-08
1807,0.0,2.562259604488304e-08
1808,6.798221985349073e-09,2.4926814390369145e-08
1809,0.0,7.680704072754452e-08
1810,0.0,6.31834211617388e-08
1811,2.5070768572277302e-08,1.7549536934780008e-08
1812,8.00162425207418e-09,2.7738966323909153e-07
1813,2.8757416004054903e-08,6.039057343087961e-08
1814,0.0,1.4474715115397885e-07
1815,4.045835311217161e-08,3.776112933451259e-08
1816,0.0,6.952811304472561e-08
1817,1.556873407970727e-09,1.0275364648038021e-07
1818,2.2650237241350624e-08,1.049063602653888e-07
1819,0.0,2.8982939270782992e-08
1820,4.746592452420373e-09,6.645229433388522e-08
1821,1.3806083165590621e-08,9.467028405651945e-08
1822,5.012807946513931e-09,6.115625694746996e-08
1823,3.9530747564242574e-09,2.7671523739059012e-08
1824,2.5263338088166165e-09,6.652679118701599e-08
1825,7.924898959288385e-09,8.893497760453783e-08
1826,8.807984341885344e-10,7.486786879340457e-08
1827,1.8434546111834038e-09,5.4381911140932715e-08
1828,8.255071293206129e-09,1.412534420541789e-07
1829,0.0,7.887321890054366e-08
1830,8.349468894053302e-09,8.036363396968227e-08
1831,7.795603274018958e-09,6.860130952190957e-08
1832,1.3529969367098715e-09,7.441483362846668e-08
1833,2.3167257001688313e-09,1.65645881899934e-07
1834,1.8669061851994684e-09,7.374279564764663e-08
1835,5.294161553592858e-09,9.22696727911898e-08
1836,1.6129800772812786e-08,9.677880363767599e-08
1837,3.4789453540184923e-09,1.2106730284955347e-07
1838,1.0730675015224733e-08,5.2390943361402265e-08
1839,2.0974426639952526e-09,8.949088448062525e-08
1840,8.280594876453051e-09,6.560779297615227e-08
1841,5.1364388298225094e-09,7.64045262613422e-08
1842,6.708265054555795e-10,7.78158781855609e-08
1843,5.906911071384968e-10,6.261325702361376e-08
1844,2.7442805805577564e-09,1.1032008129241433e-07
1845,1.1160455892778032e-09,1.1885885431439647e-07
1846,5.854501328173001e-10,6.322861434426841e-08
1847,0.0,6.040410394092532e-08
1848,4.02261068899179e-09,4.022610866627474e-08
1849,5.865590679832167e-09,8.547002994241382e-08
1850,0.0,7.671565516176315e-08
1851,1.2898877521649865e-09,1.2124944959168715e-07
1852,7.812654523320361e-09,8.268392392984936e-08
1853,2.388772735173461e-09,8.778739779558009e-08
1854,5.195664454227256e-10,5.7152309551611324e-08
1855,5.306937111981824e-10,8.756445879498642e-08
1856,5.177189232874468e-10,7.869327856013797e-08
1857,4.881509085841174e-10,9.030791781050596e-08
1858,1.0766087576996597e-08,5.970284888690003e-08
1859,1.018434669930457e-08,8.707616649950012e-08
1860,1.8308735638683515e-09,1.0985241494232412e-07
1861,1.4147891747029462e-09,5.659156609993943e-08
1862,0.0,4.69870582442411e-08
1863,0.0,4.894728489190925e-08
1864,4.794727948009836e-10,7.479775943064482e-08
1865,1.4120533631256649e-09,6.919060924204246e-08
1866,1.0704348518686402e-08,1.094762887010603e-07
1867,6.308654931785895e-09,6.890992310104593e-08
1868,4.44588676984381e-09,9.23756444670687e-08
1869,1.953407657850903e-09,9.474027440337096e-08
1870,0.0,8.486392388817876e-08
1871,0.0,8.709365673098546e-08
1872,0.0,4.354084381930079e-08
1873,0.0,9.457887406583154e-08
1874,1.0754296120296658e-08,7.05003863066267e-08
1875,5.721527140956084e-10,5.3210203354581154e-08
1876,1.209202959984168e-09,5.743713971106956e-08
1877,6.184815992682502e-10,7.421779013583318e-08
1878,4.831270938865373e-09,7.850814975896014e-08
1879,2.443730107160036e-09,8.003216334095953e-08
1880,1.2835692508872398e-09,5.1984553328665584e-08
1881,3.4862537301449947e-09,8.436733822669851e-08
1882,6.655385131892899e-10,3.7270156738600235e-08
1883,8.21514056781325e-09,5.62421162975113e-08
1884,0.0,9.440426396167823e-08
1885,4.511945039809007e-09,5.0920523353426006e-08
1886,1.2906927748801422e-09,4.9691673220664256e-08
1887,2.6115698492645834e-09,3.525619263200497e-08
1888,2.53624587998047e-09,3.9311810695608074e-08
1889,0.0,5.826577176293313e-08
1890,1.3108772956016423e-09,4.9157899362217705e-08
1891,1.9122659011827636e-09,4.270727416155751e-08
1892,1.2537024751679837e-09,3.19694137829174e-08
1893,3.510297474917934e-08,4.372475737035586e-08
1894,0.0,3.0877544077156927e-08
1895,6.018614495673091e-10,4.995450053613126e-08
1896,5.89702897624278e-10,3.9510093363670507e-08
1897,0.0,4.19523360495333e-08
1898,6.7900258748920805e-09,5.205686381959396e-08
1899,5.527578395003729e-10,3.6482017407024614e-08
