year,autres_ADJ humeurs_NOUN,autres_ADJ tumeurs_NOUN
1800,3.4900224932243873e-07,3.458580977167003e-08
1801,5.21478966675204e-07,2.0478169915350009e-07
1802,4.184761053238617e-07,1.8350289110458107e-07
1803,4.7198210495480453e-07,1.9308357934733067e-07
1804,3.312280227873998e-07,1.3842365831351344e-07
1805,6.680762680844055e-07,1.4214388954769674e-07
1806,3.7173532518863794e-07,4.8988376022407465e-08
1807,1.822051274302794e-07,2.2775640928784924e-08
1808,1.654234011994049e-07,3.852325747288887e-08
1809,1.603911670144953e-07,1.581321384946932e-07
1810,1.4742798271072388e-07,1.0530570193623134e-07
1811,1.8301660986708157e-07,5.766276700569506e-08
1812,3.1473058470510296e-07,7.788248126416875e-07
1813,2.875741529351217e-07,3.767221461448145e-07
1814,4.279480947388947e-07,4.72001566720337e-08
1815,7.039753313620167e-07,1.8341120266995858e-07
1816,2.9665329748240765e-07,1.4832664874120383e-07
1817,2.3664475179430156e-07,3.487396327273018e-07
1818,4.0532003708904085e-07,1.227881227805483e-07
1819,3.208825489764422e-07,1.35598753558952e-07
1820,2.468228217367141e-07,1.0561168295453172e-07
1821,2.859831624846265e-07,1.5975611233898235e-07
1822,1.1529458276982041e-07,1.0627152846609533e-07
1823,1.4329896202980308e-07,1.1661570198384652e-07
1824,3.115811750831199e-07,7.747424035642325e-08
1825,9.950150570148253e-08,1.1535130539641614e-07
1826,7.222546827279075e-08,1.7527888473978237e-07
1827,9.8624823863247e-08,8.019027575301152e-08
1828,1.008953134373769e-07,1.8069432883294212e-07
1829,1.9203913836918218e-07,1.0545006290385572e-07
1830,1.231546633562175e-07,1.7325147894098336e-07
1831,1.1069756311599122e-07,8.107426907599802e-08
1832,6.3590853471851e-08,1.3800568865462992e-07
1833,1.332117278707301e-07,1.8186297268130147e-07
1834,1.4655213931291655e-07,1.1201436933561126e-07
1835,9.680752555141225e-08,9.529490796467144e-08
1836,1.1626897844507766e-07,1.28366325902185e-07
1837,1.822967448106283e-07,1.7116411477058335e-07
1838,1.3444905277992802e-07,1.0730675215064878e-07
1839,1.3353717065456294e-07,2.2442635838615388e-07
1840,1.732555290345772e-07,1.3185255909320404e-07
1841,2.747994756191474e-07,2.0802576727874111e-07
1842,1.207487656529338e-07,1.3617777794294739e-07
1843,1.334961865495643e-07,1.7130042739843532e-07
1844,1.1965063606567128e-07,2.2667758514671732e-07
1845,6.473064217971114e-08,1.8358950626407022e-07
1846,1.2060272069902567e-07,1.8383133482124947e-07
1847,7.33478415781974e-08,1.736618031600301e-07
1848,9.091100849900613e-08,1.335506851773971e-07
1849,7.122502410084053e-08,1.9440242571278077e-07
1850,3.530277936647508e-08,1.9348638602423307e-07
1851,5.482023013314574e-08,2.547528372698338e-07
1852,6.250123618656289e-08,1.738315660304579e-07
1853,1.5885338200405386e-07,2.0185129967487114e-07
1854,6.598494195486637e-08,1.860047893487149e-07
1855,1.1144567935161831e-07,3.1417066992389664e-07
1856,7.455152228885709e-08,1.3098288648150103e-07
1857,5.174399575480493e-08,1.3619410310639068e-07
1858,6.410715513993637e-08,1.7176802202811814e-07
1859,8.605773160752506e-08,1.5174676093465678e-07
1860,4.073693560258107e-08,1.8995312989211754e-07
1861,3.678451676591976e-08,1.7967822341091733e-07
1862,1.0797987215482863e-07,1.0843167075336169e-07
1863,7.741662244598047e-08,5.993545215687845e-08
1864,7.479775376850739e-08,1.884328056922513e-07
1865,6.966129717511649e-08,1.840376171458047e-07
1866,4.476363812955242e-08,2.773399234712315e-07
1867,1.7858346268440073e-07,3.1785916121407354e-07
1868,6.965222354438083e-08,2.736690255522589e-07
1869,7.471784613244381e-08,4.502604724621051e-07
1870,1.3761717809757101e-07,2.3108216540279614e-07
1871,8.709365317827178e-08,2.166720207696926e-07
1872,2.0560953828407946e-08,2.3221782896598597e-07
1873,8.919146665675726e-08,3.3222323736481485e-07
1874,1.6310683292886097e-07,2.6527264046505294e-07
1875,8.067353007845668e-08,1.9968129549852165e-07
1876,4.6554312405078235e-08,2.5816484594543e-07
1877,5.504486111362894e-08,1.7750422065532234e-07
1878,3.4422804162659304e-08,2.5424563432352443e-07
1879,3.665595116331133e-08,2.0038586967530136e-07
1880,5.647704881539539e-08,1.7969969690057042e-07
1881,1.3945014920579979e-08,1.7640444105460062e-07
1882,4.45910792734594e-08,1.9367170334128048e-07
1883,4.423537092179686e-08,1.529279956002938e-07
1884,3.300848305798354e-08,2.594466828043096e-07
1885,3.674012205578947e-08,2.2753093459337848e-07
1886,2.3877817056927597e-08,1.4713897655838082e-07
1887,2.154545164501087e-08,1.7171071120536396e-07
1888,1.8387781963724592e-08,1.5597912295106653e-07
1889,4.009687515349469e-08,1.8231548581937318e-07
1890,5.1124214195397144e-08,1.8745545704579314e-07
1891,1.1473596295275001e-08,1.5999291613777444e-07
1892,1.002961980134387e-08,1.1722118387069713e-07
1893,9.730297989563041e-08,1.7551487069278338e-07
1894,1.449354058991048e-08,1.1909909036766919e-07
1895,4.4537745935713247e-08,3.14773526133294e-07
1896,4.0689499769541726e-08,1.7750057468290947e-07
1897,5.185775009408644e-08,1.6256530344094244e-07
1898,4.809601605870739e-08,1.8729154338537057e-07
1899,2.9296165493519766e-08,1.8185733452469321e-07
1900,2.8550791952852705e-08,2.1023765151007012e-07
1901,2.738482152153665e-08,1.4921933577660695e-07
1902,2.0132164380015638e-08,1.1440961539266326e-07
1903,2.5381035939631147e-08,1.8846768123914615e-07
1904,4.622177840474251e-08,2.0531068756213244e-07
1905,2.4255568220610257e-08,1.6204783781503806e-07
1906,2.983626856689625e-08,2.618389893238593e-07
1907,2.674278576364486e-08,1.8514235966549109e-07
1908,1.2278472460991452e-08,1.227847234996915e-07
1909,2.4204327431220918e-08,1.9473481227549883e-07
1910,1.5498036631811374e-08,1.7528814100220558e-07
1911,2.074945903984826e-08,1.5748307224949798e-07
1912,3.125652625612929e-08,1.1825386064812093e-07
1913,2.8636144122629048e-08,1.6227148069702935e-07
