year,trois_DET erreurs_NOUN,trois_DET terreurs_NOUN
1800,4.087413785214267e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,4.6808139586573816e-08,0.0
1804,3.707776485839531e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,1.729001475325731e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,6.551188391767937e-08,0.0
1810,7.722418615685456e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,5.867858288155503e-08,0.0
1813,3.45088981834607e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,7.282503844407984e-08,0.0
1816,9.270415546325239e-09,0.0
1817,7.005930502401725e-08,0.0
1818,1.5497530370112145e-08,0.0
1819,3.829888639561574e-08,1.035105001712111e-09
1820,4.034603762193001e-08,0.0
1821,1.2031015872437933e-07,0.0
1822,7.819980396561732e-08,0.0
1823,4.644862805491812e-08,0.0
1824,3.873711751367637e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,5.0205510859768765e-08,0.0
1827,4.885154802902747e-08,0.0
1828,3.118582370120748e-08,0.0
1829,2.4004892296147773e-08,0.0
1830,4.2791025167687735e-08,0.0
1831,7.483778574624012e-08,0.0
1832,3.92369123858316e-08,0.0
1833,1.853380560135065e-08,0.0
1834,5.133991964889617e-08,0.0
1835,3.1764969321557146e-08,0.0
1836,5.71263756299345e-08,0.0
1837,3.89641892084569e-08,0.0
1838,2.3986215014204504e-08,0.0
1839,4.055055669027752e-08,0.0
1840,3.8218133324718906e-08,0.0
1841,7.191014184115829e-08,0.0
1842,3.4882978727779346e-08,0.0
1843,6.792947715439368e-08,0.0
1844,5.378790224330743e-08,0.0
1845,5.580227996349052e-08,0.0
1846,5.1519611687922406e-08,0.0
1847,5.555020354819362e-08,0.0
1848,4.5053243136194965e-08,0.0
1849,8.547003460535052e-08,0.0
1850,5.4311968256115506e-08,0.0
1851,4.063146263888484e-08,0.0
1852,6.510545591531525e-08,0.0
1853,4.9567033588715503e-08,0.0
1854,3.3771818230832196e-08,0.0
1855,2.7065379271107304e-08,0.0
1856,6.057311452423164e-08,0.0
1857,5.3208447869934616e-08,0.0
1858,3.8170671956549995e-08,0.0
1859,4.83756465996521e-08,0.0
1860,4.714499562963326e-08,0.0
1861,3.536972725814991e-08,0.0
1862,4.834245370677337e-08,0.0
1863,5.494082810919565e-08,0.0
1864,6.856460998960756e-08,0.0
1865,5.318734253023649e-08,0.0
1866,4.9142689917403004e-08,0.0
1867,3.0572712361731647e-08,0.0
1868,5.8290513749170714e-08,0.0
1869,4.688178334433246e-08,0.0
1870,7.224901210634016e-08,0.0
1871,3.398776571295059e-08,0.0
1872,7.196333629000407e-08,0.0
1873,6.70432527272169e-08,0.0
1874,4.8394334539736406e-08,0.0
1875,5.034943750814591e-08,0.0
1876,6.469235991346522e-08,0.0
1877,4.143826615177204e-08,0.0
1878,5.07283440809303e-08,0.0
1879,3.360128886242819e-08,1.832797580370027e-09
1880,4.6208492143762214e-08,4.492492600149944e-09
1881,2.5101028033880368e-08,0.0
1882,4.3260002913214635e-08,6.655385131892899e-10
1883,4.1707636455612374e-08,0.0
1884,3.498899214804396e-08,0.0
1885,5.2854212118091937e-08,0.0
1886,3.484870347847391e-08,0.0
1887,2.54628065854412e-08,6.528924623161458e-10
1888,2.8532765483646472e-08,0.0
1889,4.1349901724885285e-08,0.0
1890,2.8839300059146922e-08,0.0
1891,6.565446541983988e-08,6.374220040683554e-10
1892,3.384996771771398e-08,6.268512375839919e-10
1893,3.8182182970913914e-08,0.0
1894,5.041231321278872e-08,0.0
1895,5.5973115919982774e-08,1.8055843487019274e-09
1896,3.8330687734955404e-08,0.0
1897,5.710179307172325e-08,0.0
1898,4.7530181124244564e-08,5.6583548957434e-10
1899,3.8693046988669266e-08,1.1055156790007459e-09
1900,3.6337373332528955e-08,0.0
1901,2.570819829239568e-08,0.0
1902,2.7006560543441083e-08,0.0
1903,4.482182691667447e-08,5.400220270956879e-10
1904,3.869730136329963e-08,0.0
1905,5.7800500830040846e-08,1.5482277682110634e-09
1906,3.8066964413996374e-08,0.0
1907,3.3428483092734496e-08,0.0
