year,avons_VERB eu_VERB,avons_VERB tu_VERB
1800,5.4959996305115055e-06,1.8864987794131594e-08
1801,5.162403795111459e-06,1.4287095950749062e-08
1802,4.486869329412002e-06,2.0140561218795483e-08
1803,4.0976628952194005e-06,2.5354410126965377e-08
1804,4.130462912144139e-06,2.9662211131764593e-08
1805,5.134237198944902e-06,3.695740957709859e-08
1806,5.795036486233585e-06,2.0171682990621775e-08
1807,4.939467089570826e-06,1.9928686256776018e-08
1808,4.4551015889737755e-06,3.6257184365950934e-08
1809,4.897578037343919e-06,4.743964154840796e-08
1810,5.06169408254209e-06,3.042164786748458e-08
1811,5.011646408092929e-06,5.0141537144554604e-08
1812,5.035689355281647e-06,2.9339291440777515e-08
1813,5.521424100152217e-06,2.0130190847567064e-08
1814,5.893726211070316e-06,3.4613449884091096e-08
1815,4.8711858653405216e-06,2.966945977789237e-08
1816,5.242419774731388e-06,6.025770460382773e-08
1817,5.352530934032984e-06,5.449056994510926e-08
1818,5.480165327753639e-06,2.3842354979208835e-08
1819,5.4943375289440155e-06,2.6912730377581795e-08
1820,5.676924502040492e-06,3.441279616822612e-08
1821,6.042133918526815e-06,2.9584465432996865e-08
1822,6.078530986997066e-06,3.408709403629473e-08
1823,5.089583737571957e-06,1.7788836736976066e-08
1824,5.3575117817672435e-06,2.947389443619386e-08
1825,5.124767994857393e-06,3.169959583715354e-08
1826,5.075160515843891e-06,3.523193625731835e-08
1827,5.169046744413208e-06,3.5947363641319896e-08
1828,5.734522801503772e-06,4.127535407905114e-08
1829,5.930923180130776e-06,2.4862211400744627e-08
1830,6.597123956453288e-06,3.131050907434485e-08
1831,6.5701342464308254e-06,1.7150327380477393e-08
1832,7.41171743356972e-06,2.976593294068408e-08
1833,6.281801688601263e-06,2.20088942626262e-08
1834,6.373617907229345e-06,3.920503055532265e-08
1835,5.749459432990989e-06,3.479020449503878e-08
1836,5.705916919396259e-06,5.174977707467221e-08
1837,6.503540589619661e-06,3.2006298833486824e-08
1838,5.803401563753141e-06,4.481634974240478e-08
1839,6.423068043659441e-06,4.264799902120586e-08
1840,6.347394901240477e-06,5.0957508768156856e-08
1841,6.819264399382519e-06,3.0818632978935057e-08
1842,6.369497896230314e-06,3.21996713736894e-08
1843,6.5123695094371215e-06,2.9534555467947143e-08
1844,6.516568646475207e-06,3.567564732520623e-08
1845,6.528308858833043e-06,2.9575207616261423e-08
1846,7.029499556665542e-06,2.4588905134237393e-08
1847,6.615327947656624e-06,2.2112217834546755e-08
1848,7.989709956746083e-06,9.65426583121598e-09
1849,8.30986573419068e-06,3.351765798242923e-08
1850,7.4468498496571556e-06,3.530277936647508e-08
1851,6.396553544618655e-06,2.902247508984601e-08
1852,7.048316547297873e-06,4.6875927361966774e-08
1853,7.184831247286638e-06,3.463720310570295e-08
1854,6.976218628551578e-06,2.3900056878023435e-08
1855,6.713275524816709e-06,3.874064091746732e-08
1856,6.865470822958741e-06,4.814786053186637e-08
1857,7.502391326852376e-06,2.8312752198278446e-08
1858,7.304790415219031e-06,2.59364822396968e-08
1859,7.523176918766694e-06,2.1896345847594034e-08
1860,7.990847734618e-06,2.4716793944890014e-08
1861,7.5530874710239004e-06,3.725611313898369e-08
1862,7.894277587183751e-06,3.569209286458097e-08
1863,7.718686902080663e-06,2.996772607843923e-08
1864,7.666770216019358e-06,2.1096802527154068e-08
1865,8.00728321337374e-06,2.7770382549086037e-08
1866,7.5081275099364575e-06,2.5301186312720603e-08
1867,7.640266630914994e-06,2.8631587767335986e-08
1868,8.38148389448179e-06,1.679557115608077e-08
1869,8.08808454166865e-06,3.076617005604021e-08
1870,7.797732905601151e-06,1.834895613228582e-08
1871,1.017190152197145e-05,1.5931766128574054e-08
1872,9.682395102572627e-06,2.4189357850090687e-08
1873,8.807806807453744e-06,2.035241503106633e-08
1874,8.930248441174626e-06,2.2703515512034755e-08
1875,8.498756869812496e-06,2.345826111138649e-08
1876,8.36284743854776e-06,3.567148554317612e-08
1877,7.844820174796041e-06,1.7317484668488703e-08
1878,8.082112799456809e-06,2.777980773194244e-08
1879,8.615370461484417e-06,2.016077260691418e-08
1880,8.675002391100861e-06,2.631317030932223e-08
1881,9.539784514345229e-06,3.346803723047742e-08
1882,9.057313945959322e-06,4.1263386485468345e-08
1883,9.285005035053473e-06,3.412443155825784e-08
1884,9.052247150975745e-06,2.2445769687351458e-08
1885,9.241108273272403e-06,2.3848851837815488e-08
1886,8.748960681259632e-06,2.452316216761119e-08
1887,8.925039765017573e-06,2.611569871469044e-08
1888,9.266173947253264e-06,2.4728397107764977e-08
