year,certains_DET tissus_NOUN
1800,3.144164484325529e-09
1801,3.333655484993869e-08
1802,2.2378401354217203e-09
1803,1.3652374342143503e-08
1804,2.4718509461507665e-09
1805,3.4114531644036106e-08
1806,2.5935023018064385e-08
1807,8.540865792383556e-09
1808,3.172503681980743e-08
1809,6.7770917766551975e-09
1810,0.0
1811,0.0
1812,1.253587882388274e-07
1813,4.6011867427253605e-08
1814,4.72001566720337e-08
1815,2.697223555614414e-09
1816,4.1716869958463576e-08
1817,5.1376822796100896e-08
1818,9.179306914575136e-08
1819,6.831692955788782e-08
1820,8.069207524386002e-08
1821,4.437669787193954e-08
1822,4.6117833107928163e-08
1823,6.423746512496109e-08
1824,4.37897851313096e-08
1825,5.019102489178806e-08
1826,8.103345550125596e-08
1827,4.977327350275118e-08
1828,6.328887514062131e-08
1829,7.115736355700619e-08
1830,9.6018888617877e-08
1831,5.14509785887185e-08
1832,5.276687886635045e-08
1833,1.1351956286098641e-07
1834,6.347481251722797e-08
1835,7.865611451052246e-08
1836,4.637317374545091e-08
1837,6.888312220620918e-08
1838,6.249040218619939e-08
1839,1.2864314591354287e-07
1840,9.554533164646273e-08
1841,9.181384363898815e-08
1842,8.586579269831418e-08
1843,7.088293463297646e-08
1844,9.330554240349898e-08
1845,7.868121709719844e-08
1846,1.4167893747085714e-07
1847,7.11905556727288e-08
1848,8.60838693661492e-08
1849,5.530413860199701e-08
1850,1.2423862916222106e-07
1851,1.4962698458020895e-07
1852,1.4909149292918755e-07
1853,2.0125409605498135e-07
1854,1.0806981909361468e-07
1855,1.209981661531856e-07
1856,8.904765635975309e-08
1857,1.1959697499008826e-07
1858,9.249047794313014e-08
1859,2.1488970847194366e-07
1860,1.3273832943916375e-07
1861,1.6553033077570944e-07
1862,1.1882303874166666e-07
1863,6.09343735469281e-08
1864,1.6302075467322652e-07
1865,1.2473137367408071e-07
1866,1.634845876452573e-07
1867,1.7033368671093285e-07
1868,1.694376798866415e-07
1869,1.6750471054649552e-07
1870,1.4736505082879603e-07
1871,2.3791437331333043e-07
1872,1.59649763520342e-07
1873,1.9095353742670795e-07
1874,1.8939510582072216e-07
1875,2.1226865953849483e-07
1876,1.8984487137885253e-07
1877,1.9296625852760485e-07
1878,1.7936093588133417e-07
1879,1.3440514923246383e-07
1880,1.0525268123728893e-07
1881,1.5409241793662432e-07
1882,1.15138164558104e-07
1883,1.1627583473838854e-07
1884,1.5646022166748708e-07
1885,1.9014625984858924e-07
1886,1.5940055475560655e-07
1887,1.1099171848272249e-07
1888,1.3378696728238992e-07
1889,1.478572326796268e-07
1890,1.5009545339950137e-07
1891,1.2684697425768832e-07
1892,1.1471377381333525e-07
1893,1.675089302821675e-07
1894,9.704370373952997e-08
1895,1.0713133491435656e-07
1896,1.291449338580719e-07
1897,1.4566783557157237e-07
1898,1.2335213339653706e-07
1899,1.1110432573957496e-07
1900,1.5521249085992395e-07
1901,1.3133535947673636e-07
1902,1.5663805896792837e-07
1903,2.0574839876275064e-07
1904,1.6768831034852383e-07
1905,1.7185327028101938e-07
1906,9.362415642755195e-08
