year,êtes_VERB tant_ADV
1800,4.7162465932615305e-08
1801,7.143547975374531e-09
1802,8.951360541686881e-09
1803,2.145373123596528e-08
1804,4.943701892301533e-09
1805,4.264316544322355e-08
1806,8.645007376628655e-09
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,7.020380277111826e-09
1811,0.0
1812,3.7340914360584065e-08
1813,1.7254450312975678e-08
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,8.806894413737609e-08
1817,2.3353100786493997e-08
1818,2.1458118837358597e-08
1819,8.280840013696888e-09
1820,1.898636980968149e-08
1821,4.536284592404627e-08
1822,3.8097340393505874e-08
1823,1.7788837070042973e-08
1824,3.9579230559638745e-08
1825,2.289415235168235e-08
1826,3.082794464148719e-08
1827,3.2260455640198415e-08
1828,3.485474309172787e-08
1829,3.429270423183084e-09
1830,1.0436835395921662e-08
1831,9.354723218280014e-09
1832,9.065079353831607e-08
1833,2.20088942626262e-08
1834,1.5868701908061666e-08
1835,3.1764969321557146e-08
1836,2.9571300075303952e-08
1837,2.6439986200443855e-08
1838,2.019891809368346e-08
1839,2.3771015378315496e-08
1840,1.8472096741106725e-08
1841,2.632424944692957e-08
1842,3.4882980060046975e-08
1843,1.6539351221922516e-08
1844,1.866110821424627e-08
1845,2.511102614732863e-08
1846,1.9905304071698993e-08
1847,1.5101026207275936e-08
1848,1.367687652020777e-08
1849,1.9272654583346593e-08
1850,6.788996032014438e-09
1851,9.674158363282004e-09
1852,1.3672145193766028e-08
1853,1.3735443005202796e-08
1854,1.4028294081924741e-08
1855,1.8043586180738203e-08
1856,2.2261913201759853e-08
1857,8.298565390418844e-09
1858,3.131952652779546e-08
1859,3.258990943777462e-08
1860,1.6020143434047895e-08
1861,2.0750240636857598e-08
1862,1.8071945717679228e-08
1863,1.5982786649715308e-08
1864,1.5343129433631475e-08
1865,3.0594488720225854e-08
1866,1.0217787504984699e-08
1867,2.91168689159349e-08
1868,7.903798504571569e-09
1869,2.539429999615095e-08
1870,1.4335121534259088e-08
1871,2.3366590440332402e-08
1872,1.4513614310374123e-08
1873,1.4366410283628284e-08
1874,9.559374625212058e-09
1875,1.5448122780981066e-08
1876,1.0882827083946722e-08
1877,2.040989244278535e-08
1878,1.9928991790152395e-08
1879,1.9549840857280287e-08
1880,1.6044616302224313e-08
1881,1.1156012114099667e-08
1882,1.8635077481121698e-08
1883,1.4534479397809719e-08
1884,1.0562715146988921e-08
1885,1.4180398189012067e-08
