year,des_DET oies_NOUN,des_DET toits_NOUN
1800,3.772997354545282e-07,4.4647134433972724e-07
1801,4.643306181772999e-07,3.333655744786057e-07
1802,4.1400042505301826e-07,4.296653060009703e-07
1803,4.5442904728076883e-07,3.315576773132989e-07
1804,3.3617172467970136e-07,6.599842272692058e-07
1805,4.0368864784312564e-07,4.491746703472188e-07
1806,1.9595349609602408e-07,3.486819650788675e-07
1807,2.9893028363758845e-07,6.149423086299066e-07
1808,2.809931678449118e-07,5.733166936749967e-07
1809,5.195770000909761e-07,4.6536027298316185e-07
1810,3.9314129374190543e-07,4.680253482547414e-07
1811,3.183987451471637e-07,4.713304235792748e-07
1812,1.520308643421231e-07,3.894124134262711e-07
1813,2.0705340375570813e-07,6.901780125190271e-07
1814,3.27254436438551e-07,4.971749945070769e-07
1815,2.751168040049379e-07,4.3155577600373363e-07
1816,2.2248996955909206e-07,3.3373495256228125e-07
1817,1.9149542329621738e-07,2.53770357616645e-07
1818,3.31408723130977e-07,4.3512298475434363e-07
1819,2.1944226169523517e-07,3.157070136428075e-07
1820,2.385162769513727e-07,3.987137562333487e-07
1821,2.790801291174816e-07,2.8894161729908774e-07
1822,2.1254305693219067e-07,2.897402850976505e-07
1823,2.15442573114899e-07,2.954923505882334e-07
1824,1.5158002586446173e-07,4.4379263286487003e-07
1825,2.4391076713925486e-07,4.2090016449947143e-07
1826,2.3164998708136153e-07,3.62888954441587e-07
1827,2.2582319425534791e-07,4.885154609723941e-07
1828,2.1830077412410276e-07,3.485474545650291e-07
1829,2.3490502504275312e-07,3.2063677091187515e-07
1830,2.536151120224872e-07,4.56089739753196e-07
1831,3.3053355763534853e-07,4.41231132963793e-07
1832,2.1783250325757564e-07,4.4107700170048503e-07
1833,3.475088590221276e-07,6.000319825449907e-07
1834,2.623003139134994e-07,4.797948820467468e-07
1835,2.6243915129953166e-07,4.810123925835796e-07
1836,2.473235943822871e-07,5.457249141471721e-07
1837,2.9710193816256947e-07,4.2582291914783355e-07
1838,2.1650715620324945e-07,4.304894347662014e-07
1839,2.481973737644694e-07,3.691498795532766e-07
1840,1.9427551034567614e-07,4.070230996688906e-07
1841,2.2471919214339664e-07,3.7303387845355473e-07
1842,2.508891068231378e-07,3.287049974431966e-07
1843,1.8665839540688012e-07,3.4141945093324466e-07
1844,2.3820356265247256e-07,3.6553818394402526e-07
1845,2.985421990731041e-07,4.291195301320272e-07
1846,1.8266044810033577e-07,2.886269179214196e-07
1847,2.3244794267185398e-07,3.904693937073489e-07
1848,2.260707319123867e-07,3.0330485456531164e-07
1849,1.9188860278518405e-07,3.3769043117359843e-07
1850,1.8058729089887038e-07,3.50991100184217e-07
1851,2.4636856132964624e-07,3.6310339623923937e-07
1852,1.5950836518285882e-07,4.0886225538550036e-07
1853,2.573902571079145e-07,3.893699538348727e-07
1854,1.8860262152031737e-07,3.2368989799635983e-07
1855,2.2819829226250476e-07,4.1712524634363035e-07
1856,1.8948512314764798e-07,4.4006107735583555e-07
1857,1.6694761151292425e-07,3.4707529339428334e-07
1858,1.942789422115787e-07,3.6898316624345284e-07
1859,2.2762014584287726e-07,5.306044359443263e-07
1860,2.1970482655397916e-07,4.270512503623536e-07
1861,2.5371885348235423e-07,2.8059984424899653e-07
1862,2.4442305335270476e-07,3.3162020018906446e-07
1863,2.3075147836948418e-07,3.9707234833485927e-07
1864,2.1672170014142011e-07,3.3227465756624497e-07
1865,2.1557346707723468e-07,3.5960290833969566e-07
1866,1.761351877682671e-07,3.133454780090972e-07
1867,2.4167001555497336e-07,4.0035694937046173e-07
1868,2.4402978426874e-07,3.734544691269548e-07
1869,2.1389813420480408e-07,3.379395154823328e-07
1870,2.2534811972008129e-07,3.664057182106717e-07
