year,fausses_ADJ erreurs_NOUN,fausses_ADJ terreurs_NOUN
1800,0.0,2.829747991484055e-08
1801,0.0,3.333655484993869e-08
1802,0.0,9.175144555229053e-08
1803,0.0,1.1897068930011301e-07
1804,0.0,4.202146608456303e-08
1805,0.0,4.8328921309348516e-08
1806,1.729001475325731e-08,3.7461699520235925e-08
1807,0.0,3.131650672116848e-08
1808,0.0,5.4385775882792586e-08
1809,0.0,2.25903047379461e-08
1810,0.0,3.510190182964834e-08
1811,0.0,4.262030373070047e-08
1812,0.0,1.3069320203840107e-07
1813,5.751483289628823e-09,5.176335093892703e-08
1814,0.0,4.090680150170556e-08
1815,0.0,1.0249449200472327e-07
1816,0.0,7.648093003354006e-08
1817,0.0,5.293369653713853e-08
1818,4.768470951432846e-09,5.364529798157491e-08
1819,0.0,8.384350280721264e-08
1820,2.3732962262101864e-09,1.6375743427943235e-07
1821,5.9168927535324656e-09,1.1242096320529527e-07
1822,3.0076847679083585e-09,7.819980396561732e-08
1823,4.941343334508019e-09,6.522573414713406e-08
1824,2.5263338088166165e-09,5.221090049190025e-08
1825,8.805443041381977e-10,3.78634048558979e-08
1826,8.807984341885344e-10,3.082794464148719e-08
1827,9.217273055917019e-10,2.949527377893446e-08
1828,0.0,5.870272801189458e-08
1829,0.0,4.543783305166471e-08
1830,0.0,2.6092090266160994e-08
1831,0.0,2.6505050598757407e-08
1832,0.0,2.4353944638733083e-08
1833,0.0,4.6334514003376626e-09
1834,5.600718555598405e-09,9.054495109239724e-08
1835,0.0,4.4622218808854086e-08
1836,1.3441500135158435e-09,4.2340726480460944e-08
1837,6.957890930081589e-10,3.896418832027848e-08
1838,5.680945491803868e-09,2.5248647617104325e-08
1839,0.0,4.194885150354821e-08
1840,0.0,6.242294858793684e-08
1841,1.926164561183441e-09,3.852328944731198e-08
1842,0.0,5.2324466537356784e-08
1843,1.1813822142769936e-09,2.9534556134080958e-08
1844,9.330554107123135e-09,1.866110821424627e-08
1845,0.0,5.022205229465726e-08
1846,0.0,2.86870562860031e-08
1847,2.6966118227278457e-09,4.638172157456211e-08
1848,8.045221711050488e-10,2.654923214606697e-08
1849,0.0,1.005529792763582e-08
1850,2.0366988096043315e-09,1.2220192857625989e-08
1851,0.0,2.8377531435808123e-08
1852,6.510545436100301e-10,1.9531636752390114e-08
1853,5.971931837933653e-10,1.0152284346531815e-08
1854,1.0391328908454511e-09,1.558699302961486e-08
1855,1.5920811335945473e-09,2.7596072982305486e-08
1856,4.659470143053568e-09,9.836659486950339e-09
1857,3.905207268672939e-09,3.4658715009072694e-08
1858,0.0,1.6149130033227266e-08
1859,1.018434669930457e-09,2.0877910955618972e-08
1860,5.034902272882391e-09,2.1512764902809067e-08
1861,0.0,5.659156343540417e-08
1862,0.0,2.3945327498609004e-08
1863,0.0,2.0477944673302773e-08
1864,4.794727948009836e-10,1.4863656971897399e-08
1865,0.0,2.4946274379544775e-08
1866,9.731225825149181e-10,2.8220554781910323e-08
1867,1.94112459439566e-09,3.88224918879132e-09
1868,0.0,1.1855697756857353e-08
1869,4.883519144627257e-10,2.4417595057002472e-08
1870,5.734048791339319e-10,2.2936195165357276e-08
1871,0.0,3.9298356568906456e-08
1872,0.0,8.4662747923403e-09
1873,7.781805422268917e-09,1.3767810003173508e-08
1874,0.0,3.345781252050983e-08
1875,1.716458086775674e-09,1.5448122780981066e-08
1876,0.0,7.859819461941697e-09
1877,1.2369631985365004e-09,2.040989244278535e-08
1878,6.039088673581716e-10,9.058632954861423e-09
1879,0.0,5.498392852132383e-09
1880,0.0,2.2462462112571302e-08
1881,6.972507571312292e-10,8.367009307619355e-09
1882,6.655385131892899e-10,1.0648616211028639e-08
1883,0.0,1.3902545781263598e-08
1884,6.601696966868076e-10,1.5844072720483382e-08
1885,6.445635691854079e-10,5.80107206715752e-09
1886,0.0,2.710454793941608e-08
1887,0.0,1.1752064210668323e-08
1888,6.340614699951175e-10,3.804368819970705e-09
1889,0.0,1.3156786771162388e-08
1890,6.554386478008212e-10,5.898947996740844e-09
1891,0.0,1.0836173736095134e-08
1892,0.0,1.6298132621272998e-08
1893,6.158416554491453e-10,2.4017824173938607e-08
1894,0.0,8.192000855444803e-09
1895,0.0,3.611168697403855e-09
1896,4.717623180994224e-09,7.66613794667137e-09
1897,5.826713556089658e-10,5.826713556089658e-10
1898,1.13167097914868e-09,1.640922953072277e-08
1899,0.0,1.492446166651007e-08
1900,5.191053142894475e-10,2.0245106924221545e-08
1901,0.0,1.397184767881754e-08
1902,4.419255628107521e-09,4.910283846193408e-10
1903,5.400220270956879e-10,3.2401321625741275e-09
1904,0.0,1.1824175416563776e-08
1905,4.1286072338664326e-09,6.708986699521802e-09
1906,0.0,1.7490227932626112e-08
1907,2.5714217422034835e-09,6.685696440911215e-09
1908,4.911389073214423e-10,1.620758460774141e-08
1909,0.0,1.1001967337165297e-08
1910,2.67207544979442e-09,1.60324518105881e-08
1911,1.0640748282497725e-09,1.7025197807107872e-08
1912,0.0,8.335073964360618e-09
1913,0.0,4.242391771214216e-09
1914,0.0,4.018046340092951e-09
1915,0.0,1.6493066468115103e-08
1916,0.0,6.592477230782379e-09
1917,0.0,0.0
1918,0.0,0.0
1919,2.762354567309444e-09,4.603924352863942e-09
1920,7.572231730534895e-10,2.2716695191604686e-09
1921,0.0,1.5145494858259667e-09
1922,0.0,1.0329110011753073e-08
1923,0.0,1.0615948120573648e-09
1924,0.0,3.867487219366694e-09
1925,0.0,6.598906754362588e-09
1926,0.0,5.57306911730393e-09
1927,1.1149224876660924e-09,2.2298449753321847e-09
1928,0.0,1.1426041224282812e-09
1929,5.570202965543558e-09,4.4561625500705304e-09
1930,0.0,1.0503603542488804e-09
1931,3.4216069977333063e-09,4.5621426636444085e-09
1932,3.287861094491973e-09,1.0959536611565568e-09
1933,1.1470662197865522e-09,3.4411986593596566e-09
1934,0.0,1.1981580172459871e-09
1935,0.0,1.0771455727365264e-08
1936,1.2124714565686645e-09,1.9399543305098632e-08
1937,0.0,1.2591118148108649e-09
1938,0.0,2.5930428915188486e-09
1939,6.117620188206274e-09,0.0
