year,ses_DET humeurs_NOUN,ses_DET tumeurs_NOUN
1800,1.8864986373046122e-07,6.288328968651058e-09
1801,2.881231040419152e-07,1.4287095950749062e-08
1802,3.20011139365306e-07,2.2378401354217203e-09
1803,3.647134292350529e-07,1.950339223455444e-09
1804,2.3482583344502928e-07,4.943701892301533e-09
1805,1.705726617728942e-07,2.842877711017877e-09
1806,3.1122026822316684e-07,0.0
1807,1.508886242618246e-07,0.0
1808,1.450287356874469e-07,2.2660739951163578e-09
1809,2.6204753966752037e-07,0.0
1810,2.737948250342015e-07,1.6380887757350138e-08
1811,9.526891631139733e-08,2.5070767684098882e-09
1812,3.334010330036108e-07,0.0
1813,1.0352669943536341e-07,8.627225156487839e-09
1814,1.604805390797992e-07,6.293354282149721e-09
1815,1.591361922237411e-07,2.697223555614414e-09
1816,2.8970048759902056e-07,2.3176038865813098e-09
1817,2.8179407574047133e-07,0.0
1818,3.683643683416449e-07,1.668964877410417e-08
1819,2.3703904616922955e-07,1.8631890696951814e-08
1820,2.1596996191419748e-07,0.0
1821,2.0511895115760126e-07,9.86148829262845e-10
1822,3.3084533868077415e-07,1.303330066093622e-08
1823,3.518236439958855e-07,0.0
1824,2.762124893251894e-07,7.57900142644985e-09
1825,1.6466178465179837e-07,1.7610886082763955e-09
1826,1.3035817403306282e-07,1.2331177856594877e-08
1827,1.2258972503786936e-07,1.7512819638909605e-08
1828,1.7060480672626e-07,4.586150570418113e-09
1829,1.9975500453739414e-07,5.143905745796928e-09
1830,1.8577567484356905e-07,1.878630406793036e-08
1831,1.262887678876723e-07,1.5591206548037917e-08
1832,1.569476495433264e-07,8.117981842303834e-09
1833,1.6448753026310214e-07,1.2741991461950875e-08
1834,1.6988846485155307e-07,1.7735608537350345e-08
1835,1.2327833331937654e-07,1.5126175867408165e-08
1836,2.553884996814304e-07,5.376600220596828e-09
1837,1.982998867333663e-07,1.5307359824134892e-08
1838,2.0072674544735492e-07,6.312161904276081e-10
1839,1.5940563191652046e-07,6.9914749545318955e-09
1840,1.5669434105802793e-07,5.732719632334238e-09
1841,1.714286437248802e-07,7.0626033910059505e-09
1842,1.8112315558482805e-07,1.341653010911159e-08
1843,1.2463581811061886e-07,7.088293507706567e-09
1844,1.7288968479078903e-07,8.232841963717874e-09
1845,1.2946128435942228e-07,1.0602432709561072e-08
1846,1.1357732887518068e-07,1.6392604607062822e-08
1847,8.629157832729106e-08,7.011190739092399e-09
1848,1.6573156358390406e-07,1.1263310173426078e-08
1849,8.798385664476882e-08,7.54147322368226e-09
1850,1.371377225112269e-07,4.073397619208663e-09
1851,1.5156180666053842e-07,1.9348316726564008e-08
1852,1.4648726676114165e-07,1.2370035884501362e-08
1853,1.7438041011175187e-07,1.6124216628554677e-08
