year,nos_DET airs_NOUN,nos_DET terres_NOUN
1800,3.772997558826319e-08,6.634187315057716e-07
1801,6.191074786165984e-08,1.1453488077961538e-06
1802,4.475680270843441e-09,1.6201962580453255e-06
1803,7.021221204439598e-08,6.202078459693894e-07
1804,8.404293261321527e-08,1.238397331349006e-06
1805,1.8762992382015398e-07,5.230895219199283e-07
1806,1.2391177506287931e-07,5.936238629544732e-07
1807,3.131650672116848e-08,5.266866764941369e-07
1808,7.478043961839376e-08,6.54895369045505e-07
1809,1.8072244145628247e-08,8.245461506906082e-07
1810,6.786367467981336e-08,7.067182536957262e-07
1811,4.763445815569867e-08,5.390214852241115e-07
1812,2.9339290108509886e-08,3.1739776673589404e-07
1813,5.463909147351842e-08,3.623434512434187e-07
1814,3.461344899591268e-08,6.513621571002659e-07
1815,8.091670444798638e-09,4.962891093640565e-07
1816,9.270415546325239e-09,3.0128850347921343e-07
1817,8.095742032310227e-08,7.161617574524826e-07
1818,3.099506074022429e-08,4.83999797573631e-07
1819,1.0040518816367694e-07,5.744832645149245e-07
1820,5.93324074316115e-08,7.701346440569523e-07
1821,5.719663320746804e-08,8.125866237662649e-07
1822,5.413832582235045e-08,5.965241598460125e-07
1823,2.8659792761231984e-08,4.7436897754327134e-07
1824,3.621078548121659e-08,6.450572200833449e-07
1825,6.95629991387392e-08,5.133573495186283e-07
1826,4.4039921931471326e-08,6.465060495841612e-07
1827,3.3182182335167454e-08,6.470525573121222e-07
1828,4.769596628761974e-08,5.485036300711954e-07
1829,3.172075158097698e-08,6.695650487387184e-07
1830,9.706257486641334e-08,5.761133410331354e-07
1831,5.1450980143030733e-08,5.566060625739055e-07
1832,3.111892965534935e-08,5.831416691748359e-07
1833,3.8225973497674204e-08,6.602668136679313e-07
1834,8.681113605746305e-08,6.002103170033024e-07
1835,5.52105419160398e-08,6.572323343334574e-07
1836,3.1587525484155776e-08,5.289230271543488e-07
1837,1.8090515530033713e-08,6.338638662839458e-07
1838,4.86036455527028e-08,5.630448374205343e-07
1839,5.593180230079042e-08,5.509282683391348e-07
1840,4.58617570586739e-08,6.134010224201347e-07
1841,5.3290552415319326e-08,5.598718360033672e-07
1842,1.8783141708667017e-08,6.3661434523965e-07
1843,3.839492035417891e-08,6.987876064457055e-07
1844,4.390849023261367e-08,6.558830651925973e-07
1845,1.7298706467272496e-08,6.81903880472845e-07
1846,4.5665111247927825e-08,6.258461873187571e-07
1847,2.6426796750911308e-08,7.189167181564926e-07
1848,2.172209789819135e-08,6.082187589129262e-07
1849,2.1786478399121734e-08,5.681243542277059e-07
1850,2.308258650884909e-08,4.955967085606972e-07
1851,1.1608989325395669e-08,5.049910729582052e-07
1852,3.8412219849348617e-08,5.01963034693631e-07
1853,3.1054046445433414e-08,6.449686491549755e-07
1854,3.273268500691984e-08,5.20605574649835e-07
1855,3.980202833986368e-08,5.683729646932534e-07
1856,5.539592606851329e-08,5.482643112841856e-07
1857,3.954022459451423e-08,5.062125154609021e-07
1858,4.9426128856389084e-08,6.161138212945616e-07
1859,4.277425569298998e-08,4.511665654405306e-07
1860,1.51047069019139e-08,5.597896199915908e-07
1861,5.470517772110384e-08,5.074376945302106e-07
1862,3.343309987191567e-08,5.277007923965016e-07
1863,1.9978482868054925e-08,4.3652985581843495e-07
1864,2.4453112201783256e-08,5.35571095028331e-07
1865,2.8241066374334878e-08,4.7350854615046956e-07
1866,3.2113044667880786e-08,4.578541830113636e-07
1867,1.8925964795357686e-08,6.570706574393625e-07
1868,2.7663294210888978e-08,6.337858593497003e-07
1869,4.102156014873515e-08,5.474424948914702e-07
1870,1.3188312220080434e-08,4.117046934482005e-07
1871,1.6993883855676017e-08,5.438042638417073e-07
1872,3.4469832321804006e-08,4.910439486138785e-07
1873,2.7535620894525437e-08,4.938453663783093e-07
1874,2.509335778055899e-08,4.833458517872202e-07
1875,1.94531928343622e-08,4.743145942676108e-07
1876,3.0834675479596285e-08,4.800535879923018e-07
1877,3.834585893258691e-08,5.547780101977651e-07
1878,5.4955707762260886e-08,4.746723574200473e-07
1879,4.4598075343849075e-08,7.257878591460099e-07
1880,2.3104245627791897e-08,4.896816721000619e-07
1881,4.671580100534811e-08,4.776167816800125e-07
1882,1.3976308999019693e-08,4.0864063954870744e-07
1883,3.6652167523243406e-08,4.954361987330458e-07
1884,2.772712726084592e-08,4.54856920129032e-07
1885,2.707166935067562e-08,3.9253920025572597e-07
1886,2.774989482645651e-08,4.7110285539275765e-07
1887,2.3504128421336645e-08,4.060990983489887e-07
1888,2.346027505595316e-08,5.097854236524313e-07
1889,4.322944491264025e-08,4.911867161894179e-07
1890,1.7696843102044113e-08,4.063719520885911e-07
1891,1.9122660899206778e-08,5.054756311295705e-07
1892,1.817868566789116e-08,5.591513110303481e-07
1893,2.894455697344256e-08,4.5633865575211985e-07
1894,4.2220313245522334e-08,4.310252794681446e-07
1895,2.8889349357186234e-08,4.5922029912048856e-07
1896,2.8895442705234586e-08,3.927421197147396e-07
1897,2.097616802476665e-08,3.7174432065967267e-07
1898,1.2448381103702388e-08,3.7854394552283566e-07
1899,8.844125432005967e-09,4.897434440209736e-07
1900,1.5573159761750333e-08,3.810233017986775e-07
1901,2.4590450786732276e-08,3.984770788889591e-07
1902,2.356936334990678e-08,2.852874931846827e-07
1903,2.1060859722865644e-08,2.932319596027355e-07
1904,1.8811189050893518e-08,3.563376536064311e-07
1905,2.5287720029076866e-08,3.617692048152321e-07
1906,2.006231891726884e-08,4.562891628978605e-07
1907,1.5942813902380948e-08,4.3251313641690103e-07
1908,3.14328898465277e-08,4.105921345143315e-07
1909,1.870334465081669e-08,3.559136256825468e-07
1910,1.4963622119168463e-08,3.6821198445835535e-07
1911,1.7025197585063268e-08,3.953037852610919e-07
1912,2.344239469209697e-08,4.157118009828764e-07
1913,1.909076252637476e-08,3.1658849852789217e-07
1914,4.754688076591407e-08,3.375158836860237e-07
1915,2.1205371680821372e-08,4.3706626140505023e-07
1916,2.307367052978293e-08,4.878433053079334e-07
1917,4.496233962925089e-08,6.755317594198118e-07
1918,2.5270027848023346e-08,6.443857074600601e-07
1919,3.4069039145379065e-08,6.399454797190174e-07
1920,2.953170330499688e-08,4.694783681813419e-07
1921,3.7863738422405646e-08,4.316465940235048e-07
1922,3.6889677090812256e-08,3.9176836885701505e-07
1923,2.653987030143412e-08,3.99159651109926e-07
