year,vraies_ADJ tumeurs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509905596875e-08
1805,0.0
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.400487453257938e-08
1813,2.5881675469463516e-08
1814,0.0
1815,0.0
1816,2.7811246638975717e-08
1817,0.0
1818,0.0
1819,1.0351049795076506e-08
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,1.0436835395921662e-08
1831,1.5591206103948707e-09
1832,0.0
1833,1.1583628278799551e-08
1834,1.8669061851994684e-09
1835,7.563087933704082e-10
1836,0.0
1837,1.3915781860163179e-09
1838,3.1560809521380406e-09
1839,1.3982950353153e-09
1840,5.095750932326837e-09
1841,1.0272877659645019e-08
1842,4.695785538189057e-09
1843,3.5441467538532834e-09
1844,7.683985892015244e-09
1845,0.0
1846,4.6836010625384006e-09
1847,3.235934187273415e-09
1848,3.218088684420195e-09
1849,0.0
1850,2.7155984128057753e-09
1851,5.8044946626978344e-09
1852,3.2552727180501506e-09
1853,5.971931837933653e-10
1854,4.1565315633818045e-09
1855,3.714855978387277e-09
1856,1.5531567143511893e-09
1857,4.881509085841174e-10
1858,4.404308473482388e-09
1859,1.5276520048956854e-09
1860,4.119465657481669e-09
1861,3.3011746669586728e-09
1862,1.3553959066214816e-09
1863,0.0
1864,6.712618905169165e-09
1865,2.8241067262513297e-09
1866,9.244664589402873e-09
1867,1.455843445796745e-09
1868,0.0
1869,1.4650557433881772e-09
1870,3.4404292748035914e-09
1871,7.434824311758348e-09
1872,1.8142017887967654e-09
1873,8.979006871356887e-09
1874,4.779687312606029e-09
1875,2.8607636259891933e-09
1876,1.209202959984168e-09
1877,1.0514186854493346e-08
1878,4.22736201599605e-09
1879,9.163987790827832e-09
1880,6.417846254436199e-09
1881,4.8807553554297556e-09
1882,5.989846840748214e-09
1883,4.423537092179686e-09
1884,4.621187876807653e-09
1885,9.023890079618013e-09
1886,1.5488312854472497e-08
1887,9.140494583448344e-09
1888,1.9021844099853524e-09
1889,1.7542383545787743e-08
1890,9.176140736144589e-09
1891,1.211101796627645e-08
1892,4.387958441043338e-09
1893,6.15841644346915e-09
1894,3.780923574225881e-09
1895,6.018614495673091e-09
1896,1.3563166589847242e-08
1897,1.1070755867592652e-08
1898,4.52668391659472e-09
1899,1.4371703827009696e-08
1900,8.30568502863116e-09
1901,1.5648469187112823e-08
1902,3.437198747846537e-09
1903,1.5660639007819555e-08
1904,1.7198800605910947e-08
1905,1.4966200723165457e-08
1906,2.572092228092515e-08
1907,9.257117739025489e-09
1908,1.7189861978295085e-08
1909,9.901770070541716e-09
1910,1.60324518105881e-08
1911,1.5961122201701983e-08
1912,8.335073964360618e-09
1913,9.015082902408267e-09
1914,1.7411533548283842e-08
