year,autres_ADJ tissus_NOUN
1800,6.288328968651058e-09
1801,4.5718707042397e-07
1802,7.161088433349505e-08
1803,8.581492494386112e-08
1804,2.4718509905596875e-08
1805,4.264316544322355e-08
1806,9.797675204481493e-08
1807,7.117387923472052e-08
1808,1.1783584596969376e-07
1809,8.132509776714869e-08
1810,6.786367379163494e-08
1811,1.504246114336638e-07
1812,6.828053074059426e-07
1813,3.307102929284156e-07
1814,2.454408161156607e-07
1815,2.0768621311617608e-07
1816,3.24464537015956e-07
1817,2.3820163619348023e-07
1818,3.7909344507980336e-07
1819,4.150770962496608e-07
1820,4.2007343381555984e-07
1821,4.319331886604161e-07
1822,3.198171611984435e-07
1823,3.5083539273728093e-07
1824,3.4863405939944414e-07
1825,3.9536440099574577e-07
1826,4.157368687085494e-07
1827,3.290566610303358e-07
1828,5.448346816483429e-07
1829,5.066746769921693e-07
1830,4.341723638390249e-07
1831,3.913392845333874e-07
1832,3.544851949754957e-07
1833,4.888291300630954e-07
1834,5.040646877674249e-07
1835,3.766417790984633e-07
1836,3.797223717683096e-07
1837,5.782007606036643e-07
1838,4.2480849060666515e-07
1839,5.977711377003203e-07
1840,4.6435030753855244e-07
1841,5.739970521112525e-07
1842,4.427454847188983e-07
1843,4.7491565058344065e-07
1844,5.027522230749426e-07
1845,4.860378601811988e-07
1846,4.6016380927937917e-07
1847,4.5141281912464137e-07
1848,4.6581834567405167e-07
1849,3.2009363826190906e-07
1850,4.955967360942282e-07
1851,5.939933032106381e-07
1852,6.888157144668838e-07
1853,5.494177306442083e-07
1854,4.634532726477403e-07
1855,6.150740290422618e-07
1856,4.6542930665083304e-07
1857,4.344542985923461e-07
1858,2.950886565655786e-07
1859,4.4556517453386846e-07
1860,4.549720935553836e-07
1861,4.249083310203794e-07
1862,3.4110796365283136e-07
1863,2.906869429608605e-07
1864,2.68025298955088e-07
1865,3.8266645518980624e-07
1866,4.2671425193319124e-07
1867,4.911045241584588e-07
1868,5.068310922062835e-07
1869,4.917703536611029e-07
1870,5.269590892531539e-07
1871,4.938847419921899e-07
1872,3.930770603455258e-07
1873,5.716634063901438e-07
1874,4.600448946234792e-07
1875,4.4913989460937387e-07
1876,4.6856615787405076e-07
1877,4.3664801374632134e-07
1878,4.90373992079185e-07
1879,3.1585211746065767e-07
1880,3.3950406752580875e-07
1881,4.002219289866993e-07
1882,5.03812650265445e-07
1883,4.151805550467458e-07
1884,3.168814473042403e-07
1885,3.970511606166127e-07
1886,4.1173099329938623e-07
1887,3.5778506612960115e-07
1888,3.430272432769499e-07
1889,3.514741683252609e-07
1890,2.621754729981163e-07
1891,3.5568149092668477e-07
1892,3.2658948523334175e-07
1893,3.559564736299592e-07
1894,2.860898900003406e-07
1895,2.7565254145933693e-07
1896,3.650260833598651e-07
1897,3.1988656612469413e-07
1898,3.559105099526505e-07
1899,3.6260914804131517e-07
1900,4.666756778792802e-07
1901,3.526494194439067e-07
1902,4.375062809813812e-07
1903,2.9593205974620673e-07
1904,5.041398525307272e-07
1905,3.8189618001283065e-07
1906,5.041300656927206e-07
1907,4.0217035546241675e-07
1908,2.9173649851443884e-07
1909,3.570138192854344e-07
1910,3.5111070539883826e-07
1911,2.7293519377913356e-07
1912,3.078767831787843e-07
1913,3.4310343410837163e-07
1914,2.5849430046465116e-07
1915,3.3810786526089487e-07
1916,3.1314267090465364e-07
1917,3.1912296361014114e-07
1918,3.8823952319688715e-07
1919,2.9557194558549327e-07
1920,2.832014671660943e-07
1921,4.2104476261073387e-07
1922,3.9988410749369763e-07
1923,2.8344580682571063e-07
1924,3.4420636474408184e-07
1925,3.4864224751629536e-07
1926,4.135217324119367e-07
1927,3.723841209835044e-07
1928,4.0448184535080145e-07
1929,3.3644027319645886e-07
1930,4.1909377568316586e-07
1931,4.02609079408478e-07
1932,3.1782655640633095e-07
1933,4.0491438024758963e-07
1934,3.52258448188536e-07
1935,4.188899405122015e-07
1936,4.134527755716988e-07
1937,5.363816191206183e-07
1938,6.314059226575353e-07
1939,5.245859524549701e-07
1940,4.462977969410531e-07
1941,4.220648728292531e-07
1942,3.489343547435908e-07
1943,3.6000115266610067e-07
1944,3.50237280954957e-07
1945,2.0477937967555704e-07
1946,2.3109033175927607e-07
1947,2.5391454094858545e-07
1948,3.3485414041578565e-07
1949,2.3069970012112861e-07
1950,2.4142271115579206e-07
1951,2.4307995794004e-07
1952,3.416516536347558e-07
1953,3.156731449571737e-07
1954,3.0099410341932753e-07
1955,3.0221658597895384e-07
1956,3.2791493254080706e-07
1957,4.0287773339642285e-07
1958,3.1930860056039734e-07
1959,3.456833574944085e-07
1960,3.42581258250263e-07
1961,3.383753472974149e-07
1962,2.923641924112985e-07
1963,3.737378726498264e-07
1964,2.920304690290365e-07
1965,2.8016862901880657e-07
1966,2.6421386389863244e-07
1967,2.5982868923080105e-07
1968,2.789169215589027e-07
1969,3.0611447410233694e-07
1970,3.844534163244262e-07
1971,3.2114984271913727e-07
1972,3.6064932656953985e-07
1973,2.778654790702717e-07
1974,2.649644335606105e-07
1975,2.4102446616325324e-07
1976,2.5310924378629807e-07
1977,2.150902123077003e-07
1978,1.984157506074169e-07
1979,2.4519767549691096e-07
1980,2.990389269541538e-07
1981,2.9540316504039765e-07
1982,2.5761134025970023e-07
1983,3.3976401425661606e-07
1984,2.783524042371255e-07
1985,2.6889544457731063e-07
1986,1.6604724706326124e-07
1987,3.373170898157696e-07
1988,2.170752466668091e-07
1989,1.273244318866773e-07
1990,1.520173569247163e-07
1991,1.0550637546957731e-07
1992,1.4105456913604542e-07
1993,2.3375455171503745e-07
1994,2.700762387064515e-07
1995,1.6213127951303363e-07
1996,1.6548085568501847e-07
1997,7.863627082826952e-08
1998,1.530569474494925e-07
1999,1.4853153906813077e-07
2000,2.2576141578412035e-07
2001,1.428275053783068e-07
2002,1.796300805878559e-07
2003,1.0458976262839315e-07
2004,1.3919140018359144e-07
2005,1.1979974123832449e-07
2006,1.6389201817901267e-07
2007,1.3900788786713747e-07
2008,1.0004983463929307e-07
2009,1.0251613913325741e-07
2010,1.0864724142578552e-07
2011,1.487525156385061e-07
2012,1.1404246291757403e-07
2013,9.204112910721207e-08
2014,7.947183791601198e-08
2015,9.619936969240683e-08
2016,8.865335587859846e-08
2017,1.094290962844191e-07
2018,1.1048677817093733e-07
2019,8.49478917208657e-08
