year,sommes_VERB en_ADP,sommes_VERB tant_ADV
1800,1.4746131000720197e-06,2.829747991484055e-08
1801,1.631110080779763e-06,1.6668277424969347e-08
1802,1.4076014167585527e-06,1.7902721083373763e-08
1803,1.2150613883932238e-06,7.801356893821776e-09
1804,1.3619899164041271e-06,4.943701892301533e-09
1805,1.1001936854881933e-06,1.9900143755080535e-08
1806,1.5099946040209034e-06,4.034336598124355e-08
1807,1.2099559398848214e-06,1.4234775136401367e-08
1808,1.0038708069259883e-06,0.0
1809,1.2063222811775631e-06,1.3554183553310395e-08
1810,1.4766200138183194e-06,1.4040760554223652e-08
1811,1.0980995739373611e-06,1.504245972228091e-08
1812,1.2642567526199855e-06,2.400487453257938e-08
1813,1.2423204225342488e-06,7.764502640839055e-08
1814,1.5670451603000402e-06,6.922689976818219e-08
1815,1.6291230622300645e-06,3.236668177919455e-08
1816,1.562064994686807e-06,4.4034472068688046e-08
1817,1.446335431865009e-06,1.71256075987003e-08
1818,1.5867086631260463e-06,4.6492591110336434e-08
1819,1.6654839782859199e-06,2.898294049202832e-08
1820,1.835744683376106e-06,2.4919611263385377e-08
1821,2.017660563069512e-06,3.648750634965836e-08
1822,2.079312707792269e-06,1.1028177482330648e-08
1823,1.6948807797234622e-06,7.214361374963119e-08
1824,1.9764352146012243e-06,1.7684335773537896e-08
1825,1.7337916915494134e-06,2.8177417732422327e-08
1826,1.5466820286746952e-06,4.051672775062798e-08
1827,1.4950417153158924e-06,2.8573547083965423e-08
1828,1.8133639514417155e-06,2.384798314380987e-08
1829,1.5774644452903885e-06,2.914879893012312e-08
1830,1.6542385310458485e-06,3.757260813586072e-08
1831,2.005029045903939e-06,1.4032085715598441e-08
1832,1.886077711787948e-06,1.0823975493678972e-08
1833,1.9414160306041595e-06,3.359252431778259e-08
1834,1.915445636768709e-06,2.0535967593104942e-08
1835,2.324893330296618e-06,3.554651328840919e-08
1836,2.333444399482687e-06,4.5029025841358816e-08
1837,2.0957168089807965e-06,4.1051556820548285e-08
1838,1.995905677176779e-06,3.219202682203104e-08
1839,2.2386702767107636e-06,2.866504900111977e-08
1840,2.171426785935182e-06,1.9746034141121527e-08
1841,2.323596618225565e-06,4.365973182984817e-08
1842,2.614881623230758e-06,3.4212153110502186e-08
1843,2.3999780296435347e-06,1.1223130869097986e-08
1844,2.457228902130737e-06,2.25031016043431e-08
1845,2.43576960201608e-06,9.48638767539478e-09
1846,2.51216647484398e-06,2.2832555401919308e-08
1847,2.1977386950311484e-06,4.260646591092154e-08
1848,2.6645773232303327e-06,2.735375304041554e-08
1849,2.91100877802819e-06,3.4355601030711114e-08
1850,2.453543174851802e-06,5.5669765686161554e-08
1851,2.7429462079453515e-06,3.224719336003545e-08
1852,2.6530472041486064e-06,2.018269107395554e-08
1853,2.874290885301889e-06,3.2845626662947325e-08
1854,2.6305649498681305e-06,4.2604447969551984e-08
1855,2.8546014618768822e-06,3.980202833986368e-08
1856,2.5062772692763247e-06,2.2779632402603056e-08
1857,2.645289669089834e-06,3.4658715009072694e-08
1858,3.305188783997437e-06,2.936205589776364e-08
1859,2.9697555419261334e-06,4.3283474582267445e-08
1860,3.114315859420458e-06,3.3871160098897235e-08
1861,3.17290050588781e-06,2.0750240636857598e-08
1862,3.1336753636423964e-06,3.6595690033891515e-08
1863,3.366873897903133e-06,4.395266373080631e-08
1864,3.3409664865757804e-06,3.835782536043553e-08
1865,3.576730932763894e-06,4.706844336510585e-08
1866,3.5241635032434715e-06,4.5736761933312664e-08
1867,3.5653606573760044e-06,4.076361648230886e-08
1868,3.762702135645668e-06,3.408512938563035e-08
