year,des_DET issus_ADJ,des_DET tissus_NOUN
1800,0.0,4.370388673180514e-07
1801,2.3811825844433088e-09,5.04810707013803e-07
1802,0.0,2.439245747609675e-07
1803,1.950339267864365e-08,3.939685331300069e-07
1804,0.0,3.954961620422637e-07
1805,0.0,4.4064605808635804e-07
1806,0.0,5.446354656157837e-07
1807,0.0,3.387876477134455e-07
1808,0.0,3.9203079449379175e-07
1809,0.0,5.534624767378205e-07
1810,0.0,3.4633877277201464e-07
1811,0.0,4.788516605458426e-07
1812,0.0,7.468183325087807e-07
1813,0.0,3.767221556927325e-07
1814,0.0,3.9648131178182666e-07
1815,0.0,3.830057355713734e-07
1816,0.0,8.157965538657663e-07
1817,0.0,6.554437028682969e-07
1818,0.0,9.191227734461904e-07
1819,2.070210003424222e-09,9.067519997074669e-07
1820,0.0,7.867477229694941e-07
1821,9.86148829262845e-10,7.287639629538489e-07
1822,0.0,6.657009095079047e-07
1823,0.0,9.289725486638645e-07
1824,0.0,9.953755029101785e-07
1825,0.0,8.646944813506252e-07
1826,8.807984341885344e-10,8.200233594379824e-07
1827,0.0,1.1088379494594847e-06
1828,0.0,1.1951508191998528e-06
1829,0.0,1.1050823438552015e-06
1830,0.0,1.1480519486184448e-06
1831,0.0,1.0835888595295273e-06
1832,0.0,1.1987553190095923e-06
1833,0.0,1.2707240646392393e-06
1834,0.0,1.1248109395012307e-06
1835,1.5126175867408165e-09,1.0898409570359036e-06
1836,0.0,1.0054242309820438e-06
1837,0.0,1.5015128287387824e-06
1838,0.0,1.1147278078382783e-06
1839,0.0,1.7562585679087306e-06
1840,0.0,1.2357196039758378e-06
1841,0.0,1.4401290631127495e-06
1842,0.0,1.248408180387628e-06
1843,1.1813822142769936e-09,1.128810649397849e-06
1844,0.0,1.2535873565866495e-06
1845,5.580227946389016e-10,1.3783162646774372e-06
1846,0.0,1.4179601706132416e-06
1847,0.0,1.1703295292875282e-06
1848,8.045221711050488e-10,1.4746891743300239e-06
1849,0.0,1.0801065926102638e-06
1850,6.788996032014438e-10,1.2213403799421485e-06
1851,6.449438760824933e-10,1.8948451554479107e-06
1852,6.510545436100301e-10,1.306666471023732e-06
1853,0.0,1.8650342923365315e-06
1854,0.0,1.3700967631535832e-06
1855,0.0,1.6929129351694883e-06
1856,5.177189232874468e-10,1.3305376391770096e-06
1857,0.0,1.154476926501502e-06
1858,0.0,1.1906313561738102e-06
1859,0.0,1.341278439426219e-06
1860,0.0,1.3388263297997582e-06
1861,0.0,1.61050158187237e-06
1862,0.0,1.2094649557425896e-06
1863,0.0,1.0853310623559764e-06
1864,4.794727948009836e-10,1.2629313257406238e-06
1865,4.706844358715045e-10,1.1672973894150118e-06
1866,0.0,1.3112826415806467e-06
1867,4.85281148598915e-10,1.850376975198742e-06
1868,0.0,1.8361512168496574e-06
1869,2.441759683335931e-09,1.3219686714194268e-06
1870,5.734048791339319e-10,1.7804222025574745e-06
1871,0.0,1.729127667715602e-06
1872,1.0280476914203973e-08,1.3104584724032975e-06
1873,0.0,1.6114324523641699e-06
1874,5.974609140757536e-10,1.525915225286667e-06
1875,0.0,1.2953537087412315e-06
1876,1.813804439976252e-09,1.5586626211927523e-06
1877,6.184815992682502e-10,1.732366991191725e-06
1878,0.0,1.6063975838420674e-06
1879,0.0,1.2994535403265672e-06
1880,0.0,1.5075520707341639e-06
1881,0.0,1.3819510389367906e-06
1882,0.0,1.4302422641776502e-06
1883,1.2638677882037541e-09,1.3283250872575536e-06
1884,0.0,1.3771139872886806e-06
1885,0.0,1.6758652545689756e-06
1886,0.0,1.519790778559127e-06
