year,autres_ADJ huiles_NOUN,autres_ADJ tuiles_NOUN
1800,1.3519907327008696e-07,0.0
1801,1.3334621939975477e-07,7.143547975374531e-09
1802,1.0070280609397742e-07,0.0
1803,2.691468239390815e-07,1.950339223455444e-09
1804,1.60670310833666e-07,0.0
1805,2.04687196969644e-07,2.842877711017877e-09
1806,6.051504897186533e-08,0.0
1807,6.832692633906845e-08,0.0
1808,1.0877155176558517e-07,0.0
1809,5.150589572622266e-07,2.710836710662079e-08
1810,1.942305232205399e-07,0.0
1811,1.1281845502253418e-07,0.0
1812,8.268345652595599e-08,2.9339290108509886e-08
1813,1.782959770935122e-07,0.0
1814,4.090680150170556e-08,3.776012391654149e-08
1815,1.5104451733805035e-07,0.0
1816,5.7940098940889584e-08,6.952811659743929e-09
1817,4.0011647683968476e-07,0.0
1818,8.821671571013212e-08,2.384235475716423e-09
1819,1.0765091928988113e-07,1.035105001712111e-09
1820,1.9105034709809843e-07,0.0
1821,8.382264837791809e-08,1.3806083387635226e-08
1822,8.622029668003961e-08,0.0
1823,1.3440454438296e-07,0.0
1824,1.7852758560366055e-07,8.421112696055388e-10
1825,1.215151144151605e-07,0.0
1826,9.424542923852641e-08,0.0
1827,2.2858837667172338e-07,1.8434546111834038e-09
1828,2.4765213879618386e-07,4.586150570418113e-09
1829,2.417635585061362e-07,4.286587973467704e-09
1830,1.0436836106464398e-07,6.262101504006523e-09
1831,4.1004872741723375e-07,0.0
1832,3.1254228360921843e-07,1.3529969367098715e-09
1833,1.18153010930655e-07,0.0
1834,7.28093425550469e-08,2.8003592777992026e-09
1835,9.832014313815307e-08,7.563087933704082e-10
1836,8.199315004731034e-08,4.032449929525228e-09
1837,1.349830824892706e-07,9.045257876039159e-09
1838,1.3444905277992802e-07,3.787297142565649e-09
1839,2.6497690441829036e-07,6.9914749545318955e-09
1840,7.325142092895476e-08,6.3696887764308485e-09
1841,1.8683796554341825e-07,3.852329122366882e-09
1842,1.4624018263020844e-07,0.0
1843,1.216823619643037e-07,1.0041748765843295e-08
1844,1.4654458813101456e-07,1.0977122322231025e-08
1845,9.709596326956671e-08,7.812318791877715e-09
1846,9.367202125076801e-08,1.4636253098387897e-08
1847,6.094342808182773e-08,1.1325769655456952e-08
1848,9.171552761699786e-08,1.287235473768078e-08
1849,7.0387088157986e-08,1.6758828991214614e-08
1850,2.620552379539731e-07,9.504594444820214e-09
1851,2.0186743654448946e-07,1.3543821175687754e-08
1852,1.5039360334867524e-07,8.463708844885787e-09
1853,1.4631232736483923e-07,5.3747388761848924e-09
1854,2.7381150857763714e-07,4.676098175337984e-09
1855,1.926418207176539e-07,6.8990182455763716e-09
1856,1.4703216777434136e-07,1.1907535402144731e-08
1857,1.1617991901857749e-07,6.8341128311999455e-09
1858,6.166031663035199e-08,9.787352039936081e-10
1859,1.0846328990510301e-07,7.129042689513199e-09
1860,1.1076785097485775e-07,1.1900677776566226e-08
1861,7.498382670334536e-08,4.2443675241088386e-09
1862,1.3011800392703776e-07,1.0391368654438793e-08
1863,1.0788380705450962e-07,2.9967726078439227e-09
1864,1.2610133948154356e-07,6.712618905169165e-09
1865,1.477949069794704e-07,8.001635798393636e-09
