year,vos_DET airs_NOUN,vos_DET terres_NOUN
1800,2.2009151834367913e-08,2.924072930454713e-07
1801,3.5717737434382e-08,3.1431610603149807e-07
1802,3.3567602031325805e-08,5.549843251628772e-07
1803,5.265915836716317e-08,2.691468194981894e-07
1804,1.359518080334965e-07,4.5976426576999074e-07
1805,4.548604315424143e-08,5.827899371979584e-07
1806,1.0374009207225754e-07,4.5242205715112505e-07
1807,1.7081730252499483e-08,2.932363827312656e-07
1808,4.75875534533543e-08,2.2887347972400107e-07
1809,1.3554183553310395e-08,2.6204754366432326e-07
1810,1.0530570193623134e-07,3.767604161986071e-07
1811,8.774768467390004e-08,2.682572222134638e-07
1812,6.134578844907423e-08,2.613864196199245e-07
1813,6.039057609541487e-08,2.041776572259124e-07
1814,9.125363398254649e-08,2.989343386161636e-07
1815,1.8880564667256294e-08,1.6722785955991526e-07
1816,3.0128852301913867e-08,2.2712518443768204e-07
1817,7.472992091805963e-08,3.6586524743142945e-07
1818,5.0068943213688044e-08,3.0518213600672084e-07
1819,5.175524897538253e-08,3.3951442901525297e-07
1820,7.950542535439808e-08,4.960189130542858e-07
1821,6.015507691969901e-08,6.035230657452928e-07
1822,2.5064039732569654e-08,5.383755734555962e-07
1823,5.731958552246397e-08,3.399644317170214e-07
1824,3.8737119290033206e-08,4.193714113753799e-07
1825,5.459374818883589e-08,4.129752815273946e-07
1826,2.8185549894033102e-08,4.03405692850356e-07
1827,2.0278000945062047e-08,4.1938591754941967e-07
1828,5.3199348259980184e-08,3.1736161548723274e-07
1829,3.0006116702452346e-08,3.240660568781806e-07
1830,6.575206312753323e-08,3.2354191148442624e-07
1831,3.2741533706470705e-08,3.2585619691438694e-07
1832,4.058990832334075e-08,4.38371000388571e-07
1833,4.749287596528262e-08,3.7530955410147726e-07
1834,2.893704542650255e-08,3.612463501667662e-07
1835,5.218530674255817e-08,4.2428922597537166e-07
1836,2.822714967321005e-08,3.474627696675725e-07
1837,1.8090516529234435e-08,3.6041874995618173e-07
1838,3.787297009338886e-08,3.8630431564712353e-07
1839,2.6567605448946097e-08,3.7334477998030025e-07
1840,3.375935120342177e-08,3.4077833355183884e-07
1841,3.5955072252846776e-08,3.081863315657074e-07
1842,6.439934541191406e-08,3.99141760532018e-07
1843,3.7804230856863796e-08,2.953455632281887e-07
1844,3.56756482688958e-08,3.128479950653684e-07
1845,5.6918324276011845e-08,3.431840230883054e-07
1846,4.9763260845381296e-08,3.7527353513588935e-07
1847,3.020205241455187e-08,2.9339136276007594e-07
1848,5.5512030749937935e-08,2.6227423943758765e-07
1849,3.854530761238095e-08,1.92726539616217e-07
1850,5.159636806695289e-08,2.742754494633459e-07
1851,2.4507867735223954e-08,3.198921731950577e-07
1852,4.5573818718835923e-08,2.760471176088686e-07
1853,4.060913649794884e-08,3.4517765712394066e-07
1854,6.33871053423718e-08,3.548638738415377e-07
1855,8.278822249963014e-08,2.892280619448684e-07
1856,3.572260576234498e-08,3.0856048960359317e-07
1857,5.272029879321849e-08,2.6555410004291957e-07
1858,5.1872966366772744e-08,3.6702570627156206e-07
1859,4.786642771037464e-08,2.9687371849718147e-07
1860,6.087654602637826e-08,2.650189516728574e-07
1861,4.810282866474225e-08,2.8767378568161917e-07
1862,3.885468324860142e-08,2.4171226487013087e-07
1863,5.044567208400963e-08,2.5772242651100896e-07
1864,6.856460954551835e-08,3.3946674982132663e-07
1865,4.7068444919418084e-08,3.181826881970551e-07
1866,5.1575495207956124e-08,2.715011984122384e-07
1867,5.386620571812273e-08,2.707868951290493e-07
1868,5.236266353847441e-08,2.593433986453064e-07
1869,7.325278961189952e-08,2.8959268050243736e-07
1870,2.8670243512607385e-08,2.505779397310448e-07
1871,2.549082545044712e-08,1.6675248248887442e-07
1872,3.9307707089264454e-08,2.00771662406396e-07
1873,2.9930021461233025e-08,2.0352415397439927e-07
1874,3.5847653734322193e-08,1.7804335117332926e-07
1875,3.37570102426632e-08,2.4316490510045696e-07
1876,5.6832537564943664e-08,2.6179245216084723e-07
1877,6.865146029433333e-08,2.6903949645884495e-07
1878,3.442280499532657e-08,1.896273891244249e-07
1879,6.048231937505477e-08,2.132154546252707e-07
1880,3.3372801855335865e-08,2.175649855828965e-07
1881,1.8128519629900808e-08,2.684415292275588e-07
1882,5.923292589748996e-08,2.1962771579175921e-07
1883,4.613117443597048e-08,2.0474658057878514e-07
1884,3.4328825115892414e-08,2.7066958718791057e-07
1885,1.4180398411056672e-08,2.4300046108649553e-07
1886,2.5813855941692054e-08,2.5942924164468195e-07
1887,2.7421483972389638e-08,3.042478891046585e-07
1888,3.4873380627686856e-08,2.225555792989553e-07
1889,2.7566601445982997e-08,2.0549648649392793e-07
1890,1.8352282582512203e-08,1.9269895901175005e-07
1891,4.971891465199718e-08,1.9441371090778148e-07
1892,3.635737289009455e-08,2.030998027535702e-07
1893,2.2170299485146927e-08,1.8536833623628013e-07
1894,2.6466465019581165e-08,2.0480002405065534e-07
1895,2.407445731655855e-08,1.61900731709963e-07
1896,3.715128332748563e-08,1.7750056890974975e-07
1897,3.43776108691074e-08,1.6431332738875426e-07
1898,1.697506502029711e-08,1.397613713649548e-07
1899,2.65323762960179e-08,1.945707559514176e-07
1900,3.426095018799202e-08,1.4846412277336185e-07
1901,3.409130766574009e-08,1.4363059053223992e-07
1902,2.1114220427609354e-08,1.0557110186049101e-07
1903,1.4580595175672784e-08,1.2636515633879242e-07
1904,2.0961038238453966e-08,1.349030886999003e-07
1905,1.3934049136743454e-08,1.2179391428723818e-07
1906,3.806696413644062e-08,1.5432553340799515e-07
1907,3.394276593127188e-08,1.3268536402932796e-07
1908,2.7503778587956162e-08,1.3162522760623574e-07
1909,3.13556076103616e-08,1.0286839202677811e-07
1910,5.076943265791556e-08,1.3574142632144515e-07
1911,3.724261787851901e-08,1.2130452997638486e-07
1912,3.2298411722919695e-08,1.1981668701643855e-07
1913,3.606033122105501e-08,1.1772637109608297e-07
1914,3.616241528447972e-08,1.4264064418512135e-07
1915,2.1205371236732162e-08,1.0131455474571283e-07
1916,2.8567401111345703e-08,1.032821401736328e-07
1917,2.8512703309502285e-08,1.250172383393533e-07
1918,6.087779347296873e-08,1.2060694931648186e-07
1919,3.314825391953491e-08,1.6758283927220674e-07
1920,2.8017257847068322e-08,1.9990691768612123e-07
1921,3.634918815942356e-08,1.0298936636843337e-07
1922,5.976127831486266e-08,1.409185672041069e-07
1923,4.352538862661959e-08,9.660513011766625e-08
1924,5.0277336072213075e-08,1.585669866521755e-07
1925,4.2892892793133797e-08,1.561741322930743e-07
1926,3.78968714187522e-08,1.0588831822477829e-07
1927,5.9090890403012963e-08,1.382503909130861e-07
1928,3.313552077166548e-08,1.0626218616138772e-07
1929,6.461435875237953e-08,8.80092070332239e-08
1930,3.7812974085227324e-08,1.0503603897760172e-07
1931,2.8513392535955973e-08,8.439963927742156e-08
1932,2.6302887090601246e-08,1.3370634599496611e-07
1933,3.211785326584504e-08,1.5141273834728963e-07
1934,1.677421224144382e-08,1.413826424823128e-07
1935,2.393656828303392e-08,8.01875019718068e-08
1936,2.0612015205756506e-08,1.0184759968723256e-07
1937,3.651424218542587e-08,9.821072122218055e-08
1938,2.2040865133021725e-08,1.1668692678767911e-07
1939,3.6705721129237645e-08,1.1317597170545923e-07
1940,4.3108308034334186e-08,5.832300686847702e-08
1941,2.6563523380929155e-08,9.444808313219255e-08
1942,2.7307905936524435e-08,1.2136847260535433e-07
1943,5.8064703711835364e-08,8.709705712206528e-08
1944,3.213186161588055e-08,1.1567470004081315e-07
1945,1.5249527862692958e-08,1.1328220894668561e-07
1946,6.125285700875338e-08,1.1832938540123905e-07
1947,4.0530959921625254e-08,8.583027355513195e-08
1948,2.9354097819123126e-08,1.0328293198469396e-07
1949,2.552422073698324e-08,1.0896879210076094e-07
1950,3.19060831088791e-08,1.2230665902279725e-07
1951,1.7058242818279723e-08,1.3113523622543255e-07
1952,2.741649041126948e-08,1.370824520563474e-07
1953,2.693456835345387e-08,7.972632287689407e-08
1954,2.8340354951694735e-08,1.0358888058448201e-07
1955,3.378819002364253e-08,1.079344928989201e-07
1956,2.8779766569897447e-08,7.587392869545795e-08
1957,2.6505112771246786e-08,9.541840961801995e-08
1958,3.7225095728121715e-08,1.0919361681516193e-07
1959,3.7978666100890734e-08,1.5191465196906506e-07
1960,4.0832916214927906e-08,1.190383345228696e-07
1961,2.640300600376122e-08,1.2784613101501918e-07
1962,3.107558699255719e-08,1.3825464506567187e-07
1963,3.879631949033069e-08,9.634419528836702e-08
1964,2.9203048756976102e-08,1.28980125913003e-07
1965,3.994591679656878e-08,1.006855967489173e-07
1966,4.7636043332133227e-08,1.141049406072625e-07
