year,deux_DET tissus_NOUN
1800,3.458580977167003e-08
1801,5.714838380299625e-08
1802,2.0140561218795483e-08
1803,1.950339223455444e-09
1804,0.0
1805,5.685755422035754e-09
1806,5.4751712497136396e-08
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,9.036122072814123e-09
1810,0.0
1811,7.521229861140455e-09
1812,6.668020802180763e-08
1813,4.888760685162197e-08
1814,1.2586708564299443e-08
1815,4.5852800667489646e-08
1816,4.4034472068688046e-08
1817,1.2454987263765815e-08
1818,3.9339884239097955e-08
1819,3.1053151161586356e-08
1820,2.3732962262101864e-09
1821,2.9584464655840748e-08
1822,5.514088741165324e-08
1823,9.882686891060644e-10
1824,6.736890156844311e-09
1825,1.5849797252442954e-08
1826,2.9947145208097936e-08
1827,1.1982455028203276e-08
1828,1.4675682002973645e-08
1829,2.2290257861712348e-08
1830,3.3397876242347024e-08
1831,2.0268567268999504e-08
1832,1.623596290745155e-08
1833,9.266902800675325e-09
1834,5.2273372741495905e-08
1835,1.3613558280667348e-08
1836,1.9490174807401672e-08
1837,9.94978436308358e-08
1838,7.385229383594094e-08
1839,2.51693106356754e-08
1840,4.331388403500114e-08
1841,3.5955073141025196e-08
1842,3.4882980060046975e-08
1843,3.6622847421341476e-08
1844,4.775048290106554e-08
1845,4.408380149811819e-08
1846,4.156695965207291e-08
1847,3.66739207890987e-08
1848,1.448139919091318e-08
1849,1.256912263158938e-08
1850,2.0366988096043315e-08
1851,3.289213879043018e-08
1852,7.487127207106425e-08
1853,5.85249322337944e-08
1854,3.481095167678916e-08
1855,4.7231740296638236e-08
1856,5.17718929948785e-08
1857,3.1241657483249696e-08
1858,4.404308384664546e-08
1859,4.990329882659239e-08
1860,1.556242520961426e-08
1861,5.7534757680333115e-08
1862,2.8011514940917692e-08
1863,2.6471489888990618e-08
1864,4.315254997777629e-08
1865,1.2237795776748328e-08
1866,2.8707116683790446e-08
1867,8.104195181601881e-08
1868,5.7302540601433805e-08
1869,6.104399008499684e-08
1870,3.899153178110737e-08
1871,6.585129597169725e-08
1872,4.5355045608097555e-08
1873,4.489503185878263e-08
1874,6.990292433783907e-08
1875,3.776207790906483e-08
1876,5.441413186701993e-08
1877,6.061119639522161e-08
1878,5.1332254003000344e-08
1879,2.7491963261461194e-08
1880,3.52981546214437e-08
1881,4.6715802004548834e-08
1882,3.660461800336634e-08
1883,2.4013488364449387e-08
1884,3.366865364284877e-08
1885,5.349877718607843e-08
1886,6.647068007126222e-08
