year,ayons_VERB en_PRON,ayons_VERB tant_ADV
1800,0.0,6.288328968651058e-09
1801,0.0,4.7623651688866175e-09
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,0.0,1.950339223455444e-09
1804,4.943701892301533e-09,1.730295728918918e-08
1805,0.0,1.421438877713399e-08
1806,0.0,1.729001475325731e-08
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,0.0,1.6380887757350138e-08
1811,0.0,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,5.751483289628823e-09,5.751483289628823e-09
1814,0.0,1.2586708564299443e-08
1815,0.0,3.776112933451259e-08
1816,0.0,2.3176038865813098e-08
1817,4.670620334934483e-09,7.784366928831332e-09
1818,2.384235475716423e-09,2.026600220972341e-08
1819,5.175524897538253e-09,1.8631890696951814e-08
1820,3.5599443393152796e-09,4.746592452420373e-09
1821,8.875339574387908e-09,1.2819934447350079e-08
1822,7.017931125119503e-09,9.023054303725075e-09
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,4.210556348027694e-09,2.7789671008804362e-08
1825,5.283265824829186e-09,1.584979791857677e-08
1826,5.284790383086602e-09,3.787433300317389e-08
1827,7.373818444733615e-09,1.1060727445055818e-08
1828,2.7516904310687096e-09,1.1006761724274838e-08
1829,8.57317605795771e-10,8.573175946935407e-09
1830,1.1480519646056564e-08,1.461157062010443e-08
1831,4.677361609140007e-09,3.1182412207897414e-09
1832,5.411987746839486e-09,1.0823975493678972e-08
1833,1.1583628500844156e-09,1.6217079235048004e-08
1834,9.334530925997342e-10,1.120143711119681e-08
1835,0.0,3.479020449503878e-08
1836,2.016224964762614e-09,4.973355061110851e-08
1837,3.478945576063097e-09,1.3219993100221927e-08
1838,8.2058102535143e-09,1.9567702125300457e-08
1839,1.3982950353153e-09,2.307186797168015e-08
1840,7.0066574764382494e-09,1.7198159341091923e-08
1841,6.420548537278137e-10,2.0545755319290038e-08
1842,6.708265054555795e-09,4.695785538189057e-09
1843,3.5441467538532834e-09,1.7720733325177207e-08
1844,6.586273748609983e-09,1.866110821424627e-08
1845,2.2320911785556063e-09,9.48638767539478e-09
1846,1.1709002656346001e-09,1.6392604607062822e-08
1847,1.0786447290911383e-09,6.47186837454683e-09
1848,4.02261068899179e-09,1.367687652020777e-08
1849,8.379414939696517e-10,1.75967720394965e-08
1850,3.394498016007219e-09,8.146795238417326e-09
1851,4.514607354622058e-09,1.4188765717904062e-08
1852,1.3021090872200602e-09,8.463708844885787e-09
1853,1.0749477752369785e-08,1.6124216628554677e-08
1854,9.352196350675968e-09,1.506742641765868e-08
1855,1.5920811335945473e-09,1.2736649068756378e-08
1856,3.1063134287023786e-09,5.694908100650764e-09
1857,4.881509085841174e-10,6.8341128311999455e-09
1858,3.9149408159744326e-09,7.829881631948865e-09
1859,7.129042689513199e-09,1.3748867822016564e-08
1860,6.865775947773045e-09,4.57718396518203e-09
1861,2.8295783494058924e-09,1.7920662287451705e-08
1862,7.228778020618165e-09,8.132375661773494e-09
1863,9.489779628779615e-09,1.4484400345793347e-08
1864,5.274200631788517e-09,1.0068928801842958e-08
1865,5.1775286835642476e-09,1.7886009118228685e-08
1866,6.811858188626729e-09,9.731225603104576e-09
1867,3.396968040192405e-09,7.279217228983725e-09
1868,5.433861360870651e-09,1.531360993567432e-08
1869,2.2952540645881925e-08,7.325278605918584e-09
1870,2.2936195165357276e-09,1.0894693147633916e-08
1871,8.496941816815706e-09,3.18635318130589e-09
1872,1.5118348573039952e-08,1.9956219787786722e-08
1873,1.316921005578564e-08,6.584604861359367e-09
1874,9.559374625212058e-09,1.0156835372754358e-08
1875,5.721527251978387e-09,2.0597497041308088e-08
1876,5.441413541973361e-09,8.464420275799966e-09
1877,5.566334504436554e-09,8.040260901509555e-09
1878,3.6234530931267273e-09,1.1474268646338714e-08
1879,6.109325489944695e-09,1.7717043832021773e-08
1880,1.0268554007097919e-08,6.417846254436199e-09
1881,1.045876096839038e-08,9.761510710859511e-09
1882,2.6621540527571597e-09,6.655385131892899e-09
1883,1.0110942305630033e-08,9.479008689083912e-09
1884,7.2618666635548834e-09,1.4523733327109767e-08
1885,5.156508553483263e-09,1.0957580620640783e-08
1886,5.808117542471791e-09,5.808117542471791e-09
1887,1.2404957061562527e-08,2.8074376601239237e-08
1888,5.706553452000662e-09,9.510921827882157e-09
1889,7.51816386923565e-09,1.0024218788373673e-08
1890,7.209825181320184e-09,9.176140736144589e-09
1891,3.824531802365527e-09,7.649063604731055e-09
1892,6.8953633913793055e-09,1.56712811616444e-08
1893,7.390100087434348e-09,1.1085149687062312e-08
1894,8.192000855444803e-09,8.192000855444803e-09
1895,8.426060515986933e-09,6.6204757231957956e-09
1896,9.435246361988447e-09,1.7691086373616827e-09
1897,1.2236098800855189e-08,0.0
1898,7.921697076085366e-09,1.1882545614128048e-08
1899,3.3165470370022376e-09,4.4220627160029835e-09
1900,4.6719478286050276e-09,4.15284251431558e-09
1901,5.029865024486213e-09,9.500856101851696e-09
1902,3.928227076954727e-09,5.892340837476695e-09
1903,4.320176216765503e-09,5.940242076007962e-09
1904,3.7622376325430196e-09,4.837162670412454e-09
1905,1.1353670004154992e-08,8.257214467732865e-09
1906,5.658602919567102e-09,8.745113966313056e-09
1907,1.337139288182243e-08,8.742834012309686e-09
1908,6.3848057951787496e-09,6.875944702500192e-09
1909,6.0510818578052294e-09,9.351672325408344e-09
1910,2.137660271017694e-09,1.4429207162436342e-08
1911,5.3203743632934675e-09,5.852411444351446e-09
1912,6.251305251225858e-09,6.251305251225858e-09
1913,8.484783542428431e-09,9.015082902408267e-09
1914,6.027069510139427e-09,6.027069510139427e-09
1915,9.424609537234119e-09,7.068456930880984e-09
1916,6.592477230782379e-09,1.2086208478478966e-08
1917,3.289927441585405e-09,1.5352993543160665e-08
1918,1.2635013924011673e-08,2.2972752589112133e-09
1919,2.762354567309444e-09,5.524709134618888e-09
1920,8.329454459499175e-09,3.028892692213958e-09
1921,6.058197943303867e-09,1.3630945261411398e-08
1922,2.951174193910333e-09,9.591316185719734e-09
1923,1.0615948120573648e-09,1.4862327368803108e-08
