year,aurons_VERB en_PRON,aurons_VERB tant_ADV
1800,0.0,3.144164484325529e-09
1801,0.0,1.4287095950749062e-08
1802,1.3427040812530322e-08,6.713520406265161e-09
1803,3.900678446910888e-09,9.751696339321825e-09
1804,0.0,0.0
1805,4.264316544322355e-08,3.980028751016107e-08
1806,8.645007376628655e-09,5.76333825108577e-09
1807,0.0,4.839823830593559e-08
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,0.0,2.710836710662079e-08
1810,2.3401267590372754e-09,1.4040760554223652e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,2.400487453257938e-08
1813,2.8757416448144113e-09,3.738464116054274e-08
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,0.0,3.236668177919455e-08
1816,2.3176038865813098e-09,1.622322720606917e-08
1817,4.670620334934483e-09,4.3592454090912724e-08
1818,1.1921176934492905e-08,1.3113295338484932e-08
1819,1.035105001712111e-09,2.3807414706311647e-08
1820,0.0,1.0679833017945839e-08
1821,2.9584463767662328e-09,3.8459806006585495e-08
1822,1.5038423839541792e-08,2.2056354964661296e-08
1823,9.882686891060644e-10,1.680056804787e-08
1824,0.0,2.0210670470532932e-08
1825,1.7610886082763955e-09,3.6982861217893515e-08
1826,5.2847906051312066e-09,5.549030035467695e-08
1827,9.217273055917019e-10,6.452091305675367e-09
1828,2.7516904310687096e-09,2.2013523448549677e-08
1829,1.714635211591542e-09,7.715858174606183e-09
1830,1.0436835395921662e-08,2.2961039292113128e-08
1831,6.236482419375022e-08,1.870944643656003e-08
1832,1.2176972319366541e-08,1.0823975493678972e-08
1833,1.6217079235048004e-08,3.01174338801502e-08
1834,2.8003592777992026e-09,1.3068342852307069e-08
1835,1.5126175867408165e-09,4.5378527602224494e-09
1836,1.3441500135158435e-09,2.2850549896702432e-08
1837,1.3915781860163179e-09,2.435261770017405e-08
1838,2.5248647617104325e-09,1.5149188570262595e-08
1839,0.0,3.216078425793967e-08
1840,3.184844332704273e-09,1.7835128929277744e-08
1841,1.2841097074556274e-09,8.346713542550788e-09
1842,2.683306021822318e-09,7.379091560011375e-09
1843,1.8311424432315704e-08,5.906910960362666e-09
1844,1.975882035765153e-08,6.586273748609983e-09
1845,3.9061593959388574e-09,1.562463758375543e-08
1846,8.196302303531411e-09,2.2832555401919308e-08
1847,4.314578916364553e-09,9.168480197274675e-09
1848,4.02261068899179e-09,1.045878850192139e-08
1849,4.189707469848258e-09,2.262441967104678e-08
1850,4.752297222410107e-09,1.0862393651223101e-08
1851,1.0319102239364497e-08,6.449438760824933e-09
1852,9.114764054629632e-09,4.557382027314816e-09
1853,3.5831591027601917e-09,7.763511611358354e-09
1854,7.79349651480743e-09,2.182179059673217e-08
1855,7.429711956774554e-09,1.6451505047143655e-08
1856,6.212626857404757e-09,1.346069211649592e-08
1857,2.440754542920587e-09,8.78671624349181e-09
1858,7.340513863418607e-09,1.5170396494568195e-08
1859,1.018434669930457e-09,7.638259802433822e-09
1860,4.57718396518203e-09,5.950338888283113e-09
1861,1.886385547766878e-09,1.131831339762357e-08
1862,1.8071945329101169e-09,1.2650361647104091e-08
1863,4.994620717013731e-09,8.490855130105501e-09
1864,6.712619016191468e-09,1.102787461348953e-08
1865,4.236160089376995e-09,2.118079933666195e-08
1866,6.3252967308358166e-09,1.0217787504984699e-08
1867,6.308654931785895e-09,1.4073153309368536e-08
1868,1.8771521559379778e-08,5.9278488784286765e-09
1869,3.9068152046795035e-09,9.767038733343725e-09
1870,1.0321287824410774e-08,9.17447806614291e-09
1871,0.0,2.1242354542039266e-09
1872,7.256807155187062e-09,2.53988243770209e-08
