year,moins_ADV eu_VERB,moins_ADV tu_VERB
1800,2.6096566330124915e-07,1.4148740490327327e-07
1801,2.7383600809116615e-07,7.857902528662919e-08
1802,1.6112448975036386e-07,8.056224487518193e-08
1803,2.3014003147636686e-07,8.971560383486121e-08
1804,2.1505103120489366e-07,4.943701981119375e-08
1805,2.899735136452364e-07,5.1171799242411e-08
1806,2.1612518708025164e-07,3.1698359492793315e-08
1807,1.7651122163897526e-07,6.26330107778017e-08
1808,2.0621273222332093e-07,2.2660739062985158e-08
1809,3.185232912983338e-07,5.873479480555943e-08
1810,3.697400359214953e-07,8.42445624371635e-08
1811,1.1281845502253418e-07,4.011322829455821e-08
1812,3.6007310200147913e-07,6.668020358091553e-08
1813,4.3998846877002507e-07,4.6011867427253605e-08
1814,1.3530711839848664e-07,3.4613449884091096e-08
1815,2.6702514333010186e-07,4.585280044544504e-08
1816,2.711596494009427e-07,6.952811659743929e-09
1817,2.771234619558527e-07,9.49692804397273e-08
1818,3.039900207113533e-07,4.2916236786538775e-08
1819,3.094963858529809e-07,7.349245834120666e-08
1820,2.480094565271429e-07,8.306536614099969e-08
1821,3.2444296493849833e-07,9.269798950661823e-08
1822,1.804610860745015e-07,1.1529458276982041e-07
1823,2.401492906756175e-07,6.423746423678267e-08
1824,2.896862838497327e-07,6.568467725287519e-08
1825,2.3686641270614928e-07,7.572681237633105e-08
1826,2.483851631041034e-07,8.719904343035267e-08
1827,2.414925575067173e-07,5.438191230666689e-08
1828,3.6322313690106967e-07,5.96199591917923e-08
1829,2.5290870553362765e-07,4.800978425922864e-08
1830,3.1101771469366213e-07,6.05336496484199e-08
1831,2.68168747652453e-07,5.768746280665482e-08
1832,2.92247335664797e-07,9.06507948705837e-08
1833,2.108220371610514e-07,7.761030929032131e-08
1834,2.7630210297502344e-07,8.027696796197858e-08
1835,2.3823727701710595e-07,7.865611451052246e-08
1836,2.1775230152343283e-07,5.779845224651581e-08
1837,2.3726407505364477e-07,5.98378591121218e-08
1838,2.297626906511141e-07,5.9334323232462793e-08
1839,2.467990611876303e-07,4.824117993962318e-08
1840,2.08925783340419e-07,6.879263592107776e-08
1841,2.2343509442634968e-07,5.778493772368165e-08
1842,2.0057711935805855e-07,6.64118209314779e-08
1843,2.339136813134246e-07,5.0208743829216473e-08
1844,2.1405388395123737e-07,7.738871682372306e-08
1845,2.8347557190500083e-07,6.975285060661918e-08
1846,2.4881632043616264e-07,4.9177810712563996e-08
1847,2.119536901545871e-07,5.123562374365065e-08
1848,2.083712473677224e-07,5.470750863434404e-08
1849,3.083624733335455e-07,3.2679716932548786e-08
1850,2.2200016758233687e-07,5.363306776473564e-08
1851,2.27665182706005e-07,5.095056665460618e-08
1852,2.565154773037648e-07,5.208436348880241e-08
1853,2.1558673779509263e-07,5.1955805879799755e-08
1854,2.909572174303321e-07,4.624141425324524e-08
1855,2.3456661324416928e-07,5.890700194299825e-08
1856,2.2520772802181455e-07,6.989205247887043e-08
1857,2.2259681031755463e-07,8.005675056210748e-08
1858,1.972151437712455e-07,4.208561388274745e-08
1859,2.75995802212492e-07,7.230886467368691e-08
1860,1.9590346767017763e-07,6.453829115571352e-08
1861,1.9995685818230413e-07,5.3290391044402696e-08
1862,2.4306766022164084e-07,4.789065499721801e-08
1863,2.2575686386971938e-07,5.544029235693415e-08
1864,2.459695451761945e-07,6.281093334337129e-08
1865,2.2969400959027553e-07,5.97769221899469e-08
1866,2.5057906327674573e-07,7.20110691077025e-08
1867,2.2371460772774299e-07,6.64835191344082e-08
1868,2.287161748881772e-07,6.965222421051465e-08
1869,2.4466430659231264e-07,6.836926647046937e-08
1870,2.0126510946738563e-07,4.128514952128626e-08
1871,2.3897649725768133e-07,6.478918224139818e-08
1872,1.5844028666833765e-07,5.9868661139717e-08
1873,1.8077733443533361e-07,3.95076291681562e-08
1874,1.7206873792474653e-07,5.4966405094170057e-08
1875,2.2943324040625157e-07,5.607096537074696e-08
1876,2.0616910489934526e-07,4.5949711591219966e-08
1877,2.3440452423528768e-07,4.82415639657674e-08
1878,1.7634138771427388e-07,4.891661997685759e-08
1879,1.9488747682316898e-07,7.086817532808709e-08
1880,2.3425138806487666e-07,3.9790645445236805e-08
1881,2.29395496376128e-07,6.414706860136121e-08
1882,2.016581674979534e-07,6.256061935161483e-08
1883,1.8262889511788671e-07,4.92908434068795e-08
1884,2.3171956797796156e-07,5.215340781461464e-08
1885,1.8627886788635806e-07,5.349877696403382e-08
1886,2.3038866459046403e-07,3.6784744139595205e-08
1887,1.6975204175651015e-07,5.157850324621904e-08
1888,1.7183066347570275e-07,5.389522428345117e-08
1889,2.2491840923066775e-07,5.200063640797836e-08
1890,2.169501982507427e-07,5.83340380444497e-08
1891,1.9313887378302752e-07,4.971891698346553e-08
1892,2.1250257020710706e-07,4.011847920537548e-08
1893,2.087703165898347e-07,3.2639608404938514e-08
1894,2.0227940922268317e-07,5.230277722034771e-08
1895,2.0704034398022486e-07,5.2963808894190834e-08
1896,1.9990928024071764e-07,5.012474701970859e-08
1897,2.0684832691131305e-07,3.379494017963225e-08
1898,1.8672571400202287e-07,4.413516663248629e-08
1899,1.7301320553997357e-07,5.140648084989152e-08
1900,2.1075675249448977e-07,4.049021384844309e-08
1901,2.095777063004789e-07,4.079779403198813e-08
1902,1.551649688735779e-07,4.3210498290591204e-08
1903,1.981880899393218e-07,4.3201762167655033e-08
1904,1.6983815953608428e-07,4.944655174199397e-08
1905,1.9817315433101612e-07,3.973784501454247e-08
1906,1.5072460257670173e-07,4.166789580040131e-08
1907,1.8874234797294775e-07,5.502842270743713e-08
1908,1.7189861978295085e-07,4.862275204686739e-08
1909,1.6612970910045988e-07,4.235757317117006e-08
1910,1.7689139042431634e-07,4.916618578931775e-08
1911,1.7610437907933374e-07,3.990280461607654e-08
1912,1.755574885464739e-07,5.1052328142731085e-08
1913,1.5802909558715328e-07,3.606033116554386e-08
1914,1.5938249475766497e-07,3.8171440674972246e-08
1915,1.5314989809667168e-07,2.0027295266622502e-08
1916,1.6261444102383393e-07,3.845611562525164e-08
1917,1.4366015932409937e-07,4.605898240583883e-08
1918,1.6540381864160736e-07,4.709414369585829e-08
1919,1.7218675907315628e-07,3.6831394822911534e-08
1920,1.3630017292598495e-07,3.7861156876317636e-08
1921,1.6584317563683726e-07,6.815472408661094e-08
1922,1.9330191491917503e-07,5.2383342108441866e-08
1923,1.7516313732812705e-07,5.4141334970836397e-08
1924,1.4825367600224126e-07,6.187979550986711e-08
1925,1.9906701709260233e-07,4.8391981977147225e-08
1926,1.515874856750088e-07,4.346994164627915e-08
1927,1.438250052387957e-07,7.915949984393933e-08
1928,1.3711249380321533e-07,6.28432237359533e-08
1929,1.570797252270495e-07,4.901778782873123e-08
1930,1.680576531271072e-07,6.19712636762415e-08
1931,1.6879927500212943e-07,4.334035530462188e-08
1932,1.5562541477720515e-07,5.2605777511871565e-08
1933,1.3650088703798247e-07,5.391211388428019e-08
1934,1.4497712186312128e-07,2.7557634396657704e-08
1935,1.579813471153102e-07,3.590485420090772e-08
1936,1.3458432590596203e-07,4.243650053581405e-08
1937,1.3346584637474734e-07,3.5255130370615007e-08
1938,1.335417039172171e-07,5.186085871855539e-08
1939,1.3152883582279173e-07,2.4470481641003516e-08
1940,1.4200384157447843e-07,3.042939566988423e-08
1941,1.4167213180371618e-07,4.7224041566096275e-08
1942,1.2136847260535433e-07,3.6410540360520827e-08
1943,1.2774235358392616e-07,6.967764720755554e-08
1944,1.5101974781828176e-07,5.462416652335378e-08
1945,1.7428033061150927e-07,6.099811278303946e-08
1946,1.531321487391324e-07,6.403707697444361e-08
1947,1.4305045681339834e-07,9.179070548093193e-08
1948,1.108932536908469e-07,7.066727403248763e-08
1949,1.1878579897484087e-07,5.3993546078601184e-08
1950,1.414503145724666e-07,8.082874813908347e-08
1951,1.0661401717015906e-07,4.797630659414409e-08
1952,1.539541329975691e-07,5.9050900613755175e-08
1953,1.4975620388213429e-07,6.679772823758867e-08
1954,1.5245156248511194e-07,5.863521579385633e-08
1955,1.1075017170014689e-07,4.786659868472043e-08
1956,1.5349209547821374e-07,6.366433069615596e-08
