year,avions_VERB eu_VERB,avions_VERB tu_VERB
1800,8.740777275306755e-07,0.0
1801,6.905429472681135e-07,0.0
1802,5.706492629542481e-07,0.0
1803,3.5106106111015833e-07,0.0
1804,4.6470796633002465e-07,0.0
1805,4.065315124535118e-07,0.0
1806,5.129371061229904e-07,2.881669125542885e-09
1807,8.085352760645037e-07,0.0
1808,4.282879899619729e-07,0.0
1809,3.411136049180641e-07,0.0
1810,7.230991627693584e-07,0.0
1811,3.334412213007454e-07,0.0
1812,3.4673706750254496e-07,2.6672082320544632e-09
1813,6.642962944169994e-07,0.0
1814,6.041619826646638e-07,0.0
1815,4.531335662250058e-07,0.0
1816,7.416332437060191e-07,0.0
1817,5.417919624051137e-07,2.80237220096069e-08
1818,5.507583864527987e-07,0.0
1819,3.7988354506524047e-07,0.0
1820,6.372300163093314e-07,0.0
1821,5.404095304584189e-07,0.0
1822,4.962680009157339e-07,2.0051231786055723e-09
1823,6.670813377240847e-07,0.0
1824,6.374782515194966e-07,8.421112696055388e-10
1825,7.167630542426195e-07,0.0
1826,4.765119570038223e-07,1.7615968683770689e-09
1827,5.880619937670417e-07,4.608636583469661e-09
1828,4.586150623708818e-07,1.8344602503717056e-09
1829,5.315368980518542e-07,0.0
1830,5.604580906037882e-07,0.0
1831,5.659607609231898e-07,3.1182412207897414e-09
1832,6.169665880406683e-07,1.3529969367098715e-09
1833,9.151066251433804e-07,0.0
1834,7.056905246827228e-07,0.0
1835,7.033671636236249e-07,0.0
1836,4.334883669798728e-07,1.5457725766054864e-08
1837,5.879417699361511e-07,0.0
1838,4.797242922904843e-07,6.312161904276081e-10
1839,5.495299433277978e-07,0.0
1840,4.560696993394231e-07,6.369688665408546e-10
1841,6.542538812936982e-07,3.852329122366882e-09
1842,5.70202530525421e-07,6.708265054555795e-10
1843,4.979526124770928e-07,5.906911071384968e-10
1844,4.956170869263588e-07,1.6465684371524958e-09
1845,4.386059231364925e-07,0.0
1846,5.456395228975452e-07,3.5127007969038004e-09
1847,4.713677412837569e-07,5.393223645455691e-10
1848,5.736243338105851e-07,0.0
1849,7.223055717986426e-07,0.0
1850,7.114867912605405e-07,6.788996032014438e-10
1851,5.604562147709657e-07,6.449438760824933e-10
1852,4.0495592656952795e-07,0.0
1853,5.111973564453365e-07,5.971931837933653e-10
1854,5.793165769318875e-07,0.0
1855,4.70194635227017e-07,0.0
1856,4.56110370805618e-07,4.141751386299575e-09
1857,5.696721245840308e-07,1.4644527812635033e-09
1858,5.72560111322673e-07,0.0
1859,6.181898584145529e-07,2.036869339860914e-09
1860,6.124271862972819e-07,0.0
1861,5.960978342045564e-07,1.4147891747029462e-09
1862,5.792058459519467e-07,0.0
1863,5.598969892162131e-07,4.495158911765884e-09
1864,5.015285182707885e-07,6.233146443435089e-09
1865,5.507008040694927e-07,9.41368871743009e-10
1866,5.37163657554629e-07,4.865612912574591e-10
1867,5.216772365201905e-07,4.367530337390235e-09
1868,5.532659201890056e-07,1.975949626142892e-09
1869,5.938359208812471e-07,9.767038289254515e-10
1870,6.433602948163752e-07,2.2936195165357276e-09
1871,1.3403926004684763e-06,0.0
1872,1.041956579683756e-06,6.047339295989218e-10
1873,7.278981684066821e-07,0.0
1874,6.77520688441291e-07,5.974609140757536e-10
1875,7.352162469942414e-07,1.1443054281912168e-09
1876,6.052060825822991e-07,0.0
1877,5.87557508424652e-07,1.2369631985365004e-09
1878,5.084912686470489e-07,1.2078177347163432e-09
