year,petites_ADJ erreurs_NOUN,petites_ADJ terreurs_NOUN
1800,2.641098149069876e-07,3.144164484325529e-09
1801,1.6430159632818686e-07,0.0
1802,2.5735161557349784e-07,0.0
1803,7.216254971353919e-08,0.0
1804,1.7302956223375077e-07,2.4718509461507665e-09
1805,2.558589926593413e-07,0.0
1806,2.3341519295172475e-07,0.0
1807,3.1316506010625744e-07,0.0
1808,2.719288829666766e-07,0.0
1809,1.965356517530381e-07,1.3554183553310395e-08
1810,8.705271739017917e-07,0.0
1811,4.5879505705670454e-07,2.5070767684098882e-09
1812,2.1337666566978442e-07,0.0
1813,1.8117172828624462e-07,0.0
1814,6.702422297166777e-07,0.0
1815,9.170560133497929e-08,0.0
1816,3.5691098787538067e-07,0.0
1817,1.292204956371279e-07,9.341240669868967e-09
1818,7.987188865854478e-08,0.0
1819,9.108924103884419e-08,0.0
1820,1.685040302845664e-07,0.0
1821,2.0906355757688289e-07,0.0
1822,1.7143803177077643e-07,0.0
1823,5.237824041159911e-08,2.9648061783404955e-09
1824,9.094802067011187e-08,0.0
1825,1.1270967092968931e-07,0.0
1826,7.662946188702335e-08,0.0
1827,2.037017310385636e-07,9.217273055917019e-10
1828,1.3391559150477406e-07,9.172301251858528e-10
1829,1.646049838655017e-07,1.714635211591542e-09
1830,1.5029043254344288e-07,1.0436835840010872e-09
1831,1.855353559676587e-07,0.0
1832,1.8536057666551642e-07,0.0
1833,1.3784517705062171e-07,0.0
1834,9.894602470694736e-08,4.667265685043276e-09
1835,1.1571524538567246e-07,2.2689263801112247e-09
1836,5.1749776019960336e-08,0.0
1837,8.001574514082677e-08,0.0
1838,1.2687445405390463e-07,1.2624323808552163e-09
1839,9.718150550952487e-08,6.9914751765765e-10
1840,1.254828703167732e-07,0.0
1841,1.2391659254262777e-07,0.0
1842,8.318248490013502e-08,0.0
1843,8.269675788596942e-08,5.31621990873532e-09
1844,8.726812694703767e-08,5.488561161115513e-09
1845,6.975285060661918e-08,4.464182357111213e-09
1846,1.4226438338482694e-07,1.1709002656346001e-09
1847,1.8013366798186325e-07,0.0
1848,9.49336182998195e-08,0.0
1849,1.2066357157891616e-07,1.6758829879393033e-09
1850,1.9688089025748923e-07,1.3577992064028876e-09
1851,7.094382681316347e-08,0.0
1852,1.1653876441641842e-07,3.906327261660181e-09
