year,quelques_DET eaux_NOUN,quelques_DET taux_NOUN
1800,7.074370231840987e-07,3.144164484325529e-09
1801,4.5242469548512076e-07,0.0
1802,2.215461734067503e-07,4.475680270843441e-09
1803,3.58862413563088e-07,0.0
1804,1.9527622896475805e-07,2.4718509461507665e-09
1805,2.4164460610265337e-07,5.685755422035754e-09
1806,1.671368039524168e-07,2.881669125542885e-09
1807,5.209927849136875e-07,0.0
1808,3.8296650961555656e-07,2.2660739951163578e-09
1809,2.6882463544097845e-07,0.0
1810,1.8955026881428694e-07,0.0
1811,1.6546706893549867e-07,0.0
1812,2.827240734859515e-07,0.0
1813,2.5594101771275746e-07,0.0
1814,1.2272040805783035e-07,0.0
1815,1.3755840200246894e-07,0.0
1816,2.827476599520651e-07,0.0
1817,3.0826092256575066e-07,0.0
1818,1.4663048819585356e-07,1.1921177378582115e-09
1819,2.411794675083456e-07,1.035105001712111e-09
1820,1.6494408328071586e-07,0.0
1821,2.2188348380858258e-07,9.86148829262845e-10
1822,9.223566621585633e-08,1.0025615893027862e-09
1823,1.1661570775700625e-07,0.0
1824,1.7515914407795208e-07,0.0
1825,1.0654586324321258e-07,1.0566531649658373e-08
1826,1.2771577084791375e-07,0.0
1827,2.3135354698666788e-07,9.217273055917019e-10
1828,1.797770985412228e-07,9.172301251858528e-10
1829,1.6803425140210493e-07,0.0
1830,1.5863990387998683e-07,0.0
1831,1.8709446880649239e-07,0.0
1832,2.597754102939831e-07,0.0
1833,2.0618858442844612e-07,0.0
1834,1.54953209374753e-07,9.334530925997342e-10
1835,1.4218605315363675e-07,0.0
1836,1.5726554947192994e-07,6.720750067579218e-10
1837,1.315041417981888e-07,2.0873671680021744e-09
1838,8.39517539930057e-08,1.8936485712828244e-09
1839,1.2514740621583087e-07,0.0
1840,1.1338045879938363e-07,0.0
1841,1.585875448739671e-07,1.926164561183441e-09
1842,6.708265187782558e-08,6.708265054555795e-10
1843,9.982679527453797e-08,5.906911071384968e-10
1844,1.158086453401097e-07,0.0
1845,8.705155485344562e-08,0.0
1846,1.042101231973902e-07,5.854501328173001e-10
1847,1.429204301572895e-07,1.0786447290911383e-09
1848,1.5044565060406967e-07,0.0
1849,1.080944542763973e-07,0.0
1850,1.7108270089494226e-07,6.788996032014438e-10
1851,1.0706068653831835e-07,0.0
1852,8.593920131083621e-08,0.0
1853,1.3616004856942254e-07,0.0
1854,1.3560684219982022e-07,5.195664454227256e-10
1855,9.287139945968192e-08,5.306937111981824e-10
1856,1.0561466279312981e-07,0.0
1857,1.2740739041561255e-07,0.0
1858,2.1091743818146824e-07,4.893676019968041e-10
1859,1.3341493776408697e-07,2.036869339860914e-09
1860,1.1122556919929139e-07,4.577183909670879e-10
1861,1.4289369998365942e-07,1.4147891747029462e-09
1862,1.897554264829182e-07,4.517986262886353e-10
1863,8.940371343246767e-08,4.994620828036034e-10
1864,1.3377291452343343e-07,4.794727948009836e-10
1865,7.578019678433634e-08,4.706844358715045e-10
1866,9.244664234131506e-08,0.0
1867,7.76449837758264e-08,0.0
1868,1.1411109124281893e-07,9.87974813071446e-10
1869,1.0353060631018707e-07,9.767038289254515e-10
1870,1.272958884968034e-07,5.734048791339319e-10
1871,7.647247701747517e-08,0.0
1872,7.377753852289004e-08,6.047339295989218e-10
1873,1.1493128937445363e-07,0.0
1874,1.0754296697612631e-07,0.0
1875,9.040012827199462e-08,0.0
1876,7.738899010512057e-08,6.04601479992084e-10
1877,6.555904719096617e-08,0.0
1878,6.280652220524985e-08,1.8117265465633636e-09
1879,6.598071577990083e-08,0.0
1880,7.380522948352564e-08,6.417846254436199e-10
1881,6.554156950500101e-08,6.972507571312292e-10
1882,5.790185153564664e-08,0.0
1883,8.341527646393843e-08,6.319338941018771e-10
1884,6.007544151032107e-08,0.0
1885,7.541393554078013e-08,0.0
1886,6.517998230037847e-08,0.0
1887,8.226445036285668e-08,6.528924623161458e-10
1888,7.989174743983085e-08,2.53624587998047e-09
1889,6.515742168033967e-08,0.0
1890,7.340912944187039e-08,3.2771931834929546e-09
1891,9.816298707221449e-08,1.9122659011827636e-09
1892,7.647584965297938e-08,1.2537024751679837e-09
1893,7.698020798585503e-08,3.079208221734575e-09
1894,1.0334524347399565e-07,3.780923574225881e-09
