year,es_VERB en_ADP,es_VERB tant_ADV
1800,2.2009151834367913e-08,0.0
1801,2.3811825400343878e-08,1.1905912700171939e-08
1802,5.147032311469957e-08,2.2378401354217203e-09
1803,2.145373123596528e-08,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,2.5935023018064385e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.3991110370834576e-08,2.2660739951163578e-09
1809,2.25903047379461e-08,0.0
1810,1.1700633351097167e-08,4.680253518074551e-09
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,2.400487453257938e-08,5.3344164641089264e-09
1813,2.5881675469463516e-08,0.0
1814,3.4613449884091096e-08,9.440030979135372e-09
1815,1.6183340889597275e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,3.42512151974006e-08,4.670620334934483e-09
1818,1.9073883805731384e-08,1.9073883805731384e-08
1819,2.3807414706311647e-08,1.6561680027393777e-08
1820,1.0679833017945839e-08,4.746592452420373e-09
1821,6.7058117281249e-08,1.97229765852569e-09
1822,4.912551787583652e-08,5.012807946513931e-09
1823,5.5343047478118024e-08,4.941343334508019e-09
1824,2.863178316658832e-08,4.210556348027694e-09
1825,1.7610886970942374e-08,0.0
1826,1.2331177856594877e-08,4.403992281964975e-09
1827,1.474763688946723e-08,9.217273055917019e-10
1828,1.6510142586412258e-08,9.172301251858528e-10
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,2.400472176589119e-08,2.0873671680021744e-09
1831,3.4300654760954785e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,2.7800709290204395e-08,5.791814139399776e-09
1834,2.0535967593104942e-08,0.0
1835,4.689114518896531e-08,3.025235173481633e-09
1836,6.653542783396915e-08,6.72075017860152e-09
1837,2.365682938432201e-08,1.8090515752078318e-08
1838,4.292270006089893e-08,5.049729523420865e-09
1839,2.516931019158619e-08,0.0
1840,3.567025785855549e-08,1.9109065441114126e-09
1841,4.687000298986277e-08,2.5682194149112547e-09
1842,2.750388716776797e-08,1.2074877098200432e-08
1843,3.18973185642335e-08,1.7720733769266417e-09
1844,3.732221642849254e-08,1.6465684371524958e-09
1845,1.7298706467272496e-08,5.580227946389016e-10
1846,4.0981507964943376e-08,1.7563503984519002e-09
1847,1.88762818709165e-08,3.235934187273415e-09
1848,2.252662056889676e-08,4.02261068899179e-09
1849,1.0893239199560867e-08,0.0
1850,1.9009188889640427e-08,2.0366988096043315e-09
