year,seras_VERB au_ADP,seras_VERB tôt_ADV
1800,0.0,0.0
1801,5.2386017301842e-08,1.4287095950749062e-08
1802,2.9091921760482364e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,9.036122072814123e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,4.262030373070047e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416004054903e-08,0.0
1814,9.440030979135372e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,1.71256075987003e-08,3.113746815941454e-09
1818,1.5497530370112145e-08,1.1921177378582115e-09
1819,8.280840013696888e-09,0.0
1820,3.20394981656591e-08,0.0
1821,1.4792232327920374e-08,1.97229765852569e-09
1822,3.208197085768916e-08,0.0
1823,3.360113609574e-08,9.882686891060644e-10
1824,2.189489300974401e-08,4.210556348027694e-09
1825,7.044354433105582e-09,0.0
1826,1.2331177856594877e-08,0.0
1827,7.373818444733615e-09,9.217273055917019e-10
1828,1.4675682002973645e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.091384405071949e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,2.333632664885954e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,1.9490174807401672e-08,0.0
1837,3.339787468803479e-08,1.3915781860163179e-09
1838,1.0730675015224733e-08,1.2624323808552163e-09
1839,1.7478688718597368e-08,0.0
1840,4.522479102320176e-08,1.9109065441114126e-09
1841,2.0545755319290038e-08,0.0
1842,2.3478927246856074e-08,0.0
1843,1.6539351221922516e-08,5.906911071384968e-10
1844,7.683985892015244e-09,0.0
1845,2.287893430263921e-08,0.0
1846,2.4003455223464698e-08,0.0
1847,4.0449176452739266e-08,0.0
1848,6.43617736884039e-09,0.0
1849,7.54147322368226e-09,0.0
1850,8.82569484161877e-09,0.0
1851,1.6123596680017727e-08,0.0
1852,3.1250618093281446e-08,6.510545436100301e-10
1853,1.7318601663873778e-08,0.0
1854,2.1302223984775992e-08,1.558699391779328e-09
1855,3.1841622671890946e-08,1.0613874223963649e-09
1856,3.31340110903966e-08,0.0
1857,2.245494101771328e-08,0.0
1858,2.9851424443450014e-08,0.0
1859,1.5276519604867644e-08,0.0
1860,2.70053845952134e-08,0.0
1861,2.4051415081771665e-08,0.0
1862,2.3493528900075944e-08,5.421583626485926e-09
1863,2.1476870060155306e-08,0.0
1864,1.4863656971897399e-08,0.0
1865,1.694463946932956e-08,0.0
1866,3.843834051053818e-08,0.0
1867,2.523461972714358e-08,0.0
1868,1.333765986544222e-08,0.0
1869,2.8324411260882698e-08,4.883519144627257e-10
1870,1.7202147262196377e-08,0.0
1871,2.0180236148803488e-08,0.0
1872,1.4513614310374123e-08,0.0
