year,des_DET erreurs_NOUN,des_DET terreurs_NOUN
1800,6.036795760167024e-06,5.502287763192726e-07
1801,5.390997387166863e-06,5.667214395543851e-07
1802,6.08021184689278e-06,4.5428154749060923e-07
1803,4.879748786379423e-06,5.460949843438812e-07
1804,7.717118421624036e-06,4.647079858699499e-07
1805,6.0468009195346895e-06,3.8663137047478813e-07
1806,5.457881478321269e-06,2.795219131712656e-07
1807,4.651924815135544e-06,3.4163462192537963e-07
1808,5.719570630446924e-06,2.741949458595627e-07
1809,4.9766440994858385e-06,4.947276579514437e-07
1810,7.135046303119452e-06,3.9314128130740755e-07
1811,5.515568901159895e-06,2.7327136464805335e-07
1812,5.129041213081109e-06,2.533847727193006e-07
1813,6.453164047570681e-06,5.23384969142171e-07
1814,6.110846783258239e-06,6.104553369468135e-07
1815,6.435575386376513e-06,3.6951963222620066e-07
1816,6.695557665636898e-06,6.072122040734484e-07
1817,6.981020334251298e-06,4.1724207378024403e-07
1818,6.023770907859216e-06,5.924825359215902e-07
1819,6.36589568614454e-06,5.134120897309913e-07
1820,6.095811301065623e-06,4.627927623346295e-07
1821,6.41982870774882e-06,6.291629777166463e-07
1822,5.549178226260665e-06,4.631834684687419e-07
1823,5.1133023646343645e-06,3.636828687092475e-07
1824,5.019825337626571e-06,4.109503111138224e-07
1825,5.038474668594972e-06,4.508386828305788e-07
1826,5.044332844761357e-06,3.752201211959516e-07
1827,5.689822579313386e-06,3.908123851203982e-07
1828,5.338279351008168e-06,4.888836429017829e-07
1829,5.890629438454198e-06,4.7066737868250996e-07
1830,5.357227955471444e-06,3.7259502816411327e-07
1831,5.262032097164138e-06,4.1316695842397166e-07
1832,4.464889833855068e-06,4.776079123303134e-07
1833,4.843114922437053e-06,4.436529845719406e-07
1834,4.515112472347482e-06,4.256546004555162e-07
1835,4.461465387350927e-06,4.522726655409315e-07
1836,4.67159314609944e-06,3.7568992605763185e-07
1837,4.536545070266129e-06,3.812924127544193e-07
1838,4.2102118342768335e-06,4.936110338249478e-07
1839,4.432595339665113e-06,3.572643909599549e-07
1840,4.928228015899094e-06,3.8855101536228176e-07
1841,5.46645491539266e-06,4.0898894404506336e-07
1842,5.3209958679190095e-06,4.1725407573522943e-07
1843,5.689536884290192e-06,3.8099577626127257e-07
1844,5.081859086430995e-06,3.682824587514233e-07
1845,4.972541347569859e-06,4.095887327082437e-07
1846,5.595732424978905e-06,2.9799412248898705e-07
1847,6.1175334025165284e-06,3.656605596091822e-07
1848,5.702453101719129e-06,3.6927567670375083e-07
1849,5.013403963971541e-06,3.2344541978091e-07
1850,4.825618255210884e-06,2.8445892930051286e-07
1851,5.589728800714511e-06,3.057033843845147e-07
1852,5.518338461740768e-06,3.59382105630246e-07
1853,4.965661247524622e-06,3.2128992888402763e-07
1854,4.775335419537896e-06,3.0654421578901747e-07
1855,4.693455352366982e-06,3.2796871352047674e-07
1856,4.824104834710852e-06,3.22021177279197e-07
1857,4.839527939282107e-06,3.114402677972805e-07
