year,maintes_DET erreurs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,8.344824387052086e-09
1819,8.280840013696888e-09
1820,0.0
1821,0.0
1822,4.010246357211145e-09
1823,0.0
1824,1.6842225392110777e-09
1825,1.4088708866211164e-08
1826,4.403992281964975e-09
1827,0.0
1828,9.172301251858528e-10
1829,1.714635211591542e-09
1830,0.0
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,0.0
1834,1.213489042584115e-08
1835,0.0
1836,8.064899859050456e-09
1837,4.174734336004349e-09
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,6.369688665408546e-10
1841,5.778493683550323e-09
1842,5.366612043644636e-09
1843,1.1813822142769936e-09
1844,1.097712254427563e-09
1845,4.464182357111213e-09
1846,1.1709002656346001e-09
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,6.1100964288129944e-09
1851,0.0
1852,9.114764054629632e-09
1853,1.7915795513800958e-09
1854,3.63696517347023e-09
1855,0.0
1856,5.177189232874468e-10
1857,2.4407544874094356e-09
1858,4.893676130990343e-09
1859,3.055304009791371e-09
1860,9.154367819341758e-10
1861,1.4147891747029462e-09
1862,1.1294965851504912e-08
1863,2.4973103585068657e-09
1864,5.274200631788517e-09
1865,4.23615986733239e-09
1866,3.8924903300596725e-09
1867,2.426405742994575e-09
1868,9.87974813071446e-10
1869,1.12320943657096e-08
1870,5.160643912205387e-09
1871,0.0
1872,0.0
1873,1.7958012854535355e-09
1874,5.974609251779839e-09
1875,2.8607636259891933e-09
1876,1.209202959984168e-09
1877,3.710889595609501e-09
1878,9.058632954861423e-09
1879,6.10932526790009e-10
1880,5.776061406947974e-09
1881,4.183504653809678e-09
1882,5.989846840748214e-09
1883,6.319338829996468e-09
1884,1.5183903911974994e-08
1885,5.156508553483263e-09
1886,3.872078213618124e-09
1887,1.9586774424595887e-09
1888,7.60873763994141e-09
1889,5.6386229019267375e-09
1890,6.554386366985909e-09
1891,1.3385862196457765e-08
1892,6.8953633913793055e-09
1893,2.463366621796581e-09
1894,5.041231432301174e-09
1895,1.8055843487019274e-09
1896,1.592197840238896e-08
1897,2.9133566670225264e-09
1898,6.224190496340043e-09
1899,4.4220627160029835e-09
1900,9.34389543516545e-09
1901,1.2854099118442264e-08
1902,7.856454153909453e-09
1903,3.2401321625741275e-09
1904,3.7622376325430196e-09
1905,1.5482277682110634e-09
1906,9.773950537805831e-09
1907,6.1714118260169926e-09
1908,7.367083831866239e-09
1909,1.3752458727367411e-08
1910,5.878565634276356e-09
1911,1.8089272302290738e-08
1912,2.2400511667797218e-08
1913,4.772690687104841e-09
1914,1.339348720819089e-08
1915,4.712304768617059e-09
1916,1.0987461607214755e-08
