year,aux_ADP tissus_NOUN
1800,2.6096566330124915e-07
1801,1.7620750725200196e-07
1802,7.161088433349505e-08
1803,9.166594594489652e-08
1804,4.449331569844617e-08
1805,5.970043304159844e-08
1806,1.7866348400730203e-07
1807,8.54086508184082e-08
1808,2.4926814390369145e-08
1809,8.132509776714869e-08
1810,5.8503168531842675e-08
1811,2.0558029234507558e-07
1812,3.280666192040371e-07
1813,2.243078540686838e-07
1814,1.9824065589091333e-07
1815,2.265667831125029e-07
1816,1.9467873357825738e-07
1817,1.6502858102285245e-07
1818,2.5392108682353864e-07
1819,2.6912729822470283e-07
1820,2.444495237341471e-07
1821,4.0037642179413524e-07
1822,3.2081970857689157e-07
1823,3.261286565248156e-07
1824,3.343181731452205e-07
1825,2.8001309715364187e-07
1826,3.1268345423995925e-07
1827,3.95421011489816e-07
1828,3.9074004121175676e-07
1829,3.9865267353889067e-07
1830,3.965997734667326e-07
1831,5.675199190591229e-07
1832,6.237315801627119e-07
1833,4.96937673233333e-07
1834,4.163200912898901e-07
1835,4.1521352045492677e-07
1836,4.301280114304973e-07
1837,6.825691230005759e-07
1838,5.308528443492833e-07
1839,6.795713716201135e-07
1840,5.312320467965037e-07
1841,6.131623990768276e-07
1842,4.829950626117352e-07
1843,5.517055114978575e-07
1844,5.900203632336343e-07
1845,7.008766260696575e-07
1846,8.284119417112379e-07
1847,4.557273882710433e-07
1848,6.934981229278492e-07
1849,5.890728971280623e-07
1850,5.621288892143639e-07
1851,6.900899620632117e-07
1852,5.996212166792247e-07
1853,8.49208731779072e-07
1854,5.637295998894842e-07
1855,6.665512728432077e-07
1856,5.777743012913561e-07
1857,5.232977855484933e-07
1858,5.764750312664546e-07
1859,7.419296821353782e-07
1860,7.021400278972578e-07
1861,7.922819236227951e-07
1862,5.633928594761528e-07
1863,5.364222488424275e-07
1864,5.763262720392959e-07
1865,6.947302040316572e-07
1866,8.130439255182864e-07
1867,9.438718393539602e-07
1868,8.368146495740802e-07
1869,7.764795668663282e-07
1870,8.365977350877074e-07
1871,8.00836744474509e-07
1872,6.875824851704238e-07
1873,1.0810723551912815e-06
1874,8.94996446731966e-07
1875,7.8957071991681e-07
1876,9.069022439689434e-07
1877,9.116419050769764e-07
1878,6.800013920837955e-07
1879,7.459486255356751e-07
1880,7.624401519024104e-07
1881,9.029397460835753e-07
1882,8.432372737843252e-07
1883,7.798064416419948e-07
1884,6.436654302888201e-07
1885,7.689643553021597e-07
1886,6.840671744612337e-07
1887,7.671486628169077e-07
1888,8.21109608750703e-07
1889,5.87669831020321e-07
1890,7.13117231043725e-07
1891,8.248240987995814e-07
1892,8.180408599400835e-07
1893,6.934376983736001e-07
1894,5.89193916766817e-07
1895,6.463992008320929e-07
1896,5.749603246840707e-07
1897,7.761182700960489e-07
1898,6.993726628934382e-07
1899,7.54514474010648e-07
1900,7.1792265998738e-07
1901,7.405079145428317e-07
1902,7.478362249457859e-07
1903,6.71787404371571e-07
1904,8.078061455307761e-07
1905,7.157972845561744e-07
1906,8.29242537747632e-07
1907,6.947981319171959e-07
1908,5.780705123470398e-07
1909,6.936740533092234e-07
1910,6.209903062881494e-07
1911,5.900295150240709e-07
1912,5.756410246249288e-07
1913,7.30751992250589e-07
1914,7.808403097442351e-07
1915,6.962430347812187e-07
1916,7.053950525914843e-07
1917,7.424269483635726e-07
1918,8.178299708561099e-07
1919,5.883815106244583e-07
1920,5.171834231987305e-07
1921,6.664017746516038e-07
1922,5.68101029330137e-07
1923,4.479930169054569e-07
1924,6.213762731022143e-07
1925,6.25796303665993e-07
1926,6.565075523212727e-07
1927,5.017151352149085e-07
1928,6.912754884069727e-07
1929,5.302833301357168e-07
1930,5.598420784735936e-07
1931,6.272946393437451e-07
1932,6.30173360605113e-07
1933,6.217098871275084e-07
1934,6.853463787592773e-07
1935,5.720839908462949e-07
1936,6.1351056501735e-07
1937,5.212722840042261e-07
1938,5.302772478898987e-07
1939,4.939978452966898e-07
1940,4.843345209337713e-07
1941,4.3091938550787745e-07
1942,5.249186187938903e-07
1943,3.977432356805366e-07
1944,4.2735376837299555e-07
1945,3.790597133956908e-07
1946,4.5522011760112946e-07
1947,3.814678848357289e-07
1948,5.251121706351114e-07
1949,4.6728959546271653e-07
1950,4.03080207433959e-07
1951,4.840276233153418e-07
1952,4.766251322507742e-07
1953,4.589650473008078e-07
1954,4.0946926560536667e-07
1955,4.4112357500125654e-07
1956,5.058262217971787e-07
1957,4.1613026269260445e-07
1958,4.2271165057172766e-07
1959,4.77446064905962e-07
1960,3.972558317855146e-07
1961,4.189739968296635e-07
