year,ses_DET huiles_NOUN,ses_DET tuiles_NOUN
1800,9.118077315406481e-08,6.288328968651058e-09
1801,1.0953439755212457e-07,9.524730337773235e-09
1802,1.2531904758361634e-07,1.3427040812530322e-08
1803,1.9113324611907956e-07,9.751696339321825e-09
1804,1.3347995775347954e-07,1.2359254952798437e-08
1805,1.648869130121966e-07,1.1371510844071508e-08
1806,4.034336598124355e-08,8.645007376628655e-09
1807,1.1387820109121094e-07,0.0
1808,1.1330369886763947e-07,2.2660739951163578e-09
1809,7.228897658251299e-08,2.25903047379461e-08
1810,6.786367379163494e-08,7.020380277111826e-09
1811,6.016983888912364e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,5.176335093892703e-08,1.4378708002027452e-08
1814,1.8880061958270744e-08,0.0
1815,6.203614333344376e-08,3.236668266737297e-08
1816,7.416332259424507e-08,1.1588019432906549e-08
1817,9.808302658953494e-08,1.556873407970727e-09
1818,1.2636447799252437e-07,2.7418708414828075e-08
1819,6.314140732488482e-08,4.140420006848444e-09
1820,7.001224044955734e-08,1.4239777357261119e-08
1821,5.818278170366398e-08,2.5639869671856275e-08
1822,5.714601059025881e-08,5.012807946513931e-09
1823,2.3718449426723964e-08,1.1859224713361982e-08
1824,2.6947560627377243e-08,1.0105335235266466e-08
1825,5.987701001686219e-08,6.163809906922779e-09
1826,4.6682315679724695e-08,7.927186018719112e-09
1827,3.410390903013649e-08,4.608636583469661e-09
1828,5.870272801189458e-08,6.420610709767516e-09
1829,3.8579290873030914e-08,1.714635211591542e-09
1830,2.6092090266160994e-08,1.0436835840010872e-09
1831,4.053713453799901e-08,2.0268567268999504e-08
1832,2.3000948701223933e-08,2.3000948701223933e-08
1833,4.865124125785769e-08,1.7375443306377747e-08
1834,5.880754549991707e-08,1.5868701908061666e-08
1835,5.3697924329298985e-08,6.806779140333674e-09
1836,4.2340726480460944e-08,1.5457725766054864e-08
1837,5.6358918310017714e-08,1.3219993100221927e-08
1838,3.9135404250600914e-08,1.3255539776935166e-08
1839,5.453350482298447e-08,9.088917396482543e-09
1840,3.75811644026669e-08,3.1848443882154243e-09
1841,6.548959641250462e-08,5.778493683550323e-09
1842,5.2324467869624414e-08,2.2137275124123335e-08
1843,7.088293152435199e-08,1.8311423932715343e-08
1844,6.75093048130293e-08,4.390849017710252e-09
1845,5.747634901354104e-08,9.48638767539478e-09
1846,4.7421460758201306e-08,7.025401593807601e-09
1847,5.2853592613644196e-08,2.1572894581822766e-09
1848,7.240699773092274e-08,4.82713291560799e-09
1849,6.284561493430374e-08,3.3517659758786067e-09
1850,4.61651739058766e-08,7.467895635215882e-09
1851,5.159551008659946e-08,1.870337307252612e-08
1852,3.84122191832148e-08,2.7344290387532055e-08
1853,3.463720310570295e-08,1.134667093616315e-08
1854,4.052618135519381e-08,6.33871053423718e-08
1855,6.315255518529739e-08,4.4578271740647324e-08
1856,7.66223990922299e-08,1.863788057221427e-08
1857,3.905207368593011e-08,1.2203773103180993e-08
1858,4.061751018857862e-08,4.404308417971237e-09
1859,4.83756465996521e-08,1.9859476285688515e-08
1860,5.2179897291892985e-08,8.696649622663699e-09
1861,4.715963797252698e-08,1.744906619194353e-08
1862,4.5179863433775225e-08,2.3041730301542884e-08
1863,5.144459463979345e-08,2.1976331865403154e-08
1864,4.411149701066819e-08,1.0548401596643942e-08
1865,3.7654753981541944e-08,1.2708479601997169e-08
1866,3.308616669528419e-08,1.702964524952222e-08
1867,4.949867538073249e-08,1.6984840200962026e-08
1868,8.743577306624672e-08,1.5807597342210045e-08
1869,3.5161338729494673e-08,1.562726104076262e-08
1870,4.1285152185821516e-08,2.5803219561026935e-08
1871,2.7615060460561835e-08,3.504988654867702e-08
1872,4.4750311234409423e-08,3.144616467221084e-08
1873,5.3874039451784483e-08,6.584604750337064e-09
1874,2.2106053876314036e-08,1.9716210886144836e-08
1875,2.345826111138649e-08,9.7265964171811e-09
1876,7.315677663655151e-08,2.2370254981751714e-08
1877,5.44263798474276e-08,1.2369632429454214e-08
1878,5.495570576385944e-08,1.4493812372506909e-08
1879,4.7652736867576095e-08,2.1382637882538802e-08
1880,5.840239936105718e-08,1.2193908105473383e-08
1881,4.044054335849978e-08,5.5780060570498335e-09
1882,2.1297232200012672e-08,2.1962771157291172e-08
1883,3.2860562271253e-08,1.4534479397809719e-08
1884,2.6406787867472303e-08,2.5086449362277108e-08
1885,2.707166935067562e-08,4.511945039809007e-09
1886,3.4848706531587226e-08,1.2261581083805595e-08
1887,3.264462478114183e-08,1.3710741875172516e-08
1888,3.9311810695608074e-08,1.0779045211961602e-08
1889,4.51089832154139e-08,1.7542383545787743e-08
1890,5.0468776102707835e-08,1.9007721618891082e-08
1891,4.0157586589373295e-08,1.0198752398160593e-08
1892,3.0088858737897795e-08,2.005923960268774e-08
1893,4.865148994781521e-08,2.3401982574000613e-08
1894,3.276800542018066e-08,1.9534772022211655e-08
1895,3.1296796265678495e-08,1.0833506536300774e-08
1896,4.5407121396223715e-08,9.435246361988447e-09
1897,2.6802882469034728e-08,1.4566784223291052e-08
1898,2.998928050335081e-08,2.4330926717830437e-08
1899,4.753717419703207e-08,2.984892333302014e-08
1900,3.529916314803927e-08,1.9206897405865675e-08
1901,3.073806464914952e-08,1.620734302321125e-08
1902,5.1557982105876476e-08,1.718599307309887e-08
1903,3.9961631337348535e-08,1.0800440541913758e-08
1904,2.418581424024069e-08,2.6335662539622717e-08
1905,1.703050467316558e-08,2.8900251081154238e-08
1906,5.5557194122979325e-08,3.446603713541663e-08
1907,2.6228502036929058e-08,2.2114226339020604e-08
1908,2.161011281032188e-08,2.89771957540097e-08
1909,2.8055015810490858e-08,1.8153246017504898e-08
1910,3.954671612405036e-08,2.7255168788542505e-08
1911,4.469114300853505e-08,3.085816913106498e-08
1912,3.2298409891051705e-08,1.1981668990301841e-08
1913,2.6514948070488487e-08,3.5530030695341e-08
1914,2.6117300322425763e-08,2.6117300322425763e-08
1915,1.6493066468115103e-08,2.709575319670421e-08
1916,2.5271163162088328e-08,1.648119329900055e-08
1917,5.154219540060012e-08,3.9479127189601115e-08
1918,4.1350952884045e-08,1.722956355365568e-08
1919,4.235610107095056e-08,1.8415697411455767e-08
1920,5.1491177543994127e-08,2.6502811500961343e-08
1921,2.9533714140939082e-08,3.407736204330547e-08
1922,5.090775595517627e-08,4.500540784491136e-08
1923,6.263409346729532e-08,3.8217412789975924e-08
1924,3.738571041633776e-08,3.867487263775615e-08
1925,2.859526304632709e-08,1.759708534443405e-08
