year,ses_DET erreurs_NOUN,ses_DET terreurs_NOUN
1800,2.669395577470368e-06,2.892631307815918e-07
1801,2.655018690234101e-06,3.3336554849938693e-07
1802,2.629462272807359e-06,2.528759353026544e-07
1803,2.671964651312919e-06,2.2038832980797451e-07
1804,3.519915651395422e-06,3.238124726134828e-07
1805,3.331852759913545e-06,3.240880515065214e-07
1806,3.2735760484570164e-06,3.2274694827805206e-07
1807,1.8789904068228225e-06,2.590729284435156e-07
1808,2.905106796902146e-06,2.1980918063491117e-07
1809,2.575294743678569e-06,3.230413723187553e-07
1810,3.2855380283081104e-06,3.6271964987122374e-07
1811,2.7276994671865396e-06,1.9304490805893693e-07
1812,2.4831707818862014e-06,5.547792909510463e-07
1813,2.5191497314835942e-06,3.6234345657248923e-07
1814,3.1435304421734145e-06,3.776012493794667e-07
1815,3.522574012038149e-06,3.9109741578613466e-07
1816,2.9873913298672505e-06,4.519327667651396e-07
1817,3.599491385841702e-06,3.316140260167799e-07
1818,3.6121166999691923e-06,3.659801439681587e-07
1819,3.620797272674281e-06,4.0783136512345664e-07
1820,3.907632166288977e-06,4.865257210440177e-07
1821,3.5984570132541194e-06,4.7630988841973476e-07
1822,3.332514623366478e-06,3.899964582387838e-07
1823,3.1792604104907696e-06,3.636828644904e-07
1824,2.763809149541885e-06,3.8652908784797546e-07
1825,3.214867312806291e-06,4.98388072145417e-07
1826,2.730475095802376e-06,4.791543375404217e-07
1827,2.928327553775034e-06,4.3782045988649543e-07
1828,3.119499709214324e-06,3.769815926091269e-07
1829,2.7537040807601443e-06,4.1065512768057033e-07
1830,2.7981156804912644e-06,6.178606923867846e-07
1831,2.7767937353928573e-06,4.4434936086190646e-07
1832,2.0876742823361383e-06,6.115545928553345e-07
1833,2.3804357205392535e-06,5.235800024649961e-07
1834,2.5044547129482453e-06,4.2472116668079707e-07
1835,2.590357574661084e-06,4.5227265843550413e-07
1836,3.1553922354987662e-06,4.334883811907275e-07
1837,2.0052642213386207e-06,3.94512424506388e-07
1838,2.291314878277717e-06,4.0460957517751694e-07
1839,2.16176414369329e-06,4.467552781051154e-07
1840,2.3950028946728708e-06,4.216734019735213e-07
1841,3.0805792761157136e-06,4.7512057976817346e-07
1842,2.761121990602078e-06,4.803117725771244e-07
1843,2.920376722670426e-06,4.802318809282724e-07
