year,certaines_DET erreurs_NOUN,certaines_DET terreurs_NOUN
1800,1.2891073897236538e-07,2.2009151834367913e-08
1801,2.6193008650921e-08,1.4287095950749062e-08
1802,6.265952379180817e-08,2.2378401354217203e-09
1803,4.4857802805609026e-08,2.5354410126965377e-08
1804,1.087614407424553e-07,0.0
1805,1.5920115892242848e-07,2.842877711017877e-09
1806,3.458002950651462e-08,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,6.798222074166915e-08,0.0
1809,8.132509776714869e-08,0.0
1810,7.020380055067221e-08,4.680253518074551e-09
1811,6.016983888912364e-08,2.5070767684098882e-09
1812,6.668020802180763e-08,2.6672082320544632e-09
1813,7.476928232108548e-08,2.8757416448144113e-09
1814,3.776012391654149e-08,3.1466771410748606e-09
1815,1.1058616244952191e-07,0.0
1816,6.489290882427667e-08,4.6352077731626196e-09
1817,6.227493865029743e-08,4.670620334934483e-09
1818,1.0133000927226021e-07,8.344824387052086e-09
1819,5.175524941947174e-08,1.1386155129855524e-08
1820,7.001224133773576e-08,2.0173018810965004e-08
1821,4.437669787193954e-08,1.3806083387635226e-08
1822,5.213320264374488e-08,9.023054303725075e-09
1823,3.261286707356703e-08,8.894418535021487e-09
1824,1.1200080152207192e-07,2.5263338088166165e-09
1825,6.956299780647157e-08,8.805443041381977e-10
1826,7.134467239211517e-08,2.642395191543301e-09
1827,2.2121454890111636e-08,1.1982455028203276e-08
1828,3.5771974715714805e-08,2.7516904310687096e-09
1829,3.686465693819585e-08,2.571952872898464e-09
1830,1.054120417620652e-07,8.349468672008697e-09
1831,5.3010101197514814e-08,0.0
1832,9.065079353831607e-08,2.4353944638733083e-08
1833,5.5601415582806624e-08,2.3167257001688313e-09
1834,5.694063887062839e-08,5.600718555598405e-09
1835,6.504255622985511e-08,2.2689263801112247e-09
1836,7.392824841190304e-08,5.376600054063374e-09
1837,4.5922080804672305e-08,4.87052354003481e-09
1838,7.32210807541378e-08,2.5248647617104325e-09
1839,8.459684774919651e-08,3.4957374772659477e-09
1840,7.070354540728019e-08,6.369688665408546e-10
1841,8.02568562718875e-08,1.926164472365599e-08
1842,8.720744659740376e-08,1.2074877098200432e-08
1843,9.569195924541418e-08,4.134837805480629e-09
1844,1.750850979753693e-07,6.037417232818143e-09
1845,1.0044410458931452e-07,1.0044410636567136e-08
1846,1.0830827479324512e-07,8.781752214304106e-09
1847,1.2080821587545643e-07,1.0786447290911383e-09
1848,1.399868584384123e-07,1.6090443422100975e-09
1849,1.759677117352254e-07,1.6758829879393033e-09
1850,1.1609182948291163e-07,1.3577992064028876e-09
1851,1.0383596404928142e-07,1.9348316282474798e-09
1852,1.2500247237312578e-07,1.3021090872200602e-09
1853,1.7856076794942055e-07,2.9859659189668264e-09
1854,1.371655463100474e-07,1.558699391779328e-09
1855,7.748128538764831e-08,5.306937111981824e-10
1856,1.3357148220816129e-07,8.801221973442352e-09
1857,1.2935999649243968e-07,4.881509085841174e-10
1858,1.1108644315527272e-07,2.4468380654951716e-09
1859,1.889196372673041e-07,4.073738679721828e-09
1860,1.5379337980903074e-07,3.204028820036342e-09
1861,1.3581976077148283e-07,4.715963619617014e-09
1862,1.5812951661975383e-07,9.035972525772706e-10
1863,1.603273318551146e-07,2.4973103585068657e-09
1864,1.5103393025128753e-07,4.794727948009836e-10
1865,1.619154434973069e-07,9.41368871743009e-10
1866,1.445087036699988e-07,4.865612912574591e-10
1867,2.18861794465397e-07,5.82337378318698e-09
1868,2.2278831846023195e-07,2.9639244392143382e-09
1869,2.485711236843713e-07,6.348574999037737e-09
1870,1.9782468863027702e-07,5.160643912205387e-09
1871,2.1773413694248234e-07,4.248470908407853e-09
1872,3.005527693389354e-07,6.047339295989218e-10
1873,2.5620100191359185e-07,3.591602570907071e-09
1874,2.2823007306271847e-07,5.974609140757536e-10
1875,2.2828893531112726e-07,9.154443425529735e-09
1876,1.8440345161963023e-07,6.04601479992084e-10
1877,2.727503929378372e-07,6.184816214727107e-09
1878,2.204267364191992e-07,1.2078177347163432e-09
1879,2.3154343375964004e-07,3.0546627449723474e-09
1880,2.3425138717669824e-07,7.701415505323439e-09
1881,2.5170751705161365e-07,2.7890030285249168e-09
1882,2.4957692934535203e-07,1.9966155395678697e-09
1883,2.521416275769184e-07,3.159669414998234e-09
1884,2.5614583343269715e-07,0.0
1885,2.655602004963953e-07,0.0
1886,2.723361842704719e-07,4.5174246565693466e-09
1887,2.4287599531547244e-07,4.570247291724172e-09
1888,2.174830839862807e-07,3.1703073499755874e-09
1889,2.524850168938997e-07,0.0
1890,2.726624686033574e-07,3.2771931834929546e-09
1891,2.91939270979924e-07,1.2748440081367107e-09
1892,2.870978677016467e-07,5.014809900671935e-09
1893,2.6234855177165173e-07,0.0
1894,2.1992372811752148e-07,2.520615716150587e-09
1895,2.5157807459486037e-07,0.0
1896,2.41778193910136e-07,5.89702897624278e-10
1897,3.1930390775869455e-07,2.9133566670225264e-09
1898,2.9423444125598053e-07,2.8291773368493978e-09
1899,2.526103219935294e-07,3.8693048765026106e-09
1900,2.9796646305868535e-07,3.633737311048435e-09
1901,3.096161309557033e-07,0.0
