year,aurez_VERB eu_VERB,aurez_VERB tu_VERB
1800,1.4148740490327327e-07,0.0
1801,2.524053570596152e-07,0.0
1802,6.937304419807333e-08,0.0
1803,9.361627917314763e-08,0.0
1804,1.0134588990240445e-07,0.0
1805,2.388017321663938e-07,0.0
1806,2.564685530614952e-07,2.881669125542885e-09
1807,1.0249038240317532e-07,0.0
1808,9.064295625194063e-08,0.0
1809,9.93973401364201e-08,0.0
1810,1.3338723192646285e-07,2.3401267590372754e-09
1811,6.016983888912364e-08,0.0
1812,1.893717893608482e-07,0.0
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,1.5733385794192145e-07,0.0
1815,1.0788894400093341e-07,2.697223555614414e-09
1816,8.57513455798653e-08,0.0
1817,1.3856173097792635e-07,0.0
1818,1.5259107044585107e-07,2.384235475716423e-09
1819,1.604412744882211e-07,0.0
1820,1.9105034709809843e-07,1.1866481131050932e-09
1821,1.4299158124231326e-07,0.0
1822,2.0151487944986002e-07,0.0
1823,1.363810753218786e-07,0.0
1824,7.494790565942822e-08,0.0
1825,7.57268097117958e-08,0.0
1826,7.48678701256722e-08,0.0
1827,1.1429418833586169e-07,9.217273055917019e-10
1828,1.1098484264948638e-07,9.172301251858528e-10
1829,1.0202079181453882e-07,0.0
1830,8.34946831673733e-08,0.0
1831,1.153749238369528e-07,1.5591206103948707e-09
1832,9.335678896604804e-08,0.0
1833,4.749287541017111e-08,0.0
1834,5.787409307345115e-08,0.0
1835,7.260564416355919e-08,0.0
1836,1.1895727425326186e-07,0.0
1837,1.4124518088465265e-07,0.0
1838,9.405120948713375e-08,0.0
1839,1.7408773089755414e-07,0.0
1840,1.0892167523479657e-07,0.0
1841,5.521671653241356e-08,6.420548537278137e-10
1842,8.519496930148307e-08,6.708265054555795e-10
1843,1.0396163219184018e-07,0.0
1844,8.562155784375136e-08,0.0
1845,9.374782905524626e-08,1.1160455892778032e-09
1846,1.0186832355429942e-07,1.1709002656346001e-09
1847,1.1595430748911895e-07,5.393223645455691e-10
1848,1.0861049304367043e-07,1.6090443422100975e-09
1849,8.882179969305071e-08,0.0
1850,1.0726613908218496e-07,0.0
1851,9.803147094089582e-08,0.0
1852,8.203286938623933e-08,0.0
1853,8.659301187208257e-08,1.1943863675867306e-09
1854,9.248282850649048e-08,3.117398783558656e-09
1855,1.2365163115646283e-07,5.306937111981824e-10
1856,8.490590630572115e-08,0.0
1857,6.345961622855611e-08,0.0
1858,1.3604419280000002e-07,0.0
1859,9.726051075631403e-08,0.0
1860,1.3456920555654506e-07,4.577183909670879e-10
1861,1.4760966848825774e-07,0.0
1862,1.5451513490916113e-07,4.517986262886353e-10
1863,1.2536497706605587e-07,4.994620828036034e-10
1864,1.0356612278883404e-07,0.0
1865,1.162590521630591e-07,4.706844358715045e-10
1866,9.293320601955202e-08,4.865612912574591e-10
1867,9.365925990323376e-08,0.0
1868,1.0818324369665788e-07,0.0
1869,1.0548401263577034e-07,0.0
1870,9.919904186972417e-08,0.0
1871,8.284518315804235e-08,0.0
1872,9.191955996357137e-08,0.0
1873,1.472557045190115e-07,5.986004469882289e-10
1874,7.946230340394322e-08,1.1949218281515073e-09
1875,1.3788880437459738e-07,1.716458086775674e-09
