year,serions_VERB au_ADP,serions_VERB tôt_ADV
1800,4.087413785214267e-08,0.0
1801,5.000483582762172e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,3.315576790896557e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,2.8469550272802735e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.574139479349924e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,3.236668177919455e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,2.98029441125891e-08,0.0
1819,4.7614829412623294e-08,0.0
1820,3.559944161679596e-08,0.0
1821,3.8459806006585495e-08,0.0
1822,5.81485721795616e-08,0.0
1823,2.8659792761231984e-08,0.0
1824,6.989523626543814e-08,0.0
1825,4.754939197937347e-08,0.0
1826,3.2589543508265706e-08,0.0
1827,3.133872894522938e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,1.971830521085849e-08,0.0
1830,4.383471008395645e-08,2.0873671680021744e-09
1831,4.053713453799901e-08,1.5591206103948707e-09
1832,1.488296597074168e-08,0.0
1833,3.70676112027013e-08,0.0
1834,3.827157613045529e-08,0.0
1835,4.310960122211327e-08,0.0
1836,3.8980349614803345e-08,0.0
1837,2.922314124020886e-08,0.0
1838,2.1461350030449466e-08,0.0
1839,1.4682098203877558e-08,0.0
1840,2.8663599493938818e-08,0.0
1841,3.0818632978935057e-08,6.420548537278137e-10
1842,2.5491406319133603e-08,0.0
1843,2.008349753168659e-08,0.0
1844,2.085653250105679e-08,0.0
1845,3.4039391749729475e-08,0.0
1846,2.985795788390533e-08,5.854501328173001e-10
1847,3.613459753637471e-08,3.235934187273415e-09
1848,2.494018680465615e-08,0.0
1849,5.781796375003978e-08,8.379414939696517e-10
1850,2.7834882843080777e-08,0.0
1851,2.4507867735223954e-08,0.0
1852,4.687592536356533e-08,0.0
1853,2.5679307569248522e-08,0.0
1854,4.000661490977109e-08,0.0
1855,1.4328730202350926e-08,0.0
1856,2.2779632402603056e-08,0.0
1857,3.514686497396724e-08,0.0
1858,4.697928801533635e-08,0.0
1859,4.3283474582267445e-08,0.0
1860,5.080674014834585e-08,0.0
1861,3.584132457490341e-08,9.431927461278633e-10
1862,3.5240294238292336e-08,0.0
1863,5.3442441583229083e-08,0.0
1864,2.7809422320501653e-08,0.0
1865,3.718406915709238e-08,0.0
1866,3.2113046444237625e-08,0.0
1867,2.232293283555009e-08,0.0
1868,2.1241458370013788e-08,4.93987406535723e-10
1869,3.564969119906891e-08,1.4650557433881772e-09
1870,3.669791226457164e-08,0.0
1871,2.442870794538976e-08,0.0
1872,3.507456725060365e-08,0.0
1873,4.42964314117944e-08,0.0
1874,2.4495896866483235e-08,7.766991494406739e-09
1875,2.689117728493784e-08,0.0
1876,2.3579458385825092e-08,0.0
1877,3.3398006138440905e-08,0.0
1878,2.3552445327368332e-08,0.0
1879,3.787781821529279e-08,1.221865053580018e-09
1880,1.7328185109022343e-08,1.2835692508872398e-09
1881,3.2073533162702006e-08,2.7890030285249168e-09
1882,2.7952617998039386e-08,0.0
1883,3.728409936343269e-08,0.0
1884,2.9047466654219534e-08,0.0
1885,2.2559724754955823e-08,0.0
