year,serez_VERB en_ADP,serez_VERB tant_ADV
1800,2.5467733166806283e-07,0.0
1801,3.3336556271024165e-07,0.0
1802,2.1259481286506343e-07,0.0
1803,3.0620324764640827e-07,1.950339223455444e-09
1804,4.770672603626736e-07,1.2359254952798437e-08
1805,3.411453235457884e-07,5.685755422035754e-09
1806,3.803803281243745e-07,0.0
1807,3.1031811431603273e-07,0.0
1808,3.376450194991776e-07,0.0
1809,2.0557178004310117e-07,0.0
1810,4.2590306748024886e-07,0.0
1811,2.5321475050077424e-07,2.5070767684098882e-09
1812,2.827240734859515e-07,0.0
1813,2.5594101771275746e-07,2.8757416448144113e-09
1814,3.3354777428939997e-07,0.0
1815,2.1577788800186681e-07,5.394447111228828e-09
1816,3.221469455638726e-07,0.0
1817,4.5305014850782754e-07,0.0
1818,2.2650236530807888e-07,1.1921177378582115e-09
1819,4.0265584289045364e-07,2.070210003424222e-09
1820,3.8328732898662565e-07,0.0
1821,3.757226920697576e-07,9.86148829262845e-10
1822,4.922577545585227e-07,1.0025615893027862e-09
1823,4.091432401764905e-07,9.882686891060644e-10
1824,2.896862838497327e-07,8.421112696055388e-10
1825,4.244223532623437e-07,2.0252519661312363e-08
1826,3.6465056041379285e-07,0.0
1827,3.41039111617647e-07,9.217273055917019e-10
1828,3.8798833656983334e-07,0.0
1829,2.872014022159419e-07,0.0
1830,2.692703731099755e-07,1.0436835840010872e-09
1831,3.3365179774591525e-07,0.0
1832,2.63834408542607e-07,0.0
1833,2.6758181093100575e-07,1.1583628500844156e-09
1834,2.7630210297502344e-07,0.0
1835,4.31095998010278e-07,4.5378527602224494e-09
1836,4.308000711716886e-07,1.2097349788575684e-08
1837,3.485903334876639e-07,6.957890930081589e-10
1838,3.869355111874029e-07,6.312161904276081e-10
1839,4.369672126358637e-07,1.3982950353153e-09
1840,3.8791404222138226e-07,0.0
1841,3.0947043683227093e-07,3.852329122366882e-09
1842,3.4614646438058116e-07,2.683306021822318e-09
1843,3.4732636322587496e-07,0.0
1844,3.595007740386791e-07,1.6465684371524958e-09
1845,3.197470732629881e-07,0.0
1846,3.00921357165862e-07,0.0
1847,2.006279231636654e-07,0.0
1848,2.0998028560370585e-07,0.0
1849,1.952403749783116e-07,0.0
1850,2.912479430960957e-07,0.0
1851,2.321798007187681e-07,0.0
1852,2.552133935296297e-07,6.510545436100301e-10
1853,2.669453635917307e-07,5.971931837933653e-10
1854,3.29405139609662e-07,5.195664454227256e-10
1855,3.2425384688394843e-07,5.306937111981824e-10
1856,3.3392871046089567e-07,5.177189232874468e-10
1857,2.9728388994954e-07,0.0
1858,3.910047041699727e-07,9.787352039936081e-10
1859,3.228437890356872e-07,7.638259802433822e-09
1860,2.860739982679661e-07,1.373155145145688e-09
1861,3.895385987107147e-07,1.4147891747029462e-09
1862,3.243914079575916e-07,8.132375661773494e-09
1863,2.9218531949481985e-07,4.994620828036034e-10
1864,3.4186410857728333e-07,0.0
1865,4.1514365989314683e-07,0.0
1866,2.885308560962585e-07,4.865612912574591e-10
1867,2.824336320372822e-07,1.455843445796745e-09
1868,3.1466998962059733e-07,0.0
1869,2.710353044221847e-07,1.4650557433881772e-09
1870,2.781013677122246e-07,0.0
1871,2.74026376700931e-07,0.0
