year,vastes_ADJ toits_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,0.0
1828,0.0
1829,7.715858174606183e-09
1830,0.0
1831,0.0
1832,0.0
1833,6.950177322551099e-09
1834,4.667265685043276e-09
1835,1.5126175867408165e-09
1836,1.6129799718100912e-08
1837,6.957890930081589e-10
1838,6.312161904276081e-10
1839,0.0
1840,0.0
1841,6.420548537278137e-09
1842,4.695785538189057e-09
1843,2.3627644285539873e-09
1844,3.2931368743049916e-09
1845,1.674068439427856e-09
1846,2.3418005312692003e-09
1847,4.314578916364553e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,6.1100964288129944e-09
1851,0.0
1852,2.6042181744401205e-09
1853,5.971931837933653e-09
1854,4.676098175337984e-09
1855,1.539011762474729e-08
1856,4.659470143053568e-09
1857,7.322263684272912e-09
1858,1.9574704079872163e-09
1859,5.601390462572908e-09
1860,1.373155145145688e-09
1861,5.187560159214399e-09
1862,3.162590411776023e-09
1863,9.989241656072068e-10
1864,1.9178911792039344e-09
1865,6.118897832863013e-09
1866,0.0
1867,5.82337378318698e-09
1868,2.4699371437009177e-09
1869,9.767038289254515e-10
1870,1.1468097582678638e-09
1871,6.37270636261178e-09
1872,1.2094678591978436e-09
1873,2.9930022904522957e-09
1874,2.9873046258899194e-09
1875,5.721527140956084e-10
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,4.831270938865373e-09
1879,8.55305515301552e-09
1880,1.2835692508872398e-09
1881,1.3945015142624584e-09
1882,5.989846840748214e-09
1883,4.423537092179686e-09
1884,5.941527270181268e-09
1885,1.2891271383708158e-09
1886,3.872078213618124e-09
1887,3.9173548849191775e-09
1888,6.340614699951175e-10
1889,1.2530273485467092e-09
1890,3.2771931834929546e-09
1891,4.461953917456185e-09
1892,6.268512375839919e-10
1893,4.310891643655168e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-09
1896,7.66613794667137e-09
1897,8.740070001067579e-09
1898,3.3950129374460403e-09
1899,1.492446166651007e-08
1900,2.595526460424935e-09
1901,1.676621730339889e-09
1902,1.9641135384773634e-09
1903,9.1803746826713e-09
1904,3.7622376325430196e-09
1905,4.64468330463319e-09
1906,2.0576738091193647e-09
1907,4.6285588695127444e-09
1908,5.893666887857307e-09
1909,1.1001967115120692e-09
1910,2.67207544979442e-09
1911,4.788336838146279e-09
1912,3.646594803896619e-09
1913,4.242391771214216e-09
1914,4.68772043404897e-09
1915,3.534228465440492e-09
1916,3.2962386153911893e-09
1917,1.0966424435210342e-09
1918,0.0
