year,véritables_ADJ airs_NOUN,véritables_ADJ terres_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825400343878e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,3.458002950651462e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.6183340889597275e-08
1816,0.0,6.952811659743929e-09
1817,0.0,0.0
1818,0.0,1.1921176934492905e-08
1819,0.0,3.1053151161586356e-09
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,0.0,1.2819934447350079e-08
1822,9.023054303725075e-09,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,1.7610886082763955e-09
1826,8.807984341885344e-10,0.0
1827,0.0,1.8434546333878643e-08
1828,0.0,9.172301251858528e-10
1829,0.0,8.57317605795771e-10
1830,0.0,0.0
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,2.705993873419743e-09,0.0
1833,8.108539617524002e-09,2.20088942626262e-08
1834,6.534171426153534e-09,1.8669061851994684e-09
1835,9.075705520444899e-09,4.5378527602224494e-09
1836,5.376600054063374e-09,6.048674894287842e-09
1837,6.262101948095733e-09,1.0436836284100082e-08
1838,1.2624323808552163e-09,6.943378316748294e-09
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,3.821813088222825e-09,0.0
1841,0.0,1.926164561183441e-09
1842,2.0124795163667386e-09,6.708265054555795e-09
1843,2.3627644285539873e-09,4.7255288571079745e-09
1844,0.0,3.2931368743049916e-09
1845,0.0,0.0
1846,3.5127007969038004e-09,4.6836010625384006e-09
1847,0.0,2.1572894581822766e-09
1848,8.045221711050488e-10,0.0
1849,0.0,5.02764896381791e-09
1850,0.0,6.1100964288129944e-09
1851,0.0,5.8044946626978344e-09
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,4.180352064508952e-09,8.360704129017904e-09
1854,5.195664454227256e-10,7.27393034694046e-09
