year,diverses_ADJ huiles_NOUN,diverses_ADJ tuiles_NOUN
1800,0.0,0.0
1801,1.4287095950749062e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.7190360185613827e-08,0.0
1805,0.0,0.0
1806,1.152667650217154e-08,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,0.0
1809,4.743964154840796e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,1.504245972228091e-08,0.0
1812,9.068507722531649e-08,0.0
1813,0.0,0.0
1814,9.754699448194515e-08,0.0
1815,6.74305908887618e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,1.0898113522728181e-08,0.0
1818,9.536941902865692e-09,0.0
1819,1.035105001712111e-09,0.0
1820,2.8479554714522237e-08,0.0
1821,1.7750679148775816e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,9.882686669016039e-09,0.0
1824,3.789500624407083e-08,0.0
1825,1.8491430608946757e-08,0.0
1826,8.807984341885344e-10,0.0
1827,2.488663675137559e-08,0.0
1828,5.6868266540277546e-08,0.0
1829,5.486832677092934e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,3.4300654760954785e-08,0.0
1832,3.92369123858316e-08,0.0
1833,3.70676112027013e-08,0.0
1834,5.414027981487379e-08,0.0
1835,9.832014313815307e-09,0.0
1836,4.099657502365517e-08,0.0
1837,3.270208637218275e-08,0.0
1838,6.690891751759409e-08,6.312161904276081e-10
1839,3.635567225046543e-08,0.0
1840,2.4841785517537573e-08,0.0
1841,2.760835826620678e-08,0.0
1842,4.695785449371215e-08,0.0
1843,1.2995204023980023e-08,0.0
1844,4.445734802516199e-08,0.0
1845,3.961961780873935e-08,0.0
1846,2.2832555401919308e-08,0.0
1847,1.941560512364049e-08,5.393223645455691e-10
1848,1.287235473768078e-08,0.0
1849,1.5920888163378777e-08,0.0
1850,2.7155985016236173e-08,6.788996032014438e-10
1851,4.321124080775007e-08,0.0
1852,1.3672145193766028e-08,0.0
1853,4.478948767427937e-08,0.0
1854,8.572846610377383e-08,0.0
1855,4.9354515141430966e-08,0.0
1856,5.07364550372813e-08,1.0354378465748937e-09
1857,2.6360149840698455e-08,3.905207268672939e-09
1858,2.0064071182268606e-08,9.787352039936081e-10
1859,2.3933215409499553e-08,0.0
1860,3.341344106955191e-08,4.577183909670879e-10
1861,4.102888340185018e-08,0.0
1862,2.0782737419899888e-08,0.0
1863,5.5939754162182e-08,0.0
1864,3.356309430380122e-08,0.0
1865,3.294790928975999e-08,4.706844358715045e-10
1866,1.3623716377253459e-08,9.731225825149181e-10
1867,3.785192781435853e-08,3.396968040192405e-09
1868,4.0506968446152314e-08,1.975949626142892e-09
1869,4.150991372853241e-08,0.0
1870,5.2179842668920173e-08,0.0
1871,5.3105884134652115e-09,0.0
1872,4.112190765681589e-08,0.0
1873,3.7711828326791874e-08,0.0
1874,3.2860349108432274e-08,0.0
1875,2.4030413214859436e-08,0.0
1876,3.6276089909748066e-08,0.0
1877,3.7727378554563984e-08,1.2369631985365004e-09
1878,2.113680963589104e-08,0.0
1879,1.5273313280772527e-08,0.0
1880,1.4761046607247863e-08,0.0
1881,1.743126887276958e-08,6.972507571312292e-10
1882,3.660461800336634e-08,0.0
1883,5.3714382552971784e-08,1.2638677882037541e-09
1884,3.1688146329145184e-08,0.0
1885,4.705314193831356e-08,6.445635691854079e-10
1886,5.162771138378375e-08,0.0
1887,2.4809913345968937e-08,6.528924623161458e-10
1888,3.931181224992031e-08,0.0
1889,3.132568338060082e-08,0.0
1890,4.1948073459252555e-08,0.0
1891,5.035633776628856e-08,0.0
1892,3.635737333418376e-08,0.0
1893,3.325544861709773e-08,0.0
1894,2.7726772655611853e-08,1.2603078580752936e-09
1895,5.657497581523785e-08,0.0
1896,4.4227717710398906e-08,0.0
1897,2.0976168357833558e-08,0.0
1898,2.6028432742464247e-08,0.0
1899,3.040167939616367e-08,0.0
1900,3.010810800674335e-08,5.710158568206225e-09
1901,2.6267072072982955e-08,0.0
1902,3.928226988136885e-08,2.455141867585553e-09
1903,3.456140973412403e-08,0.0
1904,5.535864033845428e-08,0.0
1905,2.5287718585786934e-08,0.0
1906,1.800464666246171e-08,5.144184522798412e-10
1907,4.4742737070890826e-08,0.0
1908,4.125566732682273e-08,0.0
1909,2.7504917177179067e-08,4.950885035270858e-09
1910,5.130384628238005e-08,0.0
1911,2.8730020806833068e-08,5.320374141248863e-10
1912,3.0214643897963356e-08,1.0418842455450772e-09
1913,3.553003224965323e-08,0.0
1914,4.218948390644073e-08,0.0
1915,1.8849219074468238e-08,0.0
1916,4.9443578120644815e-08,0.0
1917,8.334482259897413e-08,0.0
1918,4.9391417178412667e-08,0.0
1919,7.550436009751138e-08,0.0
1920,4.467616676606667e-08,7.572231730534895e-10
1921,4.392193631019836e-08,7.572747429129834e-10
1922,5.976127770424e-08,7.377935484775833e-10
1923,5.8387715995422695e-08,0.0
1924,3.093989942026809e-08,0.0
1925,4.179307566687385e-08,0.0
1926,5.127223801082437e-08,0.0
1927,5.2401357919507063e-08,0.0
